GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",IND vs. ATL,W,26,7,4,2,1,0,0
"Apr 12, 2024",IND @ CLE,L,14,3,3,1,0,0,2
"Apr 09, 2024",IND @ TOR,W,27,11,2,2,2,0,0
"Apr 07, 2024",IND vs. MIA,W,20,0,1,2,0,0,0
"Apr 05, 2024",IND vs. OKC,W,23,8,2,0,2,0,1
"Apr 03, 2024",IND @ BKN,L,22,8,1,2,2,0,1
"Apr 01, 2024",IND vs. BKN,W,16,3,1,1,0,0,1
"Mar 29, 2024",IND vs. LAL,W,20,7,2,3,0,0,0
"Mar 27, 2024",IND @ CHI,L,11,0,0,0,0,0,0
"Mar 25, 2024",IND @ LAC,W,21,7,5,0,2,0,0
"Mar 24, 2024",IND @ LAL,L,16,2,0,3,0,0,1
"Mar 22, 2024",IND @ GSW,W,14,3,1,1,1,0,0
"Mar 20, 2024",IND @ DET,W,22,9,2,3,0,0,1
"Mar 18, 2024",IND vs. CLE,L,20,5,1,1,1,0,0
"Mar 16, 2024",IND vs. BKN,W,24,11,1,2,1,0,1
"Mar 13, 2024",IND vs. CHI,L,21,2,3,1,0,0,0
"Mar 12, 2024",IND @ OKC,W,17,4,2,0,0,0,0
"Mar 10, 2024",IND @ ORL,W,11,2,0,0,0,0,0
"Mar 07, 2024",IND vs. MIN,L,19,6,4,0,0,0,0
"Mar 05, 2024",IND @ DAL,W,22,12,7,0,1,0,0
"Feb 28, 2024",IND vs. NOP,W,27,11,1,1,2,1,0
"Feb 26, 2024",IND vs. TOR,L,17,2,0,0,0,0,0
"Feb 25, 2024",IND vs. DAL,W,12,15,1,4,2,0,0
"Feb 22, 2024",IND vs. DET,W,15,7,1,0,0,0,0
"Feb 14, 2024",IND @ TOR,W,21,10,5,0,1,0,1
"Feb 12, 2024",IND @ CHA,L,3,0,0,0,0,0,0
"Feb 08, 2024",IND vs. GSW,L,20,8,0,0,0,1,1
"Feb 06, 2024",IND vs. HOU,W,4,0,0,0,0,0,0
"Feb 04, 2024",IND @ CHA,W,2,0,0,0,0,0,0
"Feb 02, 2024",IND vs. SAC,L,16,7,1,0,0,0,0
"Feb 01, 2024",IND @ NYK,L,22,5,6,1,3,0,2
"Jan 30, 2024",IND @ BOS,L,12,0,2,0,0,0,0
"Jan 28, 2024",IND vs. MEM,W,20,6,0,1,1,0,1
"Jan 26, 2024",IND vs. PHX,W,18,2,2,2,0,0,1
"Jan 25, 2024",IND vs. PHI,W,15,2,5,2,0,0,0
"Jan 23, 2024",IND vs. DEN,L,12,5,1,1,1,0,0
"Jan 21, 2024",IND @ PHX,L,20,4,4,4,2,0,0
"Jan 19, 2024",IND @ POR,L,10,3,1,0,1,0,0
"Jan 18, 2024",IND @ SAC,W,28,7,4,2,2,0,0
"Jan 15, 2024",IND @ UTA,L,25,4,3,2,0,0,0
"Jan 12, 2024",IND @ ATL,W,4,0,0,0,0,0,0
"Jan 06, 2024",IND vs. BOS,L,3,0,1,0,0,0,0
"Jan 05, 2024",IND vs. ATL,W,9,3,1,1,1,0,0
"Jan 03, 2024",IND vs. MIL,W,2,0,0,0,0,0,0
"Dec 30, 2023",IND vs. NYK,W,1,0,0,0,0,0,0
"Dec 16, 2023",IND @ MIN,L,17,8,3,0,2,0,0
"Dec 15, 2023",IND @ WAS,L,9,0,0,3,0,0,0
"Dec 13, 2023",IND @ MIL,L,6,8,0,0,1,0,0
"Dec 02, 2023",IND @ MIA,W,3,0,0,0,0,0,0
"Nov 30, 2023",IND @ MIA,L,0,0,0,0,0,0,0
"Nov 27, 2023",IND vs. POR,L,1,0,0,0,0,0,0
"Nov 24, 2023",IND vs. DET,W,1,0,0,0,0,0,0
"Nov 21, 2023",IND @ ATL,W,5,5,1,1,0,0,0
"Nov 19, 2023",IND vs. ORL,L,16,7,0,2,1,0,1
"Nov 06, 2023",IND vs. SAS,W,12,7,2,0,0,0,0
"Nov 01, 2023",IND @ BOS,L,15,6,2,2,0,0,0
"Oct 25, 2023",IND vs. WAS,W,6,0,0,0,0,0,0
