GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",DAL @ OKC,L,30,22,5,3,0,0,3
"Apr 12, 2024",DAL vs. DET,L,18,4,1,0,0,0,1
"Apr 10, 2024",DAL @ MIA,W,2,2,0,1,0,0,0
"Apr 09, 2024",DAL @ CHA,W,4,2,0,1,0,0,0
"Apr 04, 2024",DAL vs. ATL,W,1,0,0,0,0,0,0
"Feb 14, 2024",DAL vs. SAS,W,5,0,0,0,0,0,0
"Feb 12, 2024",DAL vs. WAS,W,0,0,0,0,0,0,0
"Feb 10, 2024",DAL vs. OKC,W,6,0,2,2,0,0,1
"Feb 08, 2024",DAL @ NYK,W,1,1,0,0,0,0,0
"Feb 05, 2024",DAL @ PHI,W,3,0,0,2,0,0,0
"Jan 31, 2024",DAL @ MIN,L,8,5,0,2,0,0,0
"Jan 24, 2024",DAL vs. PHX,L,5,2,0,0,0,0,0
"Jan 17, 2024",DAL @ LAL,L,5,5,1,2,0,0,0
"Jan 09, 2024",DAL vs. MEM,L,3,0,1,1,0,0,0
"Jan 05, 2024",DAL vs. POR,W,10,7,0,2,0,1,1
"Jan 03, 2024",DAL vs. POR,W,6,0,2,0,1,0,0
"Jan 01, 2024",DAL @ UTA,L,7,4,1,1,0,0,1
