GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",DEN @ MEM,W,1,2,2,0,0,0,0
"Mar 29, 2024",DEN vs. MIN,L,1,0,0,0,0,0,0
"Mar 25, 2024",DEN vs. MEM,W,3,3,2,1,0,0,0
"Feb 25, 2024",DEN @ GSW,W,2,0,1,0,0,0,0
"Feb 23, 2024",DEN @ POR,W,2,0,1,0,0,1,0
"Feb 12, 2024",DEN @ MIL,L,6,2,2,0,0,0,0
"Feb 02, 2024",DEN vs. POR,W,1,0,0,0,0,0,0
"Jan 12, 2024",DEN vs. NOP,W,1,0,0,0,0,0,1
"Jan 10, 2024",DEN @ UTA,L,6,2,1,1,1,0,0
"Jan 07, 2024",DEN vs. DET,W,2,2,1,0,0,0,0
"Jan 05, 2024",DEN vs. ORL,L,6,3,2,1,0,0,0
"Jan 01, 2024",DEN vs. CHA,W,4,0,1,0,1,0,0
"Dec 29, 2023",DEN vs. OKC,L,3,3,0,0,0,0,0
"Dec 28, 2023",DEN vs. MEM,W,7,2,2,1,0,0,0
"Nov 29, 2023",DEN vs. HOU,W,3,1,1,1,0,0,0
"Nov 26, 2023",DEN vs. SAS,W,2,0,1,1,0,0,0
"Nov 06, 2023",DEN vs. NOP,W,1,0,0,0,0,0,0
"Nov 01, 2023",DEN @ MIN,L,5,0,0,3,0,0,0
"Oct 29, 2023",DEN @ OKC,W,3,2,1,0,0,0,0
"Oct 24, 2023",DEN vs. LAL,W,1,0,0,0,0,0,0
