GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 01, 2024",DET vs. MEM,L,34,36,4,8,2,1,4
"Mar 29, 2024",DET @ WAS,W,37,33,8,7,2,0,3
"Mar 27, 2024",DET @ MIN,L,29,32,1,2,1,0,1
"Mar 22, 2024",DET vs. BOS,L,29,15,6,6,2,0,3
"Mar 20, 2024",DET vs. IND,L,29,23,6,10,1,0,4
"Mar 17, 2024",DET vs. MIA,L,32,17,4,9,1,1,3
"Mar 15, 2024",DET vs. MIA,L,31,11,6,9,0,0,3
"Mar 13, 2024",DET vs. TOR,W,28,19,3,6,1,0,3
"Mar 11, 2024",DET vs. CHA,W,32,22,6,8,1,0,2
"Mar 09, 2024",DET vs. DAL,L,32,33,9,10,0,0,5
"Mar 07, 2024",DET vs. BKN,W,38,32,5,11,0,1,5
"Mar 05, 2024",DET @ MIA,L,34,23,4,8,0,0,3
"Mar 03, 2024",DET @ ORL,L,23,9,2,7,1,0,1
"Mar 01, 2024",DET vs. CLE,L,37,21,3,10,1,0,1
"Feb 27, 2024",DET @ CHI,W,36,26,5,5,0,1,3
"Feb 26, 2024",DET @ NYK,L,36,32,5,8,0,2,5
"Feb 24, 2024",DET vs. ORL,L,31,26,7,4,1,0,3
"Feb 22, 2024",DET @ IND,L,30,30,5,8,1,0,3
"Feb 14, 2024",DET @ PHX,L,26,13,4,8,1,2,5
"Feb 13, 2024",DET @ LAL,L,25,12,7,7,0,0,0
"Feb 10, 2024",DET @ LAC,L,35,22,6,10,0,1,2
"Feb 08, 2024",DET @ POR,W,39,23,2,5,0,0,2
"Feb 04, 2024",DET vs. ORL,L,32,18,5,7,2,0,1
"Feb 02, 2024",DET vs. LAC,L,33,16,3,11,1,0,4
"Jan 31, 2024",DET @ CLE,L,31,19,2,7,2,1,0
"Jan 27, 2024",DET vs. WAS,L,35,20,4,12,0,0,7
"Jan 07, 2024",DET @ DEN,L,11,3,3,3,0,0,0
"Jan 05, 2024",DET @ GSW,L,35,30,5,3,0,1,2
"Jan 03, 2024",DET @ UTA,L,40,31,5,13,1,0,6
"Jan 01, 2024",DET @ HOU,L,30,6,1,10,0,0,4
"Dec 30, 2023",DET vs. TOR,W,38,30,3,12,1,0,0
"Dec 28, 2023",DET @ BOS,L,43,31,6,9,3,2,6
"Dec 26, 2023",DET vs. BKN,L,37,41,9,5,1,1,3
"Dec 23, 2023",DET @ BKN,L,33,22,3,6,0,0,2
"Dec 21, 2023",DET vs. UTA,L,39,28,6,10,2,1,6
"Dec 18, 2023",DET @ ATL,L,44,43,5,7,3,1,3
"Dec 16, 2023",DET @ MIL,L,31,25,1,6,1,0,2
"Dec 15, 2023",DET @ PHI,L,24,4,3,2,1,1,3
"Dec 13, 2023",DET vs. PHI,L,30,21,6,7,0,0,1
"Dec 11, 2023",DET vs. IND,L,38,23,6,7,1,0,3
"Dec 08, 2023",DET @ ORL,L,32,21,3,6,1,0,3
"Dec 06, 2023",DET vs. MEM,L,34,16,4,10,2,1,5
"Dec 02, 2023",DET vs. CLE,L,37,23,8,11,2,0,1
"Nov 30, 2023",DET @ NYK,L,37,31,2,8,2,0,7
"Nov 29, 2023",DET vs. LAL,L,23,15,4,5,1,0,2
"Nov 27, 2023",DET vs. WAS,L,32,26,5,7,1,0,1
"Nov 24, 2023",DET @ IND,L,38,31,3,5,0,0,4
"Nov 20, 2023",DET vs. DEN,L,38,27,2,9,3,1,5
"Nov 19, 2023",DET @ TOR,L,27,18,5,4,0,0,3
"Nov 17, 2023",DET @ CLE,L,34,20,5,8,0,0,4
"Nov 14, 2023",DET vs. ATL,L,38,9,3,12,3,0,6
"Nov 12, 2023",DET @ CHI,L,38,10,3,5,0,1,1
"Nov 10, 2023",DET vs. PHI,L,36,21,4,7,0,0,4
"Nov 08, 2023",DET @ MIL,L,39,33,8,8,0,0,5
"Nov 06, 2023",DET vs. GSW,L,40,21,4,5,2,0,5
"Nov 05, 2023",DET vs. PHX,L,39,26,3,6,0,1,6
"Nov 02, 2023",DET @ NOP,L,34,22,2,11,1,0,6
"Nov 01, 2023",DET vs. POR,L,37,30,5,4,1,0,6
"Oct 30, 2023",DET @ OKC,L,35,17,2,5,0,0,7
"Oct 28, 2023",DET vs. CHI,W,40,25,4,10,0,0,6
"Oct 27, 2023",DET @ CHA,W,24,12,2,6,1,0,5
"Oct 25, 2023",DET @ MIA,L,36,30,3,9,1,1,3
