GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 09, 2024",TOR @ POR,L,31,16,8,2,0,3,3
"Mar 07, 2024",TOR @ PHX,L,24,11,9,2,0,0,2
"Mar 01, 2024",TOR vs. GSW,L,5,2,2,0,0,0,1
"Feb 22, 2024",TOR vs. BKN,W,4,2,1,0,0,0,0
"Feb 14, 2024",TOR vs. IND,L,11,10,4,0,1,1,0
"Feb 05, 2024",TOR @ NOP,L,12,11,6,1,0,1,1
"Jan 30, 2024",TOR @ CHI,W,7,5,2,0,0,0,1
"Jan 28, 2024",TOR @ ATL,L,13,5,4,0,0,0,1
"Jan 26, 2024",TOR vs. LAC,L,17,9,5,0,0,0,0
"Jan 22, 2024",TOR vs. MEM,L,12,5,5,1,0,0,0
"Jan 20, 2024",TOR @ NYK,L,12,5,2,1,0,0,0
"Jan 18, 2024",TOR vs. CHI,L,18,6,9,2,0,0,2
"Jan 17, 2024",TOR vs. MIA,W,18,2,7,0,0,1,0
"Jan 15, 2024",TOR vs. BOS,L,14,4,2,0,0,0,0
"Jan 12, 2024",TOR @ UTA,L,12,7,0,0,0,0,1
"Jan 10, 2024",TOR @ LAC,L,11,3,1,0,0,0,0
"Jan 09, 2024",TOR @ LAL,L,14,2,7,1,2,0,3
"Jan 07, 2024",TOR @ GSW,W,16,17,9,1,1,1,0
"Jan 05, 2024",TOR @ SAC,L,28,14,9,1,1,1,0
"Jan 03, 2024",TOR @ MEM,W,13,4,8,2,0,0,1
"Jan 01, 2024",TOR vs. CLE,W,11,0,1,0,0,0,0
"Dec 30, 2023",TOR @ DET,L,17,4,2,0,0,0,0
"Dec 29, 2023",TOR @ BOS,L,7,3,3,0,0,0,0
"Dec 27, 2023",TOR @ WAS,W,12,6,4,0,0,0,0
"Dec 23, 2023",TOR vs. UTA,L,13,9,3,1,1,0,0
"Dec 20, 2023",TOR vs. DEN,L,12,5,7,0,0,1,1
"Dec 18, 2023",TOR vs. CHA,W,15,7,3,0,0,1,0
"Dec 15, 2023",TOR vs. ATL,L,15,7,3,0,1,2,1
"Dec 13, 2023",TOR vs. ATL,W,10,2,0,0,0,2,0
"Dec 11, 2023",TOR @ NYK,L,10,5,3,0,0,0,1
"Dec 08, 2023",TOR @ CHA,L,13,9,3,0,0,1,1
"Dec 06, 2023",TOR vs. MIA,L,10,0,4,0,0,0,1
"Dec 01, 2023",TOR vs. NYK,L,19,11,3,2,1,0,0
"Nov 29, 2023",TOR vs. PHX,W,3,0,0,0,0,0,0
"Nov 28, 2023",TOR @ BKN,L,12,13,1,0,1,0,0
"Nov 26, 2023",TOR @ CLE,L,10,5,4,0,1,0,1
"Nov 24, 2023",TOR vs. CHI,W,10,4,1,0,1,0,0
"Nov 22, 2023",TOR @ IND,W,10,6,1,0,0,0,0
"Nov 21, 2023",TOR @ ORL,L,18,3,2,0,0,1,0
"Nov 19, 2023",TOR vs. DET,W,18,14,6,1,1,1,0
"Nov 17, 2023",TOR vs. BOS,L,18,6,4,0,0,0,0
"Nov 15, 2023",TOR vs. MIL,L,20,9,9,0,0,1,1
"Nov 13, 2023",TOR vs. WAS,W,21,7,7,2,0,3,0
"Nov 11, 2023",TOR @ BOS,L,22,6,5,1,0,0,0
"Nov 08, 2023",TOR @ DAL,W,15,10,2,0,0,1,1
"Nov 02, 2023",TOR @ PHI,L,13,6,4,0,0,1,1
"Nov 01, 2023",TOR vs. MIL,W,13,6,5,1,1,0,0
"Oct 30, 2023",TOR vs. POR,L,17,4,7,1,0,1,1
"Oct 28, 2023",TOR vs. PHI,L,12,5,4,0,1,0,1
"Oct 27, 2023",TOR @ CHI,L,17,10,6,0,0,0,1
