GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",MIA vs. TOR,W,2,0,0,0,0,0,0
"Apr 12, 2024",MIA vs. TOR,W,1,0,0,0,0,0,0
"Apr 10, 2024",MIA vs. DAL,L,1,0,0,1,0,0,0
"Mar 31, 2024",MIA @ WAS,W,1,0,0,0,0,0,0
"Mar 26, 2024",MIA vs. GSW,L,2,0,0,0,0,0,1
"Mar 24, 2024",MIA vs. CLE,W,7,3,1,0,0,0,1
"Mar 22, 2024",MIA vs. NOP,L,19,14,2,0,0,0,0
"Feb 26, 2024",MIA @ SAC,W,5,0,1,0,0,0,0
"Feb 13, 2024",MIA @ MIL,W,6,2,1,1,0,0,3
"Jan 25, 2024",MIA vs. BOS,L,7,0,0,0,0,0,0
"Jan 17, 2024",MIA @ TOR,L,2,2,0,0,0,0,1
"Jan 05, 2024",MIA @ PHX,L,2,0,0,0,0,0,1
"Jan 03, 2024",MIA @ LAL,W,1,0,0,0,0,0,0
"Jan 01, 2024",MIA @ LAC,L,3,3,0,0,0,0,0
"Dec 28, 2023",MIA @ GSW,W,1,2,1,0,0,0,0
"Nov 25, 2023",MIA @ BKN,L,20,11,0,1,1,1,1
"Nov 24, 2023",MIA @ NYK,L,6,0,0,2,0,0,0
"Oct 28, 2023",MIA @ MIN,L,2,5,1,0,0,0,0
