GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",LAL @ NOP,W,2,0,0,0,0,0,0
"Apr 09, 2024",LAL vs. GSW,L,2,2,1,0,1,0,0
"Apr 07, 2024",LAL vs. MIN,L,2,4,0,0,0,0,0
"Apr 06, 2024",LAL vs. CLE,W,1,0,1,0,0,0,0
"Apr 03, 2024",LAL @ WAS,W,1,0,0,0,0,0,0
"Apr 02, 2024",LAL @ TOR,W,6,0,0,0,0,0,1
"Mar 31, 2024",LAL @ BKN,W,6,0,1,0,1,0,1
"Mar 29, 2024",LAL @ IND,L,2,0,0,0,0,0,0
"Mar 27, 2024",LAL @ MEM,W,1,0,0,0,0,0,0
"Feb 14, 2024",LAL @ UTA,W,2,2,0,0,0,0,0
"Feb 13, 2024",LAL vs. DET,W,1,0,0,0,0,0,0
"Jan 21, 2024",LAL vs. POR,W,4,4,2,0,0,0,1
"Dec 15, 2023",LAL @ SAS,L,5,6,1,1,0,0,0
"Nov 30, 2023",LAL @ OKC,L,4,2,3,0,0,0,0
"Nov 08, 2023",LAL @ HOU,L,14,2,2,2,0,0,0
"Nov 04, 2023",LAL @ ORL,L,4,2,1,0,0,0,0
