GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",WAS @ BOS,L,33,8,3,8,1,0,0
"Apr 12, 2024",WAS vs. CHI,L,40,23,7,6,0,1,3
"Apr 09, 2024",WAS @ MIN,L,36,25,3,5,0,0,2
"Apr 07, 2024",WAS @ TOR,L,40,21,3,3,0,0,3
"Apr 05, 2024",WAS vs. POR,L,41,12,3,5,2,0,1
"Apr 03, 2024",WAS vs. LAL,L,35,17,3,3,0,0,4
"Apr 02, 2024",WAS vs. MIL,W,38,27,7,0,1,1,0
"Mar 31, 2024",WAS vs. MIA,L,41,13,2,3,2,0,1
"Mar 29, 2024",WAS vs. DET,L,38,23,6,0,0,0,1
"Mar 27, 2024",WAS vs. BKN,L,40,15,2,0,0,0,2
"Mar 25, 2024",WAS @ CHI,W,39,19,12,3,2,0,2
"Mar 23, 2024",WAS vs. TOR,W,33,18,1,2,1,0,2
"Mar 21, 2024",WAS vs. SAC,W,37,15,3,2,1,0,1
"Mar 19, 2024",WAS vs. HOU,L,35,16,1,1,0,0,3
"Mar 17, 2024",WAS vs. BOS,L,21,4,2,1,0,0,1
"Mar 16, 2024",WAS @ CHI,L,29,16,3,1,3,3,0
"Mar 14, 2024",WAS @ HOU,L,27,11,2,2,1,0,0
"Mar 12, 2024",WAS @ MEM,L,36,22,2,0,1,0,0
"Mar 10, 2024",WAS @ MIA,W,39,22,5,6,0,0,2
"Mar 08, 2024",WAS vs. CHA,W,30,13,4,2,0,0,0
"Mar 06, 2024",WAS vs. ORL,L,19,8,1,2,1,0,2
"Mar 04, 2024",WAS @ UTA,L,16,5,4,1,0,0,3
"Mar 01, 2024",WAS @ LAC,L,23,9,2,0,0,1,0
"Feb 29, 2024",WAS @ LAL,L,27,20,6,6,1,0,2
"Feb 27, 2024",WAS vs. GSW,L,33,20,3,5,0,2,3
"Feb 23, 2024",WAS @ OKC,L,25,20,2,0,2,0,1
"Feb 22, 2024",WAS @ DEN,L,25,12,2,3,2,0,4
"Feb 14, 2024",WAS @ NOP,L,32,20,4,6,1,0,2
"Feb 12, 2024",WAS @ DAL,L,24,5,4,1,0,0,1
"Feb 10, 2024",WAS vs. PHI,L,24,5,2,0,0,0,0
"Feb 09, 2024",WAS @ BOS,L,24,24,6,4,3,0,0
"Feb 07, 2024",WAS vs. CLE,L,33,23,7,2,0,0,1
"Feb 04, 2024",WAS vs. PHX,L,25,15,2,4,1,0,3
"Feb 02, 2024",WAS vs. MIA,L,31,26,4,2,0,0,0
"Jan 31, 2024",WAS vs. LAC,L,27,16,2,1,0,0,1
"Jan 29, 2024",WAS @ SAS,W,20,8,4,3,0,1,1
"Jan 27, 2024",WAS @ DET,W,22,8,2,1,0,0,2
"Jan 25, 2024",WAS vs. UTA,L,20,8,0,1,3,0,0
"Jan 24, 2024",WAS vs. MIN,L,16,7,4,0,0,0,3
"Jan 21, 2024",WAS vs. DEN,L,18,6,3,1,0,0,1
"Jan 20, 2024",WAS vs. SAS,L,25,16,2,2,1,0,2
"Jan 18, 2024",WAS @ NYK,L,17,10,4,0,0,0,0
"Jan 15, 2024",WAS vs. DET,L,15,8,2,3,0,0,1
"Jan 13, 2024",WAS @ ATL,W,18,11,4,2,0,0,1
"Jan 10, 2024",WAS @ IND,L,30,15,3,2,0,0,1
"Jan 08, 2024",WAS vs. OKC,L,18,11,1,2,0,0,1
"Jan 06, 2024",WAS vs. NYK,L,15,8,2,1,0,1,4
"Jan 05, 2024",WAS @ CLE,L,20,13,1,1,0,1,2
"Jan 03, 2024",WAS @ CLE,L,20,12,1,0,0,0,0
"Dec 31, 2023",WAS vs. ATL,L,18,15,0,4,0,0,0
"Dec 29, 2023",WAS vs. BKN,W,17,15,0,0,0,0,0
"Dec 27, 2023",WAS vs. TOR,L,21,13,2,2,1,0,2
"Dec 26, 2023",WAS vs. ORL,L,19,15,4,1,0,0,0
"Dec 22, 2023",WAS @ GSW,L,25,18,1,0,0,1,1
"Dec 21, 2023",WAS @ POR,W,22,9,0,2,0,0,0
"Dec 18, 2023",WAS @ SAC,L,21,7,3,3,0,0,2
"Dec 17, 2023",WAS @ PHX,L,25,6,0,1,0,1,0
"Dec 15, 2023",WAS vs. IND,W,28,23,1,1,1,1,1
"Dec 13, 2023",WAS vs. NOP,L,21,12,3,0,0,1,1
"Dec 11, 2023",WAS @ PHI,L,23,9,2,1,0,0,3
"Dec 08, 2023",WAS @ BKN,L,21,7,2,2,0,1,0
"Dec 06, 2023",WAS vs. PHI,L,25,16,3,1,1,0,1
"Dec 01, 2023",WAS @ ORL,L,23,15,1,3,0,0,0
"Nov 29, 2023",WAS @ ORL,L,20,13,1,2,2,0,1
"Nov 27, 2023",WAS @ DET,W,19,8,5,1,1,0,0
"Nov 25, 2023",WAS vs. ATL,L,28,10,1,2,0,0,0
"Nov 24, 2023",WAS @ MIL,L,33,20,5,1,0,0,3
"Nov 22, 2023",WAS @ CHA,L,18,6,4,1,0,0,1
"Nov 20, 2023",WAS vs. MIL,L,21,12,2,1,1,0,0
"Nov 17, 2023",WAS vs. NYK,L,26,8,3,1,1,0,0
"Nov 15, 2023",WAS vs. DAL,L,26,12,1,4,0,0,0
"Nov 13, 2023",WAS @ TOR,L,24,10,2,3,1,0,2
"Nov 12, 2023",WAS @ BKN,L,27,8,3,4,1,0,1
"Nov 10, 2023",WAS vs. CHA,L,16,15,4,0,0,0,0
"Nov 08, 2023",WAS @ CHA,W,23,12,3,3,1,0,2
"Nov 06, 2023",WAS @ PHI,L,14,3,1,0,0,0,2
"Nov 01, 2023",WAS @ ATL,L,14,2,0,1,0,0,0
"Oct 30, 2023",WAS vs. BOS,L,24,9,2,0,0,0,2
"Oct 28, 2023",WAS vs. MEM,W,32,22,3,1,0,0,2
"Oct 25, 2023",WAS @ IND,L,24,11,5,1,0,0,1
