GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",GSW vs. UTA,W,13,12,5,1,0,1,3
"Apr 11, 2024",GSW @ POR,W,6,0,1,1,1,0,1
"Mar 20, 2024",GSW vs. MEM,W,5,0,1,0,0,0,0
"Mar 13, 2024",GSW @ DAL,L,8,0,0,1,0,0,1
"Mar 09, 2024",GSW vs. SAS,L,3,2,0,0,0,0,0
"Mar 06, 2024",GSW vs. MIL,W,4,0,1,2,0,0,1
"Mar 03, 2024",GSW @ BOS,L,13,4,2,0,0,0,1
"Mar 01, 2024",GSW @ TOR,W,6,2,0,2,0,0,1
"Feb 29, 2024",GSW @ NYK,W,11,0,3,3,0,0,0
"Feb 27, 2024",GSW @ WAS,W,14,5,0,1,0,0,3
"Feb 25, 2024",GSW vs. DEN,L,9,4,4,2,0,0,1
"Feb 23, 2024",GSW vs. CHA,W,16,2,4,3,0,0,4
"Feb 22, 2024",GSW vs. LAL,W,15,4,4,4,0,0,1
"Feb 15, 2024",GSW @ UTA,W,10,7,3,2,0,0,1
"Feb 14, 2024",GSW vs. LAC,L,6,0,1,1,0,1,0
"Feb 12, 2024",GSW @ UTA,W,12,0,3,1,0,0,0
"Feb 10, 2024",GSW vs. PHX,W,11,0,1,2,1,0,0
"Feb 08, 2024",GSW @ IND,W,18,11,7,3,0,0,2
"Feb 07, 2024",GSW @ PHI,W,14,9,3,2,1,0,2
"Feb 05, 2024",GSW @ BKN,W,4,3,0,0,1,0,0
"Jan 30, 2024",GSW vs. PHI,W,17,2,2,7,0,1,1
"Jan 27, 2024",GSW vs. LAL,L,15,5,4,2,1,0,2
"Jan 25, 2024",GSW vs. SAC,L,20,14,4,5,0,0,2
"Jan 24, 2024",GSW vs. ATL,W,16,10,3,3,1,0,0
"Jan 15, 2024",GSW @ MEM,L,23,13,7,3,0,1,4
"Jan 13, 2024",GSW @ MIL,L,34,12,6,6,1,0,3
"Jan 12, 2024",GSW @ CHI,W,28,12,7,6,2,0,0
"Jan 10, 2024",GSW vs. NOP,L,13,4,3,3,1,0,2
"Jan 07, 2024",GSW vs. TOR,L,18,11,5,4,2,0,0
"Jan 05, 2024",GSW vs. DET,W,22,17,3,1,0,0,1
"Jan 04, 2024",GSW vs. DEN,L,23,13,7,6,1,0,2
"Jan 02, 2024",GSW vs. ORL,W,14,2,3,1,0,0,2
"Dec 30, 2023",GSW vs. DAL,L,15,3,9,4,1,0,2
"Dec 28, 2023",GSW vs. MIA,L,20,10,6,1,0,0,0
"Dec 25, 2023",GSW @ DEN,L,20,14,5,2,0,0,0
"Dec 23, 2023",GSW vs. POR,W,19,8,5,1,1,0,1
"Dec 22, 2023",GSW vs. WAS,W,20,13,3,1,0,0,0
"Dec 19, 2023",GSW vs. BOS,W,15,11,6,0,0,0,1
"Dec 17, 2023",GSW @ POR,W,15,8,1,1,0,0,2
"Dec 16, 2023",GSW vs. BKN,W,21,12,6,2,1,0,2
"Dec 14, 2023",GSW @ LAC,L,17,5,6,1,0,0,1
"Dec 12, 2023",GSW @ PHX,L,20,15,4,1,0,0,0
"Dec 08, 2023",GSW @ OKC,L,23,11,12,3,1,0,3
"Dec 06, 2023",GSW vs. POR,W,20,13,6,0,0,0,4
"Dec 02, 2023",GSW @ LAC,L,20,6,2,3,1,0,3
"Nov 30, 2023",GSW vs. LAC,W,27,13,5,5,1,0,0
"Nov 28, 2023",GSW @ SAC,L,17,10,2,3,0,0,0
"Nov 24, 2023",GSW vs. SAS,W,26,20,7,4,2,0,3
"Nov 22, 2023",GSW @ PHX,L,22,17,6,4,2,0,1
"Nov 20, 2023",GSW vs. HOU,W,26,18,5,2,1,1,1
"Nov 18, 2023",GSW vs. OKC,L,18,6,8,1,0,0,1
"Nov 16, 2023",GSW vs. OKC,L,24,12,3,4,1,0,1
"Nov 14, 2023",GSW vs. MIN,L,32,21,4,4,2,0,2
"Nov 12, 2023",GSW vs. MIN,L,27,11,10,1,1,0,1
"Nov 11, 2023",GSW vs. CLE,L,16,5,5,1,0,1,0
"Nov 08, 2023",GSW @ DEN,L,26,4,8,2,0,0,0
"Nov 06, 2023",GSW @ DET,W,21,12,6,1,1,0,0
"Nov 05, 2023",GSW @ CLE,L,13,0,5,0,0,0,1
"Nov 03, 2023",GSW @ OKC,W,20,20,6,3,1,0,1
"Nov 01, 2023",GSW vs. SAC,W,20,15,6,2,0,0,4
"Oct 30, 2023",GSW @ NOP,W,21,6,10,2,0,1,0
"Oct 29, 2023",GSW @ HOU,W,21,4,8,5,0,1,1
"Oct 27, 2023",GSW @ SAC,W,14,5,4,1,1,0,1
"Oct 24, 2023",GSW vs. PHX,L,20,7,7,1,0,2,0
