GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2024",CLE vs. MIN,W,33,0,4,2,0,1,0
"Mar 06, 2024",CLE @ ATL,L,30,9,4,0,0,0,0
"Mar 05, 2024",CLE vs. BOS,W,21,23,8,1,2,0,0
"Mar 03, 2024",CLE vs. NYK,L,20,0,3,2,0,2,1
"Mar 01, 2024",CLE @ DET,W,19,6,2,0,1,2,0
"Feb 28, 2024",CLE @ CHI,L,14,5,2,1,0,2,0
"Feb 27, 2024",CLE vs. DAL,W,9,0,2,0,0,0,0
"Feb 25, 2024",CLE @ WAS,W,8,0,1,1,0,0,0
"Feb 23, 2024",CLE @ PHI,L,11,0,3,0,0,1,0
"Feb 22, 2024",CLE vs. ORL,L,13,3,2,0,0,1,0
"Feb 10, 2024",CLE @ TOR,W,14,0,4,0,1,0,0
"Feb 08, 2024",CLE @ BKN,W,16,9,1,0,0,2,0
"Feb 07, 2024",CLE @ WAS,W,12,6,2,0,1,0,0
"Feb 05, 2024",CLE vs. SAC,W,15,6,5,2,0,0,0
"Feb 03, 2024",CLE @ SAS,W,14,0,2,1,0,1,0
"Feb 01, 2024",CLE @ MEM,W,28,6,5,1,2,2,0
"Jan 31, 2024",CLE vs. DET,W,12,0,1,0,0,1,1
"Jan 29, 2024",CLE vs. LAC,W,26,6,4,2,0,0,1
"Jan 26, 2024",CLE @ MIL,W,21,9,5,0,0,1,0
"Jan 24, 2024",CLE @ MIL,L,23,6,5,0,0,1,1
"Jan 22, 2024",CLE @ ORL,W,24,9,3,0,2,0,0
"Jan 20, 2024",CLE @ ATL,W,26,17,5,0,1,0,0
"Jan 17, 2024",CLE vs. MIL,W,21,5,3,0,1,0,2
"Jan 15, 2024",CLE vs. CHI,W,26,12,7,3,3,0,0
"Jan 11, 2024",CLE vs. BKN,W,27,4,1,2,2,0,0
"Jan 07, 2024",CLE vs. SAS,W,11,0,2,1,0,0,1
"Jan 05, 2024",CLE vs. WAS,W,22,6,5,1,1,0,0
"Jan 03, 2024",CLE vs. WAS,W,20,2,3,1,0,0,0
"Jan 01, 2024",CLE @ TOR,L,21,2,3,0,1,0,0
"Dec 29, 2023",CLE vs. MIL,L,17,0,5,1,1,0,2
"Dec 27, 2023",CLE @ DAL,W,32,3,8,0,0,0,0
"Dec 23, 2023",CLE @ CHI,W,36,11,7,1,2,0,1
"Dec 21, 2023",CLE vs. NOP,L,26,20,9,0,0,2,0
"Dec 20, 2023",CLE vs. UTA,W,30,3,7,2,0,0,0
"Dec 18, 2023",CLE vs. HOU,W,22,12,3,1,1,2,2
"Dec 16, 2023",CLE vs. ATL,W,22,16,5,3,1,0,0
"Dec 14, 2023",CLE @ BOS,L,16,5,4,0,0,0,0
"Dec 12, 2023",CLE @ BOS,L,20,8,3,3,0,1,0
"Dec 11, 2023",CLE @ ORL,L,29,9,6,0,3,0,2
"Dec 08, 2023",CLE @ MIA,W,25,5,6,0,3,0,1
"Dec 06, 2023",CLE vs. ORL,W,14,8,5,0,0,0,0
"Nov 21, 2023",CLE @ PHI,W,31,0,8,2,3,0,1
"Nov 19, 2023",CLE vs. DEN,W,24,6,10,2,2,0,0
"Nov 17, 2023",CLE vs. DET,W,22,3,1,0,0,0,0
"Nov 15, 2023",CLE @ POR,W,33,0,3,2,0,1,0
"Nov 13, 2023",CLE @ SAC,L,13,0,0,1,0,0,0
"Nov 11, 2023",CLE @ GSW,W,17,8,7,0,0,0,0
"Nov 08, 2023",CLE @ OKC,L,11,0,6,0,1,1,2
"Nov 05, 2023",CLE vs. GSW,W,13,3,4,0,3,0,0
"Nov 03, 2023",CLE @ IND,L,3,0,0,0,0,0,0
"Nov 01, 2023",CLE @ NYK,W,20,6,3,0,0,0,0
"Oct 31, 2023",CLE vs. NYK,L,16,0,3,1,0,0,1
"Oct 28, 2023",CLE vs. IND,L,37,6,3,3,0,1,0
"Oct 27, 2023",CLE vs. OKC,L,27,8,5,0,2,0,1
