GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",CLE vs. CHA,L,29,7,3,3,0,0,6
"Apr 10, 2024",CLE vs. MEM,W,2,0,0,0,0,0,0
"Mar 25, 2024",CLE vs. CHA,W,3,0,0,0,0,0,0
"Mar 24, 2024",CLE @ MIA,L,11,9,0,1,0,0,0
"Mar 10, 2024",CLE vs. BKN,L,12,7,1,0,0,0,1
"Dec 27, 2023",CLE @ DAL,W,6,0,1,3,0,0,0
"Dec 23, 2023",CLE @ CHI,W,9,3,0,0,0,1,0
"Dec 21, 2023",CLE vs. NOP,L,9,3,0,1,0,0,0
"Nov 22, 2023",CLE vs. MIA,L,16,3,1,1,1,0,0
"Nov 19, 2023",CLE vs. DEN,W,4,0,1,0,0,0,0
"Nov 17, 2023",CLE vs. DET,W,1,0,0,0,0,0,0
"Nov 15, 2023",CLE @ POR,W,2,0,1,0,0,0,0
"Nov 11, 2023",CLE @ GSW,W,1,0,0,0,0,0,0
"Oct 31, 2023",CLE vs. NYK,L,23,9,6,1,0,1,1
"Oct 28, 2023",CLE vs. IND,L,7,0,0,0,0,0,0
