GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",ORL vs. MIL,W,33,25,5,3,3,0,0
"Apr 12, 2024",ORL @ PHI,L,35,24,6,3,1,1,1
"Apr 07, 2024",ORL vs. CHI,W,20,16,4,3,1,0,0
"Apr 05, 2024",ORL @ CHA,L,28,22,7,1,1,0,1
"Apr 03, 2024",ORL @ NOP,W,33,24,2,5,0,1,4
"Apr 01, 2024",ORL vs. POR,W,33,20,6,1,0,0,1
"Mar 30, 2024",ORL vs. MEM,W,29,13,4,4,1,0,0
"Mar 29, 2024",ORL vs. LAC,L,36,13,3,3,2,1,1
"Mar 27, 2024",ORL vs. GSW,L,31,14,5,1,1,0,1
"Mar 23, 2024",ORL vs. SAC,L,35,18,3,4,0,0,0
"Mar 21, 2024",ORL vs. NOP,W,28,18,3,3,1,0,0
"Mar 19, 2024",ORL vs. CHA,W,24,11,0,3,1,0,1
"Mar 17, 2024",ORL vs. TOR,W,31,22,8,4,0,1,5
"Mar 15, 2024",ORL @ TOR,W,31,19,7,4,2,0,4
"Mar 13, 2024",ORL vs. BKN,W,28,14,5,6,3,0,0
"Mar 10, 2024",ORL vs. IND,L,29,13,4,2,2,0,1
"Mar 08, 2024",ORL @ NYK,L,34,13,4,0,1,0,0
"Mar 06, 2024",ORL @ WAS,W,39,28,5,2,0,2,1
"Mar 05, 2024",ORL @ CHA,W,30,8,3,2,1,0,4
"Mar 03, 2024",ORL vs. DET,W,29,13,8,1,0,2,3
"Feb 29, 2024",ORL vs. UTA,W,34,14,3,6,2,2,4
"Feb 27, 2024",ORL vs. BKN,W,28,21,5,5,0,1,3
"Feb 25, 2024",ORL @ ATL,L,33,19,8,5,1,0,2
"Feb 24, 2024",ORL @ DET,W,32,14,5,3,0,0,5
"Feb 22, 2024",ORL @ CLE,W,32,14,4,4,1,0,3
"Feb 14, 2024",ORL vs. NYK,W,32,21,3,6,3,1,1
"Feb 13, 2024",ORL vs. OKC,L,34,15,7,2,0,0,2
"Feb 10, 2024",ORL vs. CHI,W,44,36,3,5,0,0,1
"Feb 08, 2024",ORL vs. SAS,W,28,34,7,7,0,2,1
"Feb 06, 2024",ORL @ MIA,L,35,13,7,3,2,0,7
"Feb 04, 2024",ORL @ DET,W,36,38,3,2,1,0,0
"Feb 02, 2024",ORL @ MIN,W,35,19,4,5,2,1,1
"Jan 31, 2024",ORL @ SAS,W,33,20,8,5,1,0,6
"Jan 29, 2024",ORL @ DAL,L,32,21,5,6,1,0,0
"Jan 28, 2024",ORL vs. PHX,W,31,11,8,7,1,0,2
"Jan 26, 2024",ORL @ MEM,L,38,18,5,4,1,1,5
"Jan 22, 2024",ORL vs. CLE,L,24,17,3,2,0,0,3
"Jan 21, 2024",ORL vs. MIA,W,28,19,2,5,0,0,0
"Jan 03, 2024",ORL @ SAC,L,5,6,2,1,0,0,0
"Jan 02, 2024",ORL @ GSW,L,37,25,6,3,2,0,4
"Dec 31, 2023",ORL @ PHX,L,39,27,7,6,0,1,2
"Dec 29, 2023",ORL vs. NYK,W,39,32,9,2,4,1,4
"Dec 27, 2023",ORL vs. PHI,L,36,24,5,3,1,0,4
"Dec 26, 2023",ORL @ WAS,W,38,28,8,9,1,1,2
"Dec 23, 2023",ORL @ IND,W,36,24,6,0,1,0,1
"Dec 21, 2023",ORL @ MIL,L,39,29,6,6,1,0,2
"Dec 20, 2023",ORL vs. MIA,L,32,15,6,5,2,1,0
"Dec 17, 2023",ORL @ BOS,L,37,8,8,6,0,0,0
"Dec 15, 2023",ORL @ BOS,L,34,17,5,5,3,0,6
"Dec 11, 2023",ORL vs. CLE,W,33,19,8,4,0,0,1
"Dec 08, 2023",ORL vs. DET,W,31,27,2,3,0,0,0
"Dec 06, 2023",ORL @ CLE,L,41,14,6,9,3,0,2
"Dec 02, 2023",ORL @ BKN,L,34,20,7,5,0,1,1
"Dec 01, 2023",ORL vs. WAS,W,34,31,7,8,0,0,0
"Nov 29, 2023",ORL vs. WAS,W,31,31,6,3,0,1,2
"Nov 26, 2023",ORL vs. CHA,W,35,30,7,2,2,0,3
"Nov 24, 2023",ORL vs. BOS,W,35,17,8,6,0,1,3
"Nov 22, 2023",ORL vs. DEN,W,31,27,3,4,1,2,1
"Nov 21, 2023",ORL vs. TOR,W,31,17,4,2,3,0,0
"Nov 19, 2023",ORL @ IND,W,22,19,7,1,2,0,0
"Nov 17, 2023",ORL @ CHI,W,35,21,4,2,2,0,2
"Nov 15, 2023",ORL @ CHI,W,31,13,2,3,0,0,1
"Nov 14, 2023",ORL @ BKN,L,36,21,8,5,0,0,0
"Nov 11, 2023",ORL vs. MIL,W,38,24,6,3,1,0,3
"Nov 09, 2023",ORL vs. ATL,L,29,12,7,3,0,0,4
"Nov 06, 2023",ORL vs. DAL,L,33,12,5,4,1,0,1
"Nov 04, 2023",ORL vs. LAL,W,33,26,5,2,1,1,1
"Nov 02, 2023",ORL @ UTA,W,38,21,4,5,4,0,2
"Oct 31, 2023",ORL @ LAC,L,32,14,8,3,0,1,3
"Oct 30, 2023",ORL @ LAL,L,37,16,8,4,2,0,2
"Oct 27, 2023",ORL @ POR,W,35,23,5,3,1,1,3
"Oct 25, 2023",ORL vs. HOU,W,27,19,4,2,1,0,3
