GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",LAL @ NOP,W,13,0,0,1,0,0,0
"Apr 12, 2024",LAL @ MEM,W,19,5,1,1,0,0,0
"Apr 09, 2024",LAL vs. GSW,L,15,0,1,1,2,0,1
"Apr 06, 2024",LAL vs. CLE,W,14,0,0,2,0,0,0
"Apr 03, 2024",LAL @ WAS,W,14,0,1,0,0,0,1
"Mar 31, 2024",LAL @ BKN,W,14,2,1,1,1,0,1
"Dec 20, 2023",LAL @ CHI,L,14,3,1,3,0,0,0
"Oct 30, 2023",LAL vs. ORL,W,25,9,0,2,1,0,0
"Oct 29, 2023",LAL @ SAC,L,32,2,0,2,1,0,0
"Oct 26, 2023",LAL vs. PHX,W,35,7,3,6,3,0,0
"Oct 24, 2023",LAL @ DEN,L,22,6,1,2,1,0,2
