GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2024",MIL vs. BOS,W,29,15,8,7,1,2,4
"Apr 07, 2024",MIL vs. NYK,L,39,28,15,8,1,2,4
"Apr 03, 2024",MIL vs. MEM,L,32,21,7,8,1,5,3
"Apr 02, 2024",MIL @ WAS,L,36,35,15,10,0,0,2
"Mar 30, 2024",MIL @ ATL,W,38,36,16,8,3,1,3
"Mar 28, 2024",MIL @ NOP,L,39,35,14,4,0,0,2
"Mar 26, 2024",MIL vs. LAL,L,46,29,21,11,2,3,7
"Mar 24, 2024",MIL vs. OKC,W,34,30,19,4,0,1,3
"Mar 21, 2024",MIL vs. BKN,W,35,21,9,5,0,2,2
"Mar 14, 2024",MIL vs. PHI,W,37,32,11,7,1,0,7
"Mar 12, 2024",MIL @ SAC,L,33,30,13,4,1,0,4
"Mar 10, 2024",MIL @ LAC,W,39,34,7,10,1,1,3
"Mar 08, 2024",MIL @ LAL,L,39,34,14,12,1,1,4
"Mar 06, 2024",MIL @ GSW,L,33,23,7,6,0,1,2
"Mar 01, 2024",MIL @ CHI,W,37,46,16,6,1,1,1
"Feb 29, 2024",MIL @ CHA,W,33,24,10,5,0,0,1
"Feb 27, 2024",MIL vs. CHA,W,24,24,8,1,0,0,1
"Feb 25, 2024",MIL @ PHI,W,36,30,12,9,0,1,6
"Feb 23, 2024",MIL @ MIN,W,41,33,13,5,1,0,3
"Feb 15, 2024",MIL @ MEM,L,37,35,4,12,0,0,1
"Feb 13, 2024",MIL vs. MIA,L,34,23,11,8,0,2,5
"Feb 12, 2024",MIL vs. DEN,W,30,36,18,5,3,2,2
"Feb 09, 2024",MIL vs. CHA,W,24,15,14,3,1,1,0
"Feb 08, 2024",MIL vs. MIN,L,27,17,3,7,1,0,3
"Feb 06, 2024",MIL @ PHX,L,39,34,10,6,0,0,5
"Feb 04, 2024",MIL @ UTA,L,40,33,7,13,0,1,5
"Feb 03, 2024",MIL @ DAL,W,40,48,6,10,5,1,1
"Jan 31, 2024",MIL @ POR,L,38,27,8,4,3,1,6
"Jan 29, 2024",MIL @ DEN,L,37,29,12,4,1,1,2
"Jan 27, 2024",MIL vs. NOP,W,29,30,12,4,2,0,1
"Jan 26, 2024",MIL vs. CLE,L,36,22,11,9,1,1,6
"Jan 24, 2024",MIL vs. CLE,W,35,35,18,10,0,2,2
"Jan 22, 2024",MIL @ DET,W,36,31,17,10,3,2,2
"Jan 20, 2024",MIL @ DET,W,38,31,10,9,2,1,5
"Jan 14, 2024",MIL vs. SAC,W,40,27,10,10,3,0,4
"Jan 13, 2024",MIL vs. GSW,W,37,33,9,5,0,0,4
"Jan 11, 2024",MIL vs. BOS,W,26,24,12,6,1,1,4
"Jan 08, 2024",MIL vs. UTA,L,38,25,10,11,0,0,4
"Jan 06, 2024",MIL @ HOU,L,39,48,17,2,0,1,2
"Jan 04, 2024",MIL @ SAS,W,40,44,14,7,2,1,1
"Jan 03, 2024",MIL @ IND,L,36,26,11,8,3,1,3
"Jan 01, 2024",MIL vs. IND,L,37,30,18,11,1,2,4
"Dec 29, 2023",MIL @ CLE,W,37,34,16,5,1,0,3
"Dec 27, 2023",MIL @ BKN,W,30,32,10,8,0,2,2
"Dec 25, 2023",MIL @ NYK,L,39,32,13,6,1,2,2
"Dec 23, 2023",MIL @ NYK,W,32,28,7,7,1,1,5
"Dec 21, 2023",MIL vs. ORL,W,37,37,10,6,0,2,5
"Dec 19, 2023",MIL vs. SAS,W,34,11,14,16,2,1,3
"Dec 17, 2023",MIL vs. HOU,W,39,26,17,3,0,0,6
"Dec 16, 2023",MIL vs. DET,W,26,22,8,6,1,0,0
"Dec 13, 2023",MIL vs. IND,W,37,64,14,3,4,1,4
"Dec 11, 2023",MIL vs. CHI,W,41,32,12,6,2,0,2
"Dec 07, 2023",MIL vs. IND,L,41,37,10,2,0,2,1
"Dec 05, 2023",MIL vs. NYK,W,34,35,8,10,3,0,4
"Dec 02, 2023",MIL vs. ATL,W,36,32,11,10,2,1,5
"Nov 30, 2023",MIL @ CHI,L,39,26,14,5,2,5,5
"Nov 28, 2023",MIL @ MIA,W,40,33,10,5,3,1,4
"Nov 26, 2023",MIL vs. POR,W,39,33,16,6,1,3,4
"Nov 24, 2023",MIL vs. WAS,W,37,31,9,3,3,1,3
"Nov 22, 2023",MIL @ BOS,L,37,21,13,5,2,0,3
"Nov 20, 2023",MIL @ WAS,W,34,42,13,8,1,1,5
"Nov 18, 2023",MIL vs. DAL,W,38,40,15,7,2,1,3
"Nov 17, 2023",MIL @ CHA,W,28,16,8,9,1,0,4
"Nov 13, 2023",MIL vs. CHI,W,35,35,11,2,0,0,3
"Nov 11, 2023",MIL @ ORL,L,37,35,10,7,4,2,6
"Nov 09, 2023",MIL @ IND,L,36,54,12,3,0,0,8
"Nov 08, 2023",MIL vs. DET,W,22,15,9,5,0,3,1
"Nov 06, 2023",MIL @ BKN,W,35,36,12,3,1,2,3
"Nov 03, 2023",MIL vs. NYK,W,36,22,8,6,0,1,7
"Nov 01, 2023",MIL @ TOR,L,28,16,4,2,1,0,3
"Oct 30, 2023",MIL vs. MIA,W,32,33,7,2,0,1,2
"Oct 29, 2023",MIL vs. ATL,L,29,26,11,3,1,2,3
"Oct 26, 2023",MIL vs. PHI,W,35,23,12,3,2,2,7
