GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",TOR @ MIA,L,29,14,2,1,2,0,2
"Apr 12, 2024",TOR @ MIA,L,31,8,1,0,0,0,0
"Apr 10, 2024",TOR @ BKN,L,34,24,4,0,0,0,1
"Apr 07, 2024",TOR vs. WAS,W,24,13,4,0,0,0,0
"Apr 05, 2024",TOR @ MIL,W,26,10,5,0,1,0,0
"Apr 03, 2024",TOR @ MIN,L,34,16,8,0,1,0,4
"Apr 02, 2024",TOR vs. LAL,L,32,14,2,0,0,0,0
"Mar 31, 2024",TOR vs. PHI,L,31,12,0,2,2,0,2
"Mar 27, 2024",TOR vs. NYK,L,30,23,1,0,0,0,0
"Mar 25, 2024",TOR vs. BKN,L,33,8,3,2,1,0,2
"Mar 23, 2024",TOR @ WAS,L,34,17,2,2,0,1,0
"Mar 22, 2024",TOR vs. OKC,L,33,21,5,1,1,0,4
"Mar 20, 2024",TOR vs. SAC,L,32,5,1,3,1,0,2
"Mar 17, 2024",TOR @ ORL,L,27,10,0,1,0,0,3
"Mar 15, 2024",TOR vs. ORL,L,23,8,2,1,0,1,1
"Mar 13, 2024",TOR @ DET,L,32,9,3,1,1,0,2
"Mar 11, 2024",TOR @ DEN,L,36,17,4,7,2,0,1
"Mar 09, 2024",TOR @ POR,L,39,8,5,2,0,0,0
"Mar 07, 2024",TOR @ PHX,L,31,12,2,0,0,0,1
"Mar 05, 2024",TOR vs. NOP,L,27,2,2,0,1,0,2
"Mar 03, 2024",TOR vs. CHA,W,24,11,4,0,1,0,0
"Mar 01, 2024",TOR vs. GSW,L,27,12,2,3,1,0,0
"Feb 28, 2024",TOR vs. DAL,L,19,7,3,0,0,0,1
"Feb 26, 2024",TOR @ IND,W,23,18,5,2,1,0,0
"Feb 23, 2024",TOR @ ATL,W,22,18,2,1,0,0,0
"Feb 22, 2024",TOR vs. BKN,W,17,7,4,0,0,0,0
"Feb 14, 2024",TOR vs. IND,L,21,7,1,1,1,0,1
"Feb 12, 2024",TOR vs. SAS,L,22,18,2,0,0,0,1
"Feb 10, 2024",TOR vs. CLE,L,22,14,0,1,0,0,1
"Feb 09, 2024",TOR vs. HOU,W,20,6,1,1,1,0,0
"Feb 07, 2024",TOR @ CHA,W,15,6,1,2,0,0,1
"Feb 05, 2024",TOR @ NOP,L,30,22,4,2,1,0,0
"Feb 04, 2024",TOR @ OKC,L,10,6,0,1,0,0,0
"Feb 02, 2024",TOR @ HOU,L,24,3,7,0,3,0,1
"Jan 30, 2024",TOR @ CHI,W,20,0,3,4,1,0,0
"Jan 28, 2024",TOR @ ATL,L,25,15,5,3,1,0,2
"Jan 26, 2024",TOR vs. LAC,L,21,6,4,2,1,0,0
"Jan 22, 2024",TOR vs. MEM,L,15,0,3,0,0,0,1
"Jan 20, 2024",TOR @ NYK,L,16,11,2,1,1,0,0
"Jan 17, 2024",TOR vs. MIA,W,12,6,0,4,2,0,2
"Jan 12, 2024",TOR @ UTA,L,12,0,1,2,0,0,0
"Dec 27, 2023",TOR @ WAS,W,5,3,0,0,1,0,0
"Dec 22, 2023",TOR @ PHI,L,2,0,0,0,1,0,0
"Dec 15, 2023",TOR vs. ATL,L,3,3,0,0,0,0,0
"Dec 11, 2023",TOR @ NYK,L,4,2,0,0,0,0,0
"Nov 24, 2023",TOR vs. CHI,W,9,2,1,0,0,0,1
"Nov 21, 2023",TOR @ ORL,L,12,3,2,2,0,0,0
"Nov 19, 2023",TOR vs. DET,W,12,5,0,0,1,0,0
"Nov 17, 2023",TOR vs. BOS,L,10,0,1,1,0,0,2
"Nov 15, 2023",TOR vs. MIL,L,26,11,0,2,1,0,1
"Nov 13, 2023",TOR vs. WAS,W,24,8,4,2,0,0,2
"Nov 11, 2023",TOR @ BOS,L,15,4,1,1,0,0,1
"Nov 08, 2023",TOR @ DAL,W,7,0,0,0,0,0,2
"Nov 05, 2023",TOR @ SAS,W,14,0,3,4,0,0,1
"Nov 02, 2023",TOR @ PHI,L,14,0,0,1,0,0,1
"Nov 01, 2023",TOR vs. MIL,W,21,5,1,0,0,0,0
"Oct 30, 2023",TOR vs. POR,L,21,4,6,0,2,0,0
"Oct 28, 2023",TOR vs. PHI,L,28,16,2,1,0,0,1
"Oct 27, 2023",TOR @ CHI,L,6,0,1,0,0,0,0
"Oct 25, 2023",TOR vs. MIN,W,2,0,0,1,0,0,0
