GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 12, 2024",POR vs. HOU,L,14,9,5,0,0,0,1
"Apr 11, 2024",POR vs. GSW,L,36,17,16,1,1,0,0
"Apr 09, 2024",POR vs. NOP,L,28,4,10,0,0,0,1
"Apr 07, 2024",POR @ BOS,L,34,14,18,0,1,0,2
"Apr 05, 2024",POR @ WAS,W,39,11,13,3,0,0,3
"Apr 03, 2024",POR @ CHA,W,42,14,22,2,0,1,0
"Apr 01, 2024",POR @ ORL,L,40,18,9,5,0,0,0
"Mar 29, 2024",POR @ MIA,L,35,4,3,2,0,0,1
"Mar 27, 2024",POR @ ATL,L,19,4,4,1,0,0,0
"Mar 25, 2024",POR @ HOU,L,26,7,5,0,0,0,0
"Mar 23, 2024",POR vs. DEN,L,26,15,9,0,1,0,1
"Mar 22, 2024",POR vs. LAC,L,28,14,8,3,1,0,0
"Mar 20, 2024",POR vs. LAC,L,23,12,3,0,2,0,3
"Mar 18, 2024",POR @ CHI,L,33,3,10,4,1,0,0
"Mar 16, 2024",POR @ NOP,L,17,10,5,0,0,0,1
"Mar 06, 2024",POR vs. OKC,L,19,9,6,2,1,0,0
"Mar 04, 2024",POR @ MIN,L,28,4,8,1,0,0,0
"Mar 02, 2024",POR @ MEM,W,31,18,12,2,1,0,2
"Mar 01, 2024",POR @ MEM,W,22,19,10,2,2,1,2
"Feb 27, 2024",POR vs. MIA,L,19,7,2,2,0,0,0
"Feb 25, 2024",POR vs. CHA,L,18,6,5,0,0,0,1
"Feb 23, 2024",POR vs. DEN,L,14,2,6,0,0,0,1
"Feb 15, 2024",POR vs. MIN,L,24,8,4,1,1,0,0
"Feb 13, 2024",POR vs. MIN,L,17,4,7,0,0,0,1
"Feb 10, 2024",POR vs. NOP,L,29,6,4,0,0,0,1
"Feb 08, 2024",POR vs. DET,L,43,17,11,2,1,2,1
"Feb 04, 2024",POR @ DEN,L,30,4,7,0,0,0,1
"Feb 02, 2024",POR @ DEN,L,21,7,8,0,0,0,1
"Jan 31, 2024",POR vs. MIL,W,16,8,5,2,1,0,1
"Jan 29, 2024",POR vs. PHI,W,31,8,12,0,1,0,1
"Jan 28, 2024",POR vs. CHI,L,24,7,6,0,0,1,3
"Jan 26, 2024",POR @ SAS,L,37,3,9,2,2,1,0
"Jan 24, 2024",POR @ HOU,W,24,9,7,1,0,0,2
"Jan 23, 2024",POR @ OKC,L,34,14,13,0,0,1,1
"Jan 21, 2024",POR @ LAL,L,22,12,7,0,0,0,0
"Jan 19, 2024",POR vs. IND,W,41,13,12,3,0,1,0
"Jan 17, 2024",POR vs. BKN,W,30,4,6,0,1,0,0
"Jan 14, 2024",POR vs. PHX,L,29,11,8,1,0,0,1
"Jan 12, 2024",POR @ MIN,L,32,17,13,3,1,0,4
"Jan 03, 2024",POR @ DAL,L,17,4,5,4,0,0,1
"Jan 01, 2024",POR @ PHX,L,25,10,9,0,1,0,1
"Dec 29, 2023",POR vs. SAS,W,30,25,9,1,1,1,1
"Dec 28, 2023",POR vs. SAS,L,30,6,9,0,1,1,1
"Dec 26, 2023",POR vs. SAC,W,22,17,6,1,0,0,0
"Dec 23, 2023",POR @ GSW,L,18,5,5,0,0,1,1
"Dec 21, 2023",POR vs. WAS,L,24,8,11,3,1,1,2
"Dec 19, 2023",POR vs. PHX,W,10,9,2,0,0,0,0
"Dec 17, 2023",POR vs. GSW,L,15,4,5,0,1,1,1
"Dec 16, 2023",POR vs. DAL,L,5,0,2,0,0,0,0
"Dec 14, 2023",POR vs. UTA,L,28,13,9,1,1,0,0
"Dec 11, 2023",POR @ LAC,L,22,9,8,1,1,0,1
"Dec 08, 2023",POR vs. DAL,L,27,10,3,2,0,0,0
"Dec 06, 2023",POR @ GSW,L,22,12,5,1,1,1,2
"Dec 02, 2023",POR @ UTA,L,24,4,6,1,1,0,1
"Nov 30, 2023",POR @ CLE,W,24,6,12,1,1,0,1
"Nov 27, 2023",POR @ IND,W,15,1,3,0,0,0,1
"Nov 26, 2023",POR @ MIL,L,16,4,3,0,0,0,1
"Nov 22, 2023",POR vs. UTA,W,28,19,10,2,2,0,1
"Nov 21, 2023",POR @ PHX,L,14,8,3,0,0,0,1
"Nov 19, 2023",POR vs. OKC,L,22,13,7,2,1,0,3
"Nov 17, 2023",POR vs. LAL,L,18,7,5,1,0,0,0
"Nov 15, 2023",POR vs. CLE,L,23,12,3,1,0,2,2
"Nov 14, 2023",POR @ UTA,L,21,12,8,0,2,1,0
"Nov 12, 2023",POR @ LAL,L,18,8,4,1,1,1,0
"Nov 08, 2023",POR @ SAC,L,15,2,2,1,0,0,1
"Nov 05, 2023",POR vs. MEM,L,16,5,5,1,3,1,0
"Nov 03, 2023",POR vs. MEM,W,9,0,4,0,0,1,0
"Nov 01, 2023",POR @ DET,W,10,1,2,0,0,0,1
"Oct 30, 2023",POR @ TOR,W,16,4,3,0,0,1,1
"Oct 29, 2023",POR @ PHI,L,24,12,7,1,4,1,2
"Oct 27, 2023",POR vs. ORL,L,9,9,4,0,0,0,0
"Oct 25, 2023",POR @ LAC,L,6,6,1,0,0,0,2
