GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",BOS vs. WAS,W,20,7,2,0,3,1,1
"Apr 12, 2024",BOS vs. CHA,W,25,11,6,4,3,0,1
"Apr 11, 2024",BOS vs. NYK,L,13,3,1,0,2,0,1
"Apr 07, 2024",BOS vs. POR,W,1,0,0,0,1,0,1
"Mar 25, 2024",BOS @ ATL,L,8,2,1,0,0,1,0
"Mar 23, 2024",BOS @ CHI,W,0,0,0,0,0,0,0
"Mar 22, 2024",BOS @ DET,W,3,0,0,0,0,0,0
"Mar 18, 2024",BOS vs. DET,W,22,6,4,4,0,2,0
"Mar 17, 2024",BOS @ WAS,W,16,2,2,0,1,0,3
"Mar 12, 2024",BOS @ UTA,W,1,0,0,0,0,0,0
"Mar 11, 2024",BOS @ POR,W,2,0,0,0,1,0,0
"Mar 09, 2024",BOS @ PHX,W,0,0,0,0,0,0,0
"Mar 03, 2024",BOS vs. GSW,W,12,2,2,1,0,0,1
"Mar 01, 2024",BOS vs. DAL,W,2,2,1,0,0,0,0
"Feb 27, 2024",BOS vs. PHI,W,2,0,1,0,0,0,0
"Feb 24, 2024",BOS @ NYK,W,1,0,0,0,0,0,0
"Feb 22, 2024",BOS @ CHI,W,2,0,0,0,0,0,0
"Feb 07, 2024",PHI vs. GSW,L,23,8,4,1,2,1,1
"Feb 05, 2024",PHI vs. DAL,L,21,8,5,4,3,0,1
"Feb 03, 2024",PHI vs. BKN,L,26,11,5,3,1,0,1
"Feb 01, 2024",PHI @ UTA,W,19,3,1,2,1,0,0
"Jan 30, 2024",PHI @ GSW,L,21,10,5,2,4,0,1
"Jan 29, 2024",PHI @ POR,L,8,8,2,0,1,0,2
"Jan 27, 2024",PHI @ DEN,L,7,0,1,1,0,1,2
"Jan 25, 2024",PHI @ IND,L,15,8,2,0,0,0,0
"Jan 12, 2024",PHI vs. SAC,W,3,2,1,0,0,0,0
"Jan 10, 2024",PHI @ ATL,L,13,2,1,0,1,0,0
"Jan 06, 2024",PHI vs. UTA,L,13,0,2,2,0,0,0
"Jan 05, 2024",PHI vs. NYK,L,15,3,1,1,1,1,0
"Jan 02, 2024",PHI vs. CHI,W,21,4,2,2,1,1,2
"Dec 27, 2023",PHI @ ORL,W,1,0,0,0,0,0,1
"Dec 25, 2023",PHI @ MIA,L,1,0,0,0,0,0,0
"Dec 22, 2023",PHI vs. TOR,W,1,0,0,0,0,0,0
"Dec 20, 2023",PHI vs. MIN,W,2,0,0,1,0,0,0
"Dec 16, 2023",PHI @ CHA,W,12,6,2,1,1,0,2
"Dec 15, 2023",PHI vs. DET,W,12,9,2,3,2,1,0
"Dec 13, 2023",PHI @ DET,W,7,5,0,2,0,0,0
"Dec 11, 2023",PHI vs. WAS,W,9,6,0,0,2,0,1
"Nov 22, 2023",PHI @ MIN,L,8,0,3,1,1,0,2
"Nov 21, 2023",PHI vs. CLE,L,7,0,1,0,0,0,1
"Nov 19, 2023",PHI @ BKN,W,21,10,5,2,0,0,0
"Nov 17, 2023",PHI @ ATL,W,22,8,3,2,1,2,3
"Nov 15, 2023",PHI vs. BOS,L,20,9,2,0,2,0,2
"Nov 10, 2023",PHI @ DET,W,5,2,0,0,0,0,0
"Nov 06, 2023",PHI vs. WAS,W,12,2,1,0,1,0,1
"Nov 04, 2023",PHI vs. PHX,W,11,2,3,2,0,1,1
"Nov 02, 2023",PHI vs. TOR,W,9,0,2,1,0,0,1
"Oct 29, 2023",PHI vs. POR,W,8,2,2,2,0,1,1
"Oct 26, 2023",PHI @ MIL,L,5,0,0,0,0,2,0
