GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",MIL @ ORL,L,22,6,2,0,1,0,2
"Apr 12, 2024",MIL @ OKC,L,25,3,5,1,0,0,1
"Apr 10, 2024",MIL vs. ORL,W,31,14,4,1,0,1,0
"Apr 07, 2024",MIL vs. NYK,L,15,0,2,3,0,0,1
"Apr 05, 2024",MIL vs. TOR,L,18,4,5,1,1,0,0
"Apr 03, 2024",MIL vs. MEM,L,25,6,2,0,0,1,0
"Apr 02, 2024",MIL @ WAS,L,21,5,2,1,1,0,0
"Mar 30, 2024",MIL @ ATL,W,13,5,2,0,0,0,1
"Mar 28, 2024",MIL @ NOP,L,15,3,2,2,0,0,0
"Mar 26, 2024",MIL vs. LAL,L,18,5,2,0,1,0,0
"Mar 24, 2024",MIL vs. OKC,W,18,10,2,2,1,0,0
"Mar 21, 2024",MIL vs. BKN,W,30,6,3,2,0,0,1
"Mar 20, 2024",MIL @ BOS,L,15,7,2,2,0,0,1
"Mar 17, 2024",MIL vs. PHX,W,32,18,2,0,3,0,0
"Mar 14, 2024",MIL vs. PHI,W,19,9,2,0,0,0,0
"Mar 12, 2024",MIL @ SAC,L,16,0,0,2,1,0,0
"Mar 10, 2024",MIL @ LAC,W,19,7,2,1,1,1,0
"Mar 08, 2024",MIL @ LAL,L,21,4,3,0,1,0,0
"Mar 06, 2024",MIL @ GSW,L,17,4,6,1,1,0,0
"Mar 04, 2024",MIL vs. LAC,W,18,3,2,1,0,0,0
"Mar 01, 2024",MIL @ CHI,W,24,3,3,0,2,0,0
"Feb 29, 2024",MIL @ CHA,W,23,4,2,1,2,0,1
"Feb 27, 2024",MIL vs. CHA,W,23,10,7,2,0,0,0
"Feb 25, 2024",MIL @ PHI,W,25,0,8,3,1,0,1
"Feb 23, 2024",MIL @ MIN,W,35,2,7,1,2,1,2
"Feb 15, 2024",MIL @ MEM,L,24,4,5,0,1,0,1
"Feb 13, 2024",MIL vs. MIA,L,18,2,1,1,0,0,1
"Feb 12, 2024",MIL vs. DEN,W,23,2,1,1,2,0,1
"Feb 09, 2024",MIL vs. CHA,W,30,5,2,3,0,0,0
"Feb 08, 2024",MIL vs. MIN,L,37,21,8,5,1,0,0
"Feb 06, 2024",MIL @ PHX,L,40,10,6,3,2,1,1
"Feb 04, 2024",MIL @ UTA,L,40,6,2,3,1,0,0
"Feb 03, 2024",MIL @ DAL,W,21,8,2,2,2,0,0
"Jan 31, 2024",MIL @ POR,L,19,6,5,2,0,1,0
"Jan 29, 2024",MIL @ DEN,L,19,3,0,1,1,0,0
"Jan 27, 2024",MIL vs. NOP,W,22,5,4,1,0,0,0
"Jan 26, 2024",MIL vs. CLE,L,22,6,3,0,0,0,0
"Jan 24, 2024",MIL vs. CLE,W,18,3,3,1,0,0,3
"Jan 22, 2024",MIL @ DET,W,12,3,2,1,0,0,1
"Jan 20, 2024",MIL @ DET,W,14,2,2,0,1,0,0
"Jan 17, 2024",MIL @ CLE,L,19,15,1,0,1,0,0
"Nov 11, 2023",MIL @ ORL,L,17,1,2,0,0,0,0
"Nov 09, 2023",MIL @ IND,L,29,5,4,1,1,0,0
"Nov 08, 2023",MIL vs. DET,W,37,10,5,2,1,0,0
"Nov 06, 2023",MIL @ BKN,W,30,15,5,0,1,0,2
"Nov 03, 2023",MIL vs. NYK,W,24,14,6,2,1,0,0
"Nov 01, 2023",MIL @ TOR,L,25,9,1,3,0,1,0
"Oct 30, 2023",MIL vs. MIA,W,25,8,5,2,1,1,1
"Oct 29, 2023",MIL vs. ATL,L,26,2,3,3,0,1,0
"Oct 26, 2023",MIL vs. PHI,W,27,9,4,2,2,0,1
