GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",BKN @ PHI,L,32,9,9,1,1,2,0
"Apr 12, 2024",BKN @ NYK,L,33,11,7,0,1,0,0
"Apr 10, 2024",BKN vs. TOR,W,20,2,6,2,0,0,0
"Apr 07, 2024",BKN vs. SAC,L,32,11,6,3,1,1,3
"Apr 06, 2024",BKN vs. DET,W,18,10,4,1,1,0,1
"Apr 03, 2024",BKN vs. IND,W,10,4,4,0,0,0,0
"Apr 01, 2024",BKN @ IND,L,24,6,1,1,0,0,1
"Mar 31, 2024",BKN vs. LAL,L,8,2,2,0,0,0,0
"Mar 29, 2024",BKN vs. CHI,W,9,3,3,0,0,0,0
"Mar 27, 2024",BKN @ WAS,W,8,2,0,0,0,0,0
"Mar 25, 2024",BKN @ TOR,W,30,12,5,2,0,0,0
"Mar 23, 2024",BKN @ NYK,L,7,2,2,1,0,0,1
"Mar 21, 2024",BKN @ MIL,L,11,4,5,2,0,0,2
"Mar 19, 2024",BKN vs. NOP,L,10,6,2,0,0,0,0
"Mar 16, 2024",BKN @ IND,L,5,2,0,0,0,0,0
"Mar 13, 2024",BKN @ ORL,L,14,3,2,2,0,0,0
"Mar 10, 2024",BKN @ CLE,W,19,7,3,1,0,0,2
"Mar 09, 2024",BKN @ CHA,L,20,0,4,1,1,0,2
"Mar 07, 2024",BKN @ DET,L,9,2,1,0,0,0,1
"Mar 05, 2024",BKN vs. PHI,W,23,4,6,2,0,0,0
"Mar 04, 2024",BKN vs. MEM,L,12,5,5,1,0,0,1
"Mar 02, 2024",BKN vs. ATL,W,16,3,4,1,0,0,0
"Feb 29, 2024",BKN vs. ATL,W,25,6,5,2,0,0,1
"Feb 27, 2024",BKN @ ORL,L,23,5,3,1,1,0,0
"Feb 26, 2024",BKN @ MEM,W,7,3,0,0,0,0,0
"Feb 24, 2024",BKN @ MIN,L,0,0,0,0,0,0,0
"Feb 22, 2024",BKN @ TOR,L,4,2,0,1,0,0,0
"Feb 14, 2024",BKN @ BOS,L,19,4,1,2,0,0,0
"Feb 13, 2024",BKN vs. BOS,L,23,9,4,2,0,0,0
"Feb 10, 2024",BKN vs. SAS,W,30,8,6,2,0,0,0
"Feb 08, 2024",BKN vs. CLE,L,40,8,3,3,1,0,1
"Feb 06, 2024",BKN vs. DAL,L,18,10,4,2,1,0,0
"Jan 03, 2024",BKN @ HOU,L,5,0,0,0,1,0,0
"Jan 02, 2024",BKN @ NOP,L,12,8,4,2,1,0,0
"Dec 27, 2023",BKN vs. MIL,L,30,21,10,2,0,0,1
"Dec 23, 2023",BKN vs. DET,W,6,2,2,1,0,0,0
"Dec 20, 2023",BKN vs. NYK,L,6,2,1,2,1,0,0
"Dec 18, 2023",BKN @ UTA,L,8,5,0,0,0,0,1
"Dec 16, 2023",BKN @ GSW,L,11,2,1,0,0,0,1
"Dec 14, 2023",BKN @ DEN,L,17,7,4,2,0,0,0
"Dec 11, 2023",BKN @ SAC,L,4,2,1,0,0,0,0
"Nov 04, 2023",BKN vs. BOS,L,1,0,0,0,0,0,0
"Nov 01, 2023",BKN @ MIA,W,6,0,1,0,0,1,0
