GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",MIA vs. TOR,W,2,0,0,0,0,0,0
"Apr 12, 2024",MIA vs. TOR,W,1,0,1,0,0,0,0
"Apr 10, 2024",MIA vs. DAL,L,1,0,0,0,0,0,0
"Apr 05, 2024",MIA @ HOU,W,1,0,0,0,0,0,0
"Mar 31, 2024",MIA @ WAS,W,1,3,1,0,0,0,0
"Mar 29, 2024",MIA vs. POR,W,12,3,0,3,0,1,1
"Mar 26, 2024",MIA vs. GSW,L,2,0,0,0,0,0,0
"Mar 24, 2024",MIA vs. CLE,W,9,5,2,2,0,0,1
"Mar 22, 2024",MIA vs. NOP,L,4,2,1,1,0,0,1
"Mar 15, 2024",MIA @ DET,W,1,0,0,0,0,0,0
"Feb 14, 2024",MIA @ PHI,W,10,2,1,1,1,0,1
"Feb 13, 2024",MIA @ MIL,W,6,2,2,0,0,0,0
"Jan 05, 2024",MIA @ PHX,L,5,7,2,0,0,0,0
"Jan 03, 2024",MIA @ LAL,W,1,0,0,0,0,0,0
"Jan 01, 2024",MIA @ LAC,L,35,9,3,1,1,1,0
"Dec 30, 2023",MIA @ UTA,L,11,6,1,1,0,0,1
"Dec 28, 2023",MIA @ GSW,W,28,18,6,0,2,0,1
"Dec 25, 2023",MIA vs. PHI,W,17,3,5,0,0,1,0
"Dec 14, 2023",MIA vs. CHI,L,8,3,0,0,0,1,0
"Dec 13, 2023",MIA vs. CHA,W,29,14,3,1,2,1,0
"Dec 02, 2023",MIA vs. IND,L,5,0,0,0,0,0,0
"Nov 28, 2023",MIA vs. MIL,L,11,5,0,0,0,0,0
"Nov 25, 2023",MIA @ BKN,L,29,7,3,0,1,0,1
"Nov 11, 2023",MIA @ ATL,W,0,0,0,0,0,0,0
"Oct 28, 2023",MIA @ MIN,L,25,8,5,0,2,0,0
"Oct 27, 2023",MIA @ BOS,L,4,0,1,0,1,0,1
