GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",HOU @ LAC,W,21,5,4,2,1,0,4
"Apr 12, 2024",HOU @ POR,W,32,20,4,3,1,2,0
"Apr 11, 2024",HOU @ UTA,L,27,9,1,2,1,1,1
"Apr 09, 2024",HOU vs. ORL,W,23,8,2,4,1,2,0
"Apr 07, 2024",HOU @ DAL,L,16,13,1,2,1,0,2
"Apr 05, 2024",HOU vs. MIA,L,26,10,6,4,1,0,0
"Apr 04, 2024",HOU vs. GSW,L,15,8,6,1,1,0,0
"Apr 02, 2024",HOU @ MIN,L,19,4,2,0,0,0,2
"Mar 31, 2024",HOU vs. DAL,L,19,11,4,1,1,0,0
"Mar 29, 2024",HOU @ UTA,W,26,2,5,0,0,1,1
"Mar 27, 2024",HOU @ OKC,W,20,7,6,1,1,0,1
"Mar 25, 2024",HOU vs. POR,W,32,17,9,2,0,1,0
"Mar 23, 2024",HOU vs. UTA,W,18,6,2,3,0,0,2
"Mar 21, 2024",HOU vs. CHI,W,27,17,12,5,0,2,3
"Mar 19, 2024",HOU @ WAS,W,20,10,3,0,0,7,0
"Mar 16, 2024",HOU vs. CLE,W,17,6,3,0,0,1,0
"Mar 14, 2024",HOU vs. WAS,W,27,13,5,1,0,0,2
"Mar 12, 2024",HOU @ SAS,W,26,11,4,5,2,1,1
"Mar 10, 2024",HOU @ SAC,W,17,9,5,4,0,1,0
"Mar 08, 2024",HOU @ POR,W,13,5,3,3,0,1,0
"Mar 06, 2024",HOU vs. LAC,L,6,4,1,0,0,0,0
"Mar 05, 2024",HOU vs. SAS,W,11,2,8,0,1,0,0
"Mar 02, 2024",HOU @ PHX,W,10,0,2,1,0,0,0
"Feb 29, 2024",HOU @ PHX,L,10,8,6,0,0,2,0
"Feb 27, 2024",HOU @ OKC,L,2,0,0,0,0,0,0
"Feb 25, 2024",HOU vs. OKC,L,1,0,0,0,0,0,0
"Feb 22, 2024",HOU @ NOP,L,12,2,3,3,1,0,0
"Feb 10, 2024",HOU @ ATL,L,13,2,9,2,0,0,2
"Feb 04, 2024",HOU @ MIN,L,7,4,0,0,0,1,0
"Jan 27, 2024",HOU @ BKN,L,6,0,2,1,0,0,1
"Jan 26, 2024",HOU @ CHA,W,15,6,6,2,1,1,0
"Jan 24, 2024",HOU vs. POR,L,13,6,3,2,0,0,0
"Jan 21, 2024",HOU vs. BOS,L,11,3,3,0,0,0,1
"Jan 15, 2024",HOU @ PHI,L,9,4,1,0,1,3,0
"Jan 13, 2024",HOU @ BOS,L,12,2,3,1,0,0,0
"Jan 05, 2024",HOU vs. MIN,L,5,0,0,0,0,1,0
"Jan 01, 2024",HOU vs. DET,W,7,0,0,0,0,0,0
"Dec 29, 2023",HOU vs. PHI,L,8,6,1,0,0,1,0
"Dec 27, 2023",HOU vs. PHX,L,12,5,5,0,0,0,0
"Dec 22, 2023",HOU vs. DAL,W,16,3,4,2,0,1,0
"Dec 18, 2023",HOU @ CLE,L,4,0,1,0,1,0,0
"Dec 15, 2023",HOU @ MEM,W,8,0,1,0,0,0,0
"Dec 13, 2023",HOU vs. MEM,W,10,2,3,0,0,0,0
"Dec 02, 2023",HOU @ LAL,L,3,0,0,0,0,1,0
"Nov 29, 2023",HOU @ DEN,L,14,6,1,0,1,0,1
"Nov 22, 2023",HOU vs. MEM,W,4,2,1,0,0,0,0
"Nov 20, 2023",HOU @ GSW,L,4,0,1,0,0,0,0
"Nov 19, 2023",HOU @ LAL,L,4,0,1,1,0,0,1
"Nov 17, 2023",HOU @ LAC,L,7,2,3,0,0,0,1
"Nov 12, 2023",HOU vs. DEN,W,2,0,1,0,0,0,0
"Nov 10, 2023",HOU vs. NOP,W,7,0,3,0,0,0,0
"Nov 08, 2023",HOU vs. LAL,W,12,2,3,0,0,1,1
"Nov 06, 2023",HOU vs. SAC,W,16,5,1,1,1,0,2
"Nov 04, 2023",HOU vs. SAC,W,12,0,3,3,1,0,0
"Nov 01, 2023",HOU vs. CHA,W,19,4,5,1,1,1,1
"Oct 25, 2023",HOU @ ORL,L,9,3,0,2,0,0,1
