GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 12, 2024",PHI vs. ORL,W,32,32,13,7,0,1,4
"Apr 09, 2024",PHI vs. DET,W,36,37,11,8,3,2,5
"Apr 06, 2024",PHI @ MEM,W,23,30,12,1,0,2,8
"Apr 04, 2024",PHI @ MIA,W,33,29,4,3,1,1,1
"Apr 02, 2024",PHI vs. OKC,W,29,24,6,7,3,0,6
"Jan 30, 2024",PHI @ GSW,L,30,14,7,2,2,0,8
"Jan 25, 2024",PHI @ IND,L,31,31,7,3,0,0,2
"Jan 22, 2024",PHI vs. SAS,W,37,70,18,5,1,1,1
"Jan 20, 2024",PHI @ CHA,W,37,33,10,5,0,3,3
"Jan 19, 2024",PHI @ ORL,W,31,36,7,2,4,0,1
"Jan 16, 2024",PHI vs. DEN,W,39,41,7,10,0,1,3
"Jan 15, 2024",PHI vs. HOU,W,31,41,10,3,1,1,2
"Jan 05, 2024",PHI vs. NYK,L,36,30,10,3,1,3,6
"Jan 02, 2024",PHI vs. CHI,W,31,31,15,10,1,2,4
"Dec 22, 2023",PHI vs. TOR,W,35,31,10,9,2,4,6
"Dec 20, 2023",PHI vs. MIN,W,36,51,12,3,2,1,2
"Dec 18, 2023",PHI vs. CHI,L,37,40,14,6,0,2,4
"Dec 16, 2023",PHI @ CHA,W,30,42,15,3,1,2,4
"Dec 15, 2023",PHI vs. DET,W,29,35,13,2,2,4,4
"Dec 13, 2023",PHI @ DET,W,31,41,11,5,2,0,2
"Dec 11, 2023",PHI vs. WAS,W,30,34,11,6,2,1,7
"Dec 08, 2023",PHI vs. ATL,W,36,38,14,3,1,4,2
"Dec 06, 2023",PHI @ WAS,W,38,50,13,7,1,1,6
"Nov 27, 2023",PHI vs. LAL,W,31,30,11,11,1,1,3
"Nov 25, 2023",PHI @ OKC,W,37,35,11,9,1,4,4
"Nov 21, 2023",PHI vs. CLE,L,41,32,13,5,2,5,6
"Nov 19, 2023",PHI @ BKN,W,31,32,12,9,0,1,1
"Nov 17, 2023",PHI @ ATL,W,37,32,7,8,2,0,4
"Nov 15, 2023",PHI vs. BOS,L,34,20,9,7,1,0,2
"Nov 14, 2023",PHI vs. IND,L,38,39,12,6,3,0,5
"Nov 12, 2023",PHI vs. IND,W,33,37,13,7,1,1,3
"Nov 10, 2023",PHI @ DET,W,36,33,16,3,0,2,5
"Nov 08, 2023",PHI vs. BOS,W,37,27,10,4,1,4,6
"Nov 06, 2023",PHI vs. WAS,W,31,48,11,6,1,1,1
"Nov 04, 2023",PHI vs. PHX,W,31,26,11,3,0,1,4
"Nov 02, 2023",PHI vs. TOR,W,35,28,13,7,0,1,4
"Oct 29, 2023",PHI vs. POR,W,29,35,15,7,2,6,3
"Oct 28, 2023",PHI @ TOR,W,35,34,9,8,1,2,1
"Oct 26, 2023",PHI @ MIL,L,36,24,7,6,0,1,7
