GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",WAS @ BOS,L,27,6,1,2,2,0,3
"Apr 12, 2024",WAS vs. CHI,L,25,15,2,2,1,0,0
"Apr 09, 2024",WAS @ MIN,L,20,10,3,0,0,0,2
"Apr 07, 2024",WAS @ TOR,L,6,0,0,0,0,1,0
"Apr 05, 2024",WAS vs. POR,L,21,7,1,3,0,0,0
"Apr 02, 2024",WAS vs. MIL,W,18,1,2,1,1,0,0
"Mar 31, 2024",WAS vs. MIA,L,19,4,5,0,0,0,0
"Mar 29, 2024",WAS vs. DET,L,10,0,0,1,1,0,0
"Mar 27, 2024",WAS vs. BKN,L,17,2,1,1,0,2,0
"Mar 25, 2024",WAS @ CHI,W,20,8,2,3,0,0,0
"Mar 23, 2024",WAS vs. TOR,W,17,4,1,1,1,1,0
"Mar 21, 2024",WAS vs. SAC,W,13,4,3,1,0,0,0
"Mar 19, 2024",WAS vs. HOU,L,27,2,1,0,1,0,0
"Mar 17, 2024",WAS vs. BOS,L,22,8,4,1,0,2,0
"Mar 16, 2024",WAS @ CHI,L,15,5,0,3,1,0,0
"Mar 14, 2024",WAS @ HOU,L,8,2,0,0,0,1,0
"Mar 12, 2024",WAS @ MEM,L,5,0,1,0,0,0,0
"Mar 10, 2024",WAS @ MIA,W,9,1,2,0,0,0,0
"Mar 08, 2024",WAS vs. CHA,W,8,0,2,0,0,1,1
"Mar 06, 2024",WAS vs. ORL,L,18,8,2,1,0,0,0
"Mar 04, 2024",WAS @ UTA,L,8,3,1,1,0,0,0
"Mar 01, 2024",WAS @ LAC,L,24,2,2,2,1,0,0
"Feb 29, 2024",WAS @ LAL,L,17,0,2,0,0,0,0
"Feb 27, 2024",WAS vs. GSW,L,8,0,1,0,0,0,0
"Feb 25, 2024",WAS vs. CLE,L,16,2,2,0,0,0,0
"Feb 23, 2024",WAS @ OKC,L,22,2,7,1,0,0,1
"Feb 22, 2024",WAS @ DEN,L,14,2,3,1,1,0,0
"Feb 04, 2024",WAS vs. PHX,L,18,3,0,1,1,0,1
"Feb 02, 2024",WAS vs. MIA,L,2,2,0,0,0,0,0
"Jan 31, 2024",WAS vs. LAC,L,12,2,1,1,0,1,0
"Jan 25, 2024",WAS vs. UTA,L,1,0,0,0,0,0,0
"Jan 15, 2024",WAS vs. DET,L,1,0,0,0,0,0,0
"Jan 06, 2024",WAS vs. NYK,L,3,2,0,0,0,0,0
"Jan 05, 2024",WAS @ CLE,L,6,0,1,0,0,0,0
"Jan 03, 2024",WAS @ CLE,L,5,2,0,0,0,0,0
"Dec 27, 2023",WAS vs. TOR,L,6,0,0,0,0,0,0
"Dec 01, 2023",WAS @ ORL,L,6,0,1,0,0,0,0
"Nov 29, 2023",WAS @ ORL,L,10,0,1,0,1,0,0
"Nov 27, 2023",WAS @ DET,W,7,2,0,0,0,0,1
"Nov 25, 2023",WAS vs. ATL,L,16,4,3,2,1,0,1
"Nov 24, 2023",WAS @ MIL,L,12,6,5,0,0,0,1
"Nov 22, 2023",WAS @ CHA,L,5,0,0,0,0,0,0
"Nov 20, 2023",WAS vs. MIL,L,6,0,1,1,0,0,0
"Nov 17, 2023",WAS vs. NYK,L,2,0,0,0,0,0,0
"Nov 15, 2023",WAS vs. DAL,L,7,4,1,1,1,0,0
"Nov 08, 2023",WAS @ CHA,W,3,0,0,0,0,1,0
"Nov 06, 2023",WAS @ PHI,L,14,4,3,1,0,0,0
"Nov 03, 2023",WAS @ MIA,L,13,11,1,0,1,0,0
"Nov 01, 2023",WAS @ ATL,L,10,7,1,0,3,0,0
"Oct 30, 2023",WAS vs. BOS,L,16,5,2,0,0,0,2
