GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",DEN @ MEM,W,1,0,0,0,0,0,1
"Apr 10, 2024",DEN vs. MIN,W,1,0,0,0,0,0,0
"Apr 09, 2024",DEN @ UTA,W,2,0,1,0,0,0,1
"Apr 06, 2024",DEN vs. ATL,W,12,5,4,3,0,0,2
"Apr 04, 2024",DEN @ LAC,L,2,0,1,0,0,0,0
"Mar 31, 2024",DEN vs. CLE,W,4,0,1,1,0,0,0
"Mar 29, 2024",DEN vs. MIN,L,1,0,0,0,0,0,0
"Mar 27, 2024",DEN vs. PHX,L,4,2,0,0,0,0,0
"Mar 25, 2024",DEN vs. MEM,W,22,14,2,1,0,0,2
"Mar 15, 2024",DEN @ SAS,W,1,0,0,0,0,0,0
"Mar 09, 2024",DEN vs. UTA,W,2,0,0,1,0,0,0
"Feb 28, 2024",DEN vs. SAC,W,2,0,0,1,0,0,0
"Feb 25, 2024",DEN @ GSW,W,2,0,0,0,0,0,0
"Feb 23, 2024",DEN @ POR,W,2,2,0,0,0,1,0
"Feb 22, 2024",DEN vs. WAS,W,4,0,0,0,0,0,0
"Feb 12, 2024",DEN @ MIL,L,7,2,0,2,0,0,0
"Feb 09, 2024",DEN @ SAC,L,20,7,3,2,1,0,2
"Jan 04, 2024",DEN @ GSW,W,9,0,1,1,1,0,0
"Jan 01, 2024",DEN vs. CHA,W,13,2,1,1,0,0,1
"Dec 29, 2023",DEN vs. OKC,L,12,10,1,0,0,0,3
"Dec 28, 2023",DEN vs. MEM,W,25,12,3,2,0,1,1
"Dec 25, 2023",DEN vs. GSW,W,8,2,0,0,0,0,0
"Dec 23, 2023",DEN @ CHA,W,16,10,1,1,1,0,1
"Dec 22, 2023",DEN @ BKN,W,11,0,3,0,0,0,1
"Dec 20, 2023",DEN @ TOR,W,14,7,1,2,2,0,0
"Dec 18, 2023",DEN vs. DAL,W,21,12,3,2,1,0,0
"Dec 16, 2023",DEN vs. OKC,L,15,0,1,1,0,0,0
"Dec 14, 2023",DEN vs. BKN,W,20,8,4,1,0,0,0
"Dec 12, 2023",DEN @ CHI,W,23,16,6,3,1,0,2
"Dec 11, 2023",DEN @ ATL,W,28,22,1,2,5,0,2
"Dec 08, 2023",DEN vs. HOU,L,4,0,0,0,0,0,0
"Dec 06, 2023",DEN @ LAC,L,13,0,1,2,0,0,1
"Dec 02, 2023",DEN @ SAC,L,12,3,1,2,0,0,0
"Dec 01, 2023",DEN @ PHX,W,18,11,3,0,0,1,0
"Nov 29, 2023",DEN vs. HOU,W,13,0,1,1,0,0,0
"Nov 27, 2023",DEN @ LAC,W,19,9,3,1,0,1,1
"Nov 26, 2023",DEN vs. SAS,W,19,10,1,4,3,0,1
"Nov 24, 2023",DEN @ HOU,L,6,0,0,0,0,0,0
"Nov 22, 2023",DEN @ ORL,L,17,7,2,2,0,0,0
"Nov 20, 2023",DEN @ DET,W,15,4,2,2,0,0,0
"Nov 19, 2023",DEN @ CLE,L,20,7,2,1,0,1,0
"Nov 17, 2023",DEN @ NOP,L,9,2,0,1,1,0,0
"Nov 12, 2023",DEN @ HOU,L,8,0,0,1,0,0,0
"Nov 08, 2023",DEN vs. GSW,W,8,0,1,0,0,0,0
"Nov 06, 2023",DEN vs. NOP,W,19,21,2,1,0,0,1
"Nov 04, 2023",DEN vs. CHI,W,9,3,1,1,0,0,0
"Nov 01, 2023",DEN @ MIN,L,16,5,0,0,1,2,0
"Oct 30, 2023",DEN vs. UTA,W,6,4,2,0,0,0,0
"Oct 29, 2023",DEN @ OKC,W,8,8,1,1,0,0,0
"Oct 27, 2023",DEN @ MEM,W,5,0,0,0,0,0,0
