GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",ATL @ IND,L,7,2,1,0,0,0,0
"Apr 12, 2024",ATL @ MIN,L,10,6,3,0,0,0,1
"Apr 10, 2024",ATL vs. CHA,L,24,11,2,1,0,1,1
"Apr 09, 2024",ATL vs. MIA,L,11,4,4,3,1,0,2
"Apr 06, 2024",ATL @ DEN,L,14,4,3,3,0,0,0
"Apr 04, 2024",ATL @ DAL,L,13,9,3,1,1,0,0
"Apr 03, 2024",ATL vs. DET,W,13,9,1,1,2,2,0
"Apr 01, 2024",ATL @ CHI,W,17,3,2,3,0,1,1
"Mar 02, 2024",ATL @ BKN,L,14,3,2,3,0,0,1
"Feb 29, 2024",ATL @ BKN,L,19,12,3,3,0,0,2
"Feb 27, 2024",ATL vs. UTA,W,21,7,2,5,2,0,0
"Feb 25, 2024",ATL vs. ORL,W,11,2,1,3,1,1,1
"Feb 14, 2024",ATL @ CHA,L,2,2,0,0,0,0,1
"Feb 10, 2024",ATL vs. HOU,W,16,3,3,0,0,0,0
"Jan 30, 2024",ATL vs. LAL,W,2,3,1,1,0,0,0
"Oct 30, 2023",ATL vs. MIN,W,1,0,0,0,0,0,0
"Oct 29, 2023",ATL @ MIL,W,3,1,2,0,0,0,0
