GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",MIL @ ORL,L,7,7,1,0,1,0,0
"Apr 12, 2024",MIL @ OKC,L,8,7,2,1,0,1,0
"Mar 24, 2024",MIL vs. OKC,W,4,2,0,0,0,0,0
"Mar 06, 2024",MIL @ GSW,L,4,0,0,0,0,0,0
"Mar 01, 2024",MIL @ CHI,W,1,0,1,0,0,0,0
"Feb 29, 2024",MIL @ CHA,W,3,0,0,0,0,0,0
"Feb 27, 2024",MIL vs. CHA,W,9,7,3,1,0,0,0
"Feb 25, 2024",MIL @ PHI,W,4,0,0,0,0,0,0
"Feb 13, 2024",MIL vs. MIA,L,8,8,2,0,1,0,2
"Feb 12, 2024",MIL vs. DEN,W,6,3,2,0,0,0,1
"Feb 09, 2024",MIL vs. CHA,W,8,4,3,0,0,0,0
"Feb 08, 2024",MIL vs. MIN,L,5,2,1,0,0,0,0
"Feb 04, 2024",MIL @ UTA,L,1,0,0,0,0,0,0
"Jan 27, 2024",MIL vs. NOP,W,6,6,0,0,0,0,0
"Jan 17, 2024",MIL @ CLE,L,23,0,3,2,0,0,1
"Jan 11, 2024",MIL vs. BOS,W,12,0,1,0,0,1,1
"Jan 08, 2024",MIL vs. UTA,L,14,3,2,3,2,0,0
"Jan 06, 2024",MIL @ HOU,L,23,5,4,3,0,1,1
"Jan 04, 2024",MIL @ SAS,W,17,8,3,0,0,0,1
"Jan 03, 2024",MIL @ IND,L,21,12,3,1,0,0,1
"Dec 29, 2023",MIL @ CLE,W,11,5,1,0,0,0,0
"Dec 27, 2023",MIL @ BKN,W,21,11,5,2,1,0,0
"Dec 25, 2023",MIL @ NYK,L,6,0,1,0,1,0,0
"Dec 23, 2023",MIL @ NYK,W,0,0,1,0,0,0,0
"Dec 21, 2023",MIL vs. ORL,W,11,5,3,0,0,0,2
"Dec 19, 2023",MIL vs. SAS,W,6,0,1,0,0,0,0
"Dec 17, 2023",MIL vs. HOU,W,13,0,1,0,0,0,0
"Dec 16, 2023",MIL vs. DET,W,33,11,6,1,2,0,3
"Dec 13, 2023",MIL vs. IND,W,15,6,3,0,0,0,3
"Dec 11, 2023",MIL vs. CHI,W,14,2,0,0,0,0,0
"Dec 07, 2023",MIL vs. IND,L,15,5,6,0,0,1,0
"Dec 05, 2023",MIL vs. NYK,W,19,6,2,1,1,0,0
"Dec 02, 2023",MIL vs. ATL,W,17,3,1,2,0,1,0
"Nov 30, 2023",MIL @ CHI,L,22,7,3,0,0,0,2
"Nov 28, 2023",MIL @ MIA,W,9,0,4,1,0,0,1
"Nov 26, 2023",MIL vs. POR,W,9,0,1,1,0,1,1
"Nov 24, 2023",MIL vs. WAS,W,13,3,3,2,0,0,0
"Nov 22, 2023",MIL @ BOS,L,22,5,3,0,1,0,0
"Nov 15, 2023",MIL @ TOR,W,10,4,0,1,1,0,0
"Nov 13, 2023",MIL vs. CHI,W,20,8,5,2,1,1,1
"Nov 11, 2023",MIL @ ORL,L,20,5,4,0,0,0,3
"Nov 09, 2023",MIL @ IND,L,13,5,4,2,0,0,0
"Nov 08, 2023",MIL vs. DET,W,27,10,2,1,0,0,1
"Nov 06, 2023",MIL @ BKN,W,16,3,1,2,1,0,1
"Nov 03, 2023",MIL vs. NYK,W,13,13,2,2,0,0,0
"Nov 01, 2023",MIL @ TOR,L,16,8,2,0,0,0,0
"Oct 29, 2023",MIL vs. ATL,L,16,8,1,0,0,0,1
"Oct 26, 2023",MIL vs. PHI,W,16,4,2,0,0,0,0
