GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",MIN vs. PHX,L,27,17,4,2,1,2,3
"Apr 12, 2024",MIN vs. ATL,W,31,13,6,10,2,0,2
"Apr 10, 2024",MIN @ DEN,L,30,19,4,2,1,0,3
"Apr 09, 2024",MIN vs. WAS,W,28,15,2,3,1,0,2
"Apr 07, 2024",MIN @ LAL,W,26,7,4,6,2,0,4
"Apr 05, 2024",MIN @ PHX,L,25,5,0,3,0,0,3
"Apr 02, 2024",MIN vs. HOU,W,30,14,2,6,3,0,4
"Mar 31, 2024",MIN vs. CHI,L,29,19,1,7,4,0,1
"Mar 29, 2024",MIN @ DEN,W,32,23,3,8,0,0,2
"Mar 27, 2024",MIN vs. DET,W,25,9,0,7,2,1,2
"Mar 24, 2024",MIN vs. GSW,W,30,14,1,7,4,0,2
"Mar 22, 2024",MIN vs. CLE,W,32,21,2,6,1,1,0
"Mar 19, 2024",MIN vs. DEN,L,29,13,6,5,1,0,2
"Mar 18, 2024",MIN @ UTA,W,27,4,1,2,2,1,1
"Mar 16, 2024",MIN @ UTA,W,30,25,2,2,0,0,0
"Mar 12, 2024",MIN @ LAC,W,27,23,3,3,1,0,1
"Mar 10, 2024",MIN @ LAL,L,29,9,3,6,1,0,0
"Mar 08, 2024",MIN @ CLE,L,32,9,3,5,0,0,1
"Mar 07, 2024",MIN @ IND,W,30,5,5,4,2,0,2
"Mar 04, 2024",MIN vs. POR,W,29,19,2,7,3,0,2
"Mar 03, 2024",MIN vs. LAC,L,28,0,7,5,0,0,3
"Mar 01, 2024",MIN vs. SAC,L,36,14,3,8,2,0,3
"Feb 28, 2024",MIN vs. MEM,W,28,4,5,7,0,0,2
"Feb 27, 2024",MIN vs. SAS,W,20,16,0,1,1,0,0
"Feb 24, 2024",MIN vs. BKN,W,30,14,3,3,1,0,1
"Feb 23, 2024",MIN vs. MIL,L,28,9,2,2,2,0,3
"Feb 15, 2024",MIN @ POR,W,22,12,4,3,1,0,0
"Feb 13, 2024",MIN @ POR,W,26,7,4,6,2,3,2
"Feb 12, 2024",MIN @ LAC,W,24,5,4,7,2,0,1
"Feb 08, 2024",MIN @ MIL,W,31,18,5,9,0,0,1
"Feb 06, 2024",MIN @ CHI,L,36,9,0,8,0,0,0
"Feb 04, 2024",MIN vs. HOU,W,24,8,3,9,1,0,2
"Feb 02, 2024",MIN vs. ORL,L,28,4,5,9,3,0,1
"Jan 31, 2024",MIN vs. DAL,W,25,10,4,3,1,1,1
"Jan 25, 2024",MIN @ BKN,W,33,10,2,4,2,1,1
"Jan 20, 2024",MIN vs. OKC,L,29,3,3,4,0,1,3
"Jan 18, 2024",MIN vs. MEM,W,30,17,4,10,2,0,0
"Jan 17, 2024",MIN @ DET,W,29,8,3,7,1,1,1
"Jan 14, 2024",MIN vs. LAC,W,32,6,2,5,1,0,2
"Jan 12, 2024",MIN vs. POR,W,20,9,4,10,0,0,0
"Jan 09, 2024",MIN @ ORL,W,31,11,3,10,2,0,1
"Jan 07, 2024",MIN @ DAL,L,32,9,1,7,0,0,2
