GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 01, 2024",LAC vs. WAS,W,7,2,4,0,1,1,0
"Jan 01, 2024",LAC vs. MIA,W,3,0,1,0,0,0,0
"Nov 30, 2023",LAC @ GSW,L,1,2,0,0,0,0,0
"Nov 25, 2023",LAC vs. DAL,W,5,1,2,0,1,0,0
"Nov 20, 2023",LAC @ SAS,W,4,3,2,0,1,0,0
"Nov 12, 2023",LAC vs. MEM,L,11,2,3,0,0,0,0
"Nov 10, 2023",LAC @ DAL,L,16,11,9,0,0,0,0
"Nov 06, 2023",LAC @ NYK,L,6,4,0,0,0,0,0
"Oct 31, 2023",LAC vs. ORL,W,3,2,1,2,0,0,1
"Oct 29, 2023",LAC vs. SAS,W,5,0,1,2,0,0,1
"Oct 25, 2023",LAC vs. POR,W,4,2,1,0,2,0,0
