GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",HOU @ LAC,W,21,13,3,0,1,1,2
"Apr 09, 2024",HOU vs. ORL,W,1,0,0,0,0,0,0
"Apr 05, 2024",HOU vs. MIA,L,3,2,2,0,0,0,0
"Apr 04, 2024",HOU vs. GSW,L,5,4,2,0,0,0,0
"Mar 31, 2024",HOU vs. DAL,L,5,2,0,1,0,0,0
"Mar 25, 2024",HOU vs. POR,W,1,0,0,0,0,0,0
"Mar 23, 2024",HOU vs. UTA,W,9,4,3,0,1,0,0
"Mar 19, 2024",HOU @ WAS,W,2,3,0,0,0,0,0
"Mar 16, 2024",HOU vs. CLE,W,2,0,0,0,0,0,0
"Mar 14, 2024",HOU vs. WAS,W,2,2,1,0,0,0,0
"Mar 08, 2024",HOU @ POR,W,1,0,2,0,0,0,0
"Feb 22, 2024",HOU @ NOP,L,2,0,1,1,0,0,1
"Feb 14, 2024",HOU @ MEM,L,3,0,0,2,0,0,0
"Feb 12, 2024",HOU vs. NYK,W,8,0,1,0,0,0,0
"Feb 10, 2024",HOU @ ATL,L,9,8,2,0,0,0,0
"Jan 21, 2024",HOU vs. BOS,L,19,5,3,0,0,0,0
"Jan 15, 2024",HOU @ PHI,L,5,2,1,1,1,0,1
"Jan 13, 2024",HOU @ BOS,L,9,5,2,0,0,0,0
"Nov 29, 2023",HOU @ DEN,L,6,2,0,1,0,0,0
"Nov 22, 2023",HOU vs. MEM,W,3,2,0,0,0,0,0
"Nov 08, 2023",HOU vs. LAL,W,8,5,0,1,1,0,0
"Oct 25, 2023",HOU @ ORL,L,5,4,0,0,0,0,0
