GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",IND vs. ATL,W,12,7,2,3,1,0,2
"Apr 12, 2024",IND @ CLE,L,16,10,2,6,2,1,1
"Apr 09, 2024",IND @ TOR,W,22,23,6,2,1,1,0
"Apr 07, 2024",IND vs. MIA,W,16,13,3,2,0,0,0
"Apr 05, 2024",IND vs. OKC,W,25,15,8,1,2,1,1
"Apr 03, 2024",IND @ BKN,L,20,14,8,1,1,3,2
"Apr 01, 2024",IND vs. BKN,W,19,14,4,3,1,0,1
"Mar 29, 2024",IND vs. LAL,W,17,7,2,0,0,1,1
"Mar 27, 2024",IND @ CHI,L,11,5,1,2,1,1,1
"Mar 25, 2024",IND @ LAC,W,25,7,4,1,1,0,0
"Mar 24, 2024",IND @ LAL,L,19,11,3,1,0,0,1
"Mar 22, 2024",IND @ GSW,W,15,8,3,0,0,0,1
"Mar 20, 2024",IND @ DET,W,15,5,3,1,1,0,0
"Mar 18, 2024",IND vs. CLE,L,20,10,8,2,1,0,0
"Mar 16, 2024",IND vs. BKN,W,18,6,3,2,1,0,0
"Mar 13, 2024",IND vs. CHI,L,18,4,4,4,0,1,2
"Mar 12, 2024",IND @ OKC,W,19,10,4,1,0,0,0
"Mar 10, 2024",IND @ ORL,W,25,17,8,0,1,1,1
"Mar 07, 2024",IND vs. MIN,L,14,2,3,0,0,2,1
"Mar 05, 2024",IND @ DAL,W,17,14,2,0,0,0,1
"Mar 03, 2024",IND @ SAS,L,16,2,2,0,0,0,0
"Mar 01, 2024",IND @ NOP,L,16,5,2,0,1,0,1
"Feb 28, 2024",IND vs. NOP,W,24,16,6,2,0,2,0
"Feb 26, 2024",IND vs. TOR,L,19,4,3,0,2,0,1
"Feb 25, 2024",IND vs. DAL,W,19,8,2,4,0,0,2
"Feb 22, 2024",IND vs. DET,W,16,9,6,3,1,1,1
"Feb 14, 2024",IND @ TOR,W,25,15,5,0,2,2,0
"Feb 12, 2024",IND @ CHA,L,17,6,4,1,0,0,1
"Feb 10, 2024",IND @ NYK,W,17,9,2,0,1,0,2
"Feb 08, 2024",IND vs. GSW,L,20,7,1,2,0,0,1
"Feb 06, 2024",IND vs. HOU,W,16,3,4,4,1,0,0
"Feb 04, 2024",IND @ CHA,W,11,0,1,2,0,0,3
"Feb 02, 2024",IND vs. SAC,L,18,6,4,1,1,1,1
"Feb 01, 2024",IND @ NYK,L,22,12,3,2,1,2,1
"Jan 30, 2024",IND @ BOS,L,22,11,8,2,0,0,2
"Jan 28, 2024",IND vs. MEM,W,17,3,0,2,1,0,2
"Jan 26, 2024",IND vs. PHX,W,33,23,11,3,1,1,1
"Jan 25, 2024",IND vs. PHI,W,19,13,5,0,0,1,3
"Jan 23, 2024",IND vs. DEN,L,17,4,2,0,0,0,0
"Jan 21, 2024",IND @ PHX,L,26,13,6,1,0,0,0
"Jan 19, 2024",IND @ POR,L,11,0,0,2,0,0,2
"Jan 18, 2024",IND @ SAC,W,24,10,3,4,0,1,0
"Jan 15, 2024",IND @ UTA,L,13,2,3,2,1,0,0
"Jan 14, 2024",IND @ DEN,L,25,11,3,1,1,0,0
"Jan 12, 2024",IND @ ATL,W,21,18,7,4,0,0,1
"Jan 10, 2024",IND vs. WAS,W,28,15,7,3,0,0,2
"Jan 08, 2024",IND vs. BOS,W,20,13,0,1,0,0,0
"Jan 06, 2024",IND vs. BOS,L,23,10,3,1,0,0,0
"Jan 05, 2024",IND vs. ATL,W,22,9,3,2,1,0,1
"Jan 03, 2024",IND vs. MIL,W,27,15,8,4,1,0,0
"Jan 01, 2024",IND @ MIL,W,29,11,3,2,1,0,0
"Dec 30, 2023",IND vs. NYK,W,20,9,8,2,0,3,0
"Dec 28, 2023",IND @ CHI,W,25,3,12,0,0,1,1
"Dec 26, 2023",IND @ HOU,W,15,7,2,3,1,0,3
"Dec 23, 2023",IND vs. ORL,L,24,3,6,0,0,1,0
"Dec 21, 2023",IND @ MEM,L,28,22,5,1,2,0,1
"Dec 20, 2023",IND vs. CHA,W,23,6,4,0,0,0,1
"Dec 18, 2023",IND vs. LAC,L,30,14,3,4,0,2,0
"Dec 16, 2023",IND @ MIN,L,17,7,4,1,0,0,1
"Dec 15, 2023",IND @ WAS,L,26,16,5,2,0,0,1
"Dec 13, 2023",IND @ MIL,L,20,5,7,1,0,1,0
"Dec 11, 2023",IND @ DET,W,12,6,3,0,0,0,2
"Dec 07, 2023",IND @ MIL,W,21,14,6,2,0,0,0
"Dec 04, 2023",IND vs. BOS,W,26,12,2,1,0,2,0
"Dec 02, 2023",IND @ MIA,W,35,20,2,2,1,4,0
"Nov 30, 2023",IND @ MIA,L,33,25,2,3,0,1,2
"Nov 27, 2023",IND vs. POR,L,19,9,4,2,0,1,1
"Nov 24, 2023",IND vs. DET,W,24,15,3,2,0,0,0
"Nov 22, 2023",IND vs. TOR,L,36,16,3,1,2,0,3
"Nov 21, 2023",IND @ ATL,W,34,21,1,6,1,1,2
"Nov 19, 2023",IND vs. ORL,L,16,6,4,2,0,0,2
"Nov 14, 2023",IND @ PHI,W,37,27,6,1,0,1,0
"Nov 12, 2023",IND @ PHI,L,21,14,1,1,0,0,0
"Nov 09, 2023",IND vs. MIL,W,13,7,0,0,0,0,1
"Nov 08, 2023",IND vs. UTA,W,19,6,1,0,3,1,1
"Nov 06, 2023",IND vs. SAS,W,27,19,2,1,2,0,1
"Nov 04, 2023",IND vs. CHA,L,26,11,4,0,0,0,0
"Nov 03, 2023",IND vs. CLE,W,21,6,4,1,0,0,0
"Nov 01, 2023",IND @ BOS,L,25,11,2,1,2,0,1
"Oct 30, 2023",IND vs. CHI,L,24,6,8,0,1,0,0
"Oct 28, 2023",IND @ CLE,W,18,4,4,0,0,1,1
"Oct 25, 2023",IND vs. WAS,W,19,11,4,1,1,0,0
