GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 12, 2024",TOR @ MIA,L,33,35,11,3,0,0,3
"Apr 09, 2024",TOR vs. IND,L,33,23,4,4,1,0,5
"Apr 07, 2024",TOR vs. WAS,W,36,22,8,7,0,1,6
"Apr 05, 2024",TOR @ MIL,W,34,26,7,2,2,1,5
"Apr 02, 2024",TOR vs. LAL,L,26,28,6,6,0,0,0
"Mar 11, 2024",TOR @ DEN,L,38,26,7,9,0,0,4
"Mar 07, 2024",TOR @ PHX,L,37,23,2,4,1,1,1
"Mar 05, 2024",TOR vs. NOP,L,32,15,6,1,0,2,3
"Mar 03, 2024",TOR vs. CHA,W,35,23,8,5,2,0,5
"Mar 01, 2024",TOR vs. GSW,L,31,23,2,4,0,0,2
"Feb 28, 2024",TOR vs. DAL,L,35,26,5,6,0,0,1
"Feb 26, 2024",TOR @ IND,W,33,24,2,5,0,0,2
"Feb 22, 2024",TOR vs. BKN,W,29,12,5,7,0,0,3
"Feb 14, 2024",TOR vs. IND,L,34,23,9,3,1,1,3
"Feb 12, 2024",TOR vs. SAS,L,24,13,5,2,1,0,4
"Feb 10, 2024",TOR vs. CLE,L,33,14,7,1,1,0,2
"Feb 09, 2024",TOR vs. HOU,W,36,21,5,7,1,0,2
"Feb 07, 2024",TOR @ CHA,W,33,23,6,5,0,1,1
"Feb 04, 2024",TOR @ OKC,L,43,23,7,4,1,1,4
"Jan 26, 2024",TOR vs. LAC,L,36,22,6,4,1,0,3
"Jan 22, 2024",TOR vs. MEM,L,37,29,9,1,0,1,2
"Jan 20, 2024",TOR @ NYK,L,29,20,8,4,1,0,0
"Jan 18, 2024",TOR vs. CHI,L,35,17,4,6,1,0,1
"Jan 17, 2024",TOR vs. MIA,W,36,26,8,3,0,0,0
"Jan 15, 2024",TOR vs. BOS,L,36,24,9,4,0,0,0
"Jan 12, 2024",TOR @ UTA,L,30,4,7,2,1,3,2
"Jan 10, 2024",TOR @ LAC,L,37,24,5,4,0,0,4
"Jan 09, 2024",TOR @ LAL,L,35,23,10,5,2,0,3
"Jan 07, 2024",TOR @ GSW,W,36,37,6,6,1,0,0
"Jan 05, 2024",TOR @ SAC,L,27,14,4,2,0,1,0
"Jan 03, 2024",TOR @ MEM,W,33,14,7,3,1,0,3
"Jan 01, 2024",TOR vs. CLE,W,29,19,9,1,0,0,5
"Dec 29, 2023",NYK @ ORL,L,37,19,6,2,1,0,2
"Dec 27, 2023",NYK @ OKC,L,30,14,4,4,0,0,5
"Dec 25, 2023",NYK vs. MIL,W,28,21,6,1,1,0,3
"Dec 23, 2023",NYK vs. MIL,L,29,13,7,1,0,1,1
"Dec 20, 2023",NYK @ BKN,W,27,14,5,2,1,1,2
"Dec 18, 2023",NYK @ LAL,W,30,12,5,4,0,1,1
"Dec 16, 2023",NYK @ LAC,L,28,18,5,0,0,1,1
"Dec 15, 2023",NYK @ PHX,W,29,21,2,3,0,1,1
"Dec 13, 2023",NYK @ UTA,L,24,9,6,2,0,0,0
"Dec 11, 2023",NYK vs. TOR,W,32,27,3,2,1,1,1
"Dec 08, 2023",NYK @ BOS,L,31,23,3,3,1,0,0
"Dec 05, 2023",NYK @ MIL,L,31,23,8,1,0,0,2
"Dec 01, 2023",NYK @ TOR,W,27,15,4,6,0,0,2
"Nov 30, 2023",NYK vs. DET,W,24,15,1,2,0,0,2
"Nov 28, 2023",NYK vs. CHA,W,28,16,3,2,1,0,1
"Nov 26, 2023",NYK vs. PHX,L,31,9,2,1,0,1,0
"Nov 24, 2023",NYK vs. MIA,W,34,18,7,1,0,0,3
"Nov 20, 2023",NYK @ MIN,L,22,14,7,1,1,0,4
"Nov 18, 2023",NYK @ CHA,W,26,15,3,3,1,0,1
"Nov 12, 2023",NYK vs. CHA,W,31,24,4,2,1,1,1
"Nov 08, 2023",NYK vs. SAS,W,32,24,2,6,1,0,0
"Nov 06, 2023",NYK vs. LAC,W,31,26,6,4,0,0,5
"Oct 31, 2023",NYK @ CLE,W,25,16,3,0,0,0,1
"Oct 28, 2023",NYK @ NOP,L,30,18,3,2,0,1,3
"Oct 27, 2023",NYK @ ATL,W,34,26,3,6,1,0,3
"Oct 25, 2023",NYK vs. BOS,L,36,24,3,2,1,0,2
