GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 01, 2024",CHA @ PHI,L,23,5,2,2,1,0,0
"Feb 29, 2024",CHA vs. MIL,L,16,13,2,1,1,0,2
"Feb 27, 2024",CHA @ MIL,L,20,8,4,4,0,1,1
"Feb 23, 2024",CHA @ GSW,L,25,6,2,3,0,1,0
"Feb 22, 2024",CHA @ UTA,W,19,10,2,0,0,0,1
"Feb 14, 2024",CHA vs. ATL,W,17,9,0,1,0,0,0
"Feb 12, 2024",CHA vs. IND,W,19,18,2,2,1,0,0
"Feb 10, 2024",CHA vs. MEM,W,20,3,2,1,2,1,1
"Jan 31, 2024",DAL @ MIN,L,17,9,3,3,0,0,2
"Jan 29, 2024",DAL vs. ORL,W,5,0,0,0,0,0,0
"Jan 27, 2024",DAL vs. SAC,L,11,7,2,1,0,0,0
"Jan 17, 2024",DAL @ LAL,L,5,0,0,0,0,0,0
"Jan 15, 2024",DAL vs. NOP,W,7,0,0,0,0,0,0
"Jan 13, 2024",DAL vs. NOP,L,12,3,0,0,1,0,0
"Jan 11, 2024",DAL vs. NYK,W,10,0,1,0,0,0,1
"Jan 09, 2024",DAL vs. MEM,L,10,2,0,0,0,0,1
"Jan 07, 2024",DAL vs. MIN,W,12,0,3,0,1,0,1
"Jan 05, 2024",DAL vs. POR,W,20,9,2,1,0,0,0
"Jan 03, 2024",DAL vs. POR,W,15,0,1,2,0,0,0
"Dec 28, 2023",DAL @ MIN,L,30,11,2,3,0,0,3
"Dec 27, 2023",DAL vs. CLE,L,28,19,4,1,2,0,0
"Dec 25, 2023",DAL @ PHX,W,6,0,1,0,0,0,0
"Dec 22, 2023",DAL @ HOU,L,18,0,2,0,2,0,2
"Dec 18, 2023",DAL @ DEN,L,7,0,0,0,0,0,0
"Dec 16, 2023",DAL @ POR,W,14,7,2,1,0,0,1
"Dec 12, 2023",DAL vs. LAL,W,12,3,2,0,0,1,0
"Dec 11, 2023",DAL @ MEM,W,20,6,3,2,1,0,0
"Dec 08, 2023",DAL @ POR,W,18,7,2,1,0,0,1
"Dec 06, 2023",DAL vs. UTA,W,19,10,2,2,2,0,0
"Dec 02, 2023",DAL vs. OKC,L,36,12,5,3,1,1,0
"Dec 01, 2023",DAL vs. MEM,L,16,12,2,2,1,0,0
"Nov 28, 2023",DAL vs. HOU,W,0,0,0,0,0,0,0
"Nov 25, 2023",DAL @ LAC,L,8,3,0,0,0,0,0
"Nov 22, 2023",DAL @ LAL,W,0,0,0,0,0,0,0
"Nov 18, 2023",DAL @ MIL,L,9,2,1,0,0,0,0
"Nov 15, 2023",DAL @ WAS,W,20,15,2,2,1,0,0
"Nov 14, 2023",DAL @ NOP,L,13,3,3,2,3,0,1
"Nov 12, 2023",DAL @ NOP,W,6,0,1,0,0,0,0
"Nov 10, 2023",DAL vs. LAC,W,7,5,0,0,0,0,0
"Nov 03, 2023",DAL @ DEN,L,5,0,1,1,1,0,0
"Nov 01, 2023",DAL vs. CHI,W,12,4,3,0,0,0,1
"Oct 30, 2023",DAL @ MEM,W,15,3,2,2,1,1,1
"Oct 27, 2023",DAL vs. BKN,W,9,2,0,1,0,0,1
"Oct 25, 2023",DAL @ SAS,W,4,0,0,0,0,0,0
