GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",LAL @ NOP,W,14,7,1,1,0,0,1
"Apr 12, 2024",LAL @ MEM,W,20,3,1,1,0,0,1
"Apr 09, 2024",LAL vs. GSW,L,22,12,4,0,0,0,0
"Apr 07, 2024",LAL vs. MIN,L,36,18,5,7,0,0,2
"Apr 06, 2024",LAL vs. CLE,W,25,6,2,2,3,0,0
"Apr 03, 2024",LAL @ WAS,W,19,4,2,1,0,0,1
"Apr 02, 2024",LAL @ TOR,W,25,9,1,1,1,3,0
"Mar 31, 2024",LAL @ BKN,W,21,0,2,2,0,1,3
"Mar 29, 2024",LAL @ IND,L,21,5,1,0,1,0,2
"Mar 27, 2024",LAL @ MEM,W,25,14,7,1,1,1,2
"Mar 26, 2024",LAL @ MIL,W,42,7,2,4,0,1,1
"Mar 24, 2024",LAL vs. IND,W,35,26,2,5,1,2,3
"Mar 22, 2024",LAL vs. PHI,W,24,11,0,2,0,1,0
"Mar 18, 2024",LAL vs. ATL,W,21,3,1,3,0,0,1
"Mar 16, 2024",LAL vs. GSW,L,19,7,2,0,0,0,0
"Mar 13, 2024",LAL @ SAC,L,20,0,1,1,1,0,0
"Mar 10, 2024",LAL vs. MIN,W,17,0,1,1,0,0,1
"Mar 08, 2024",LAL vs. MIL,W,34,5,2,3,1,2,0
"Mar 06, 2024",LAL vs. SAC,L,24,8,2,1,0,0,1
"Mar 04, 2024",LAL vs. OKC,W,24,2,2,3,0,1,1
"Mar 02, 2024",LAL vs. DEN,L,20,3,1,3,0,0,1
"Feb 29, 2024",LAL vs. WAS,W,26,10,0,3,0,0,1
"Feb 28, 2024",LAL @ LAC,W,20,7,2,6,0,0,2
"Feb 25, 2024",LAL @ PHX,L,23,3,0,2,0,0,0
"Feb 23, 2024",LAL vs. SAS,W,24,0,1,1,0,0,0
"Feb 22, 2024",LAL @ GSW,L,18,5,0,3,0,1,0
"Feb 14, 2024",LAL @ UTA,W,28,10,0,4,2,0,1
"Feb 13, 2024",LAL vs. DET,W,31,6,2,7,2,0,4
"Feb 06, 2024",BKN vs. DAL,L,35,9,1,5,1,0,0
"Feb 05, 2024",BKN vs. GSW,L,39,9,3,5,0,0,0
"Feb 03, 2024",BKN @ PHI,W,26,3,3,6,0,0,0
"Jan 31, 2024",BKN vs. PHX,L,30,16,2,5,0,0,0
"Jan 29, 2024",BKN vs. UTA,W,26,2,2,8,2,0,0
"Jan 27, 2024",BKN vs. HOU,W,35,10,2,9,1,1,2
"Jan 25, 2024",BKN vs. MIN,L,32,14,2,2,0,0,0
"Jan 23, 2024",BKN vs. NYK,L,19,0,0,4,0,0,1
"Jan 21, 2024",BKN @ LAC,L,33,16,2,7,0,1,1
"Jan 19, 2024",BKN @ LAL,W,33,19,3,4,1,0,1
"Jan 17, 2024",BKN @ POR,L,32,19,2,7,1,0,1
"Jan 15, 2024",BKN vs. MIA,L,20,3,0,1,3,0,1
"Jan 11, 2024",BKN @ CLE,L,16,2,2,3,0,0,0
"Jan 07, 2024",BKN vs. POR,L,28,5,3,5,0,0,1
"Jan 05, 2024",BKN vs. OKC,W,33,23,3,4,0,1,2
"Jan 03, 2024",BKN @ HOU,L,28,11,1,5,2,0,1
"Jan 02, 2024",BKN @ NOP,L,21,0,0,5,0,0,1
"Dec 31, 2023",BKN @ OKC,L,37,13,3,5,1,0,1
"Dec 29, 2023",BKN @ WAS,L,27,17,8,6,1,0,1
"Dec 26, 2023",BKN @ DET,W,34,9,5,6,1,0,0
"Dec 23, 2023",BKN vs. DET,W,30,14,4,7,1,0,1
