GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 20, 2024",DET vs. IND,L,22,8,1,0,0,0,1
"Mar 18, 2024",DET @ BOS,L,34,10,6,1,0,0,1
"Mar 17, 2024",DET vs. MIA,L,19,9,2,1,0,1,0
"Mar 15, 2024",DET vs. MIA,L,11,0,0,0,1,0,1
"Mar 13, 2024",DET vs. TOR,W,15,5,7,0,3,0,0
"Mar 11, 2024",DET vs. CHA,W,4,3,2,0,0,0,0
"Mar 09, 2024",DET vs. DAL,L,14,3,2,0,0,1,0
"Feb 10, 2024",DET @ LAC,L,6,0,1,1,0,0,0
"Feb 08, 2024",DET @ POR,W,29,14,2,0,0,0,1
"Nov 30, 2023",DET @ NYK,L,2,0,0,0,0,0,0
"Nov 29, 2023",DET vs. LAL,L,20,8,5,2,1,0,3
"Nov 27, 2023",DET vs. WAS,L,2,0,1,0,0,0,1
"Nov 24, 2023",DET @ IND,L,8,0,2,0,1,2,1
"Nov 20, 2023",DET vs. DEN,L,18,11,1,2,0,0,1
"Nov 19, 2023",DET @ TOR,L,25,19,4,3,0,1,1
"Nov 17, 2023",DET @ CLE,L,17,10,6,0,1,1,0
"Nov 10, 2023",DET vs. PHI,L,17,10,4,1,0,0,0
"Nov 08, 2023",DET @ MIL,L,9,2,0,0,0,1,2
"Nov 06, 2023",DET vs. GSW,L,16,15,3,0,0,0,1
"Nov 05, 2023",DET vs. PHX,L,4,0,0,0,0,0,0
"Nov 02, 2023",DET @ NOP,L,1,0,0,0,0,0,0
"Nov 01, 2023",DET vs. POR,L,12,0,2,0,0,0,0
"Oct 30, 2023",DET @ OKC,L,2,0,0,0,1,0,0
"Oct 28, 2023",DET vs. CHI,W,1,0,0,0,0,0,0
