GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 01, 2024",CHI vs. ATL,L,10,4,2,0,1,0,0
"Mar 29, 2024",CHI @ BKN,L,1,0,0,0,0,0,0
"Mar 27, 2024",CHI vs. IND,W,2,0,0,1,0,0,0
"Mar 23, 2024",CHI vs. BOS,L,1,0,0,0,0,0,0
"Mar 16, 2024",CHI vs. WAS,W,2,2,1,0,0,0,0
"Mar 14, 2024",CHI vs. LAC,L,3,0,0,1,0,0,0
"Mar 11, 2024",CHI vs. DAL,L,7,2,1,1,0,0,0
"Mar 09, 2024",CHI @ LAC,L,1,0,0,0,0,0,0
"Mar 01, 2024",CHI vs. MIL,L,12,4,3,0,0,0,0
"Feb 28, 2024",CHI vs. CLE,W,4,0,1,0,0,0,0
"Feb 27, 2024",CHI vs. DET,L,4,0,0,0,0,0,0
"Feb 25, 2024",CHI @ NOP,W,7,2,2,0,0,0,0
"Feb 22, 2024",CHI vs. BOS,L,3,0,0,1,0,0,0
"Feb 03, 2024",CHI vs. SAC,L,3,2,1,0,0,0,0
"Jan 31, 2024",CHI @ CHA,W,20,3,6,2,1,0,0
"Jan 20, 2024",CHI vs. MEM,W,4,2,2,1,0,0,1
"Jan 15, 2024",CHI @ CLE,L,5,0,1,0,0,0,0
"Jan 05, 2024",CHI vs. CHA,W,9,5,0,0,0,1,1
"Jan 03, 2024",CHI @ NYK,L,16,4,2,0,0,0,0
"Jan 02, 2024",CHI @ PHI,L,20,0,5,1,1,1,4
"Dec 30, 2023",CHI vs. PHI,W,17,6,6,1,1,0,0
"Dec 28, 2023",CHI vs. IND,L,14,2,1,1,0,0,0
"Dec 26, 2023",CHI vs. ATL,W,8,4,1,0,0,0,0
"Dec 21, 2023",CHI vs. SAS,W,2,0,0,0,0,0,1
"Dec 20, 2023",CHI vs. LAL,W,1,0,0,0,0,0,0
"Dec 12, 2023",CHI vs. DEN,L,1,2,1,0,0,0,0
"Nov 28, 2023",CHI @ BOS,L,3,0,0,0,1,0,0
"Nov 20, 2023",CHI vs. MIA,L,2,0,0,0,0,0,0
"Nov 06, 2023",CHI vs. UTA,W,2,0,1,0,0,0,0
"Nov 04, 2023",CHI @ DEN,L,3,2,0,0,0,0,0
"Oct 28, 2023",CHI @ DET,L,1,0,0,0,0,0,0
