GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 27, 2024",POR @ ATL,L,30,17,4,2,1,0,2
"Mar 25, 2024",POR @ HOU,L,35,12,5,0,2,2,4
"Mar 23, 2024",POR vs. DEN,L,39,16,7,6,1,1,1
"Mar 22, 2024",POR vs. LAC,L,32,11,7,1,0,0,1
"Mar 20, 2024",POR vs. LAC,L,18,3,2,2,1,0,0
"Mar 18, 2024",POR @ CHI,L,15,0,1,1,0,0,1
"Mar 16, 2024",POR @ NOP,L,34,11,6,1,0,2,1
"Mar 14, 2024",POR vs. NYK,L,34,7,3,4,3,0,2
"Mar 13, 2024",POR vs. ATL,W,30,3,6,3,0,1,1
"Mar 11, 2024",POR vs. BOS,L,25,8,1,2,0,1,0
"Mar 09, 2024",POR vs. TOR,W,32,15,9,4,1,0,1
"Mar 08, 2024",POR vs. HOU,L,30,9,7,0,1,0,1
"Mar 02, 2024",POR @ MEM,W,36,15,7,1,1,1,1
"Mar 01, 2024",POR @ MEM,W,21,4,7,1,1,0,0
"Feb 27, 2024",POR vs. MIA,L,32,17,10,3,0,0,3
"Feb 25, 2024",POR vs. CHA,L,18,0,3,1,0,0,0
"Feb 23, 2024",POR vs. DEN,L,24,6,6,2,1,0,3
"Feb 15, 2024",POR vs. MIN,L,18,13,5,2,0,2,1
"Feb 13, 2024",POR vs. MIN,L,22,14,4,2,0,0,2
"Feb 10, 2024",POR vs. NOP,L,20,5,3,1,1,0,3
"Feb 08, 2024",POR vs. DET,L,36,9,10,1,1,0,1
"Feb 04, 2024",POR @ DEN,L,23,10,6,0,0,0,1
"Feb 02, 2024",POR @ DEN,L,24,10,2,0,2,1,1
"Jan 31, 2024",POR vs. MIL,W,23,4,4,2,2,0,0
"Jan 29, 2024",POR vs. PHI,W,16,6,3,3,1,0,1
"Jan 28, 2024",POR vs. CHI,L,3,2,1,0,0,0,0
"Jan 26, 2024",POR @ SAS,L,23,12,4,1,2,1,3
"Jan 24, 2024",POR @ HOU,W,17,4,4,1,2,0,0
"Jan 23, 2024",POR @ OKC,L,14,0,5,1,2,0,0
"Jan 21, 2024",POR @ LAL,L,23,5,5,1,2,0,1
"Jan 19, 2024",POR vs. IND,W,19,4,4,0,0,0,1
"Jan 17, 2024",POR vs. BKN,W,20,6,6,1,0,0,0
"Jan 14, 2024",POR vs. PHX,L,23,2,2,2,0,0,0
"Jan 12, 2024",POR @ MIN,L,25,14,5,0,0,1,3
"Jan 11, 2024",POR @ OKC,L,32,6,5,1,2,2,2
"Jan 09, 2024",POR @ NYK,L,26,5,6,2,1,2,2
"Jan 07, 2024",POR @ BKN,W,29,5,6,1,1,0,2
"Jan 05, 2024",POR @ DAL,L,24,10,7,1,1,0,2
"Jan 03, 2024",POR @ DAL,L,20,10,5,0,2,1,2
"Dec 29, 2023",POR vs. SAS,W,36,13,11,2,3,0,3
"Dec 28, 2023",POR vs. SAS,L,21,1,7,0,0,0,1
"Dec 26, 2023",POR vs. SAC,W,18,4,3,1,0,0,1
"Dec 23, 2023",POR @ GSW,L,25,6,2,0,1,1,1
"Dec 21, 2023",POR vs. WAS,L,18,4,3,0,1,0,0
"Dec 19, 2023",POR vs. PHX,W,22,5,9,0,3,1,2
"Dec 17, 2023",POR vs. GSW,L,22,11,3,0,2,0,1
"Dec 16, 2023",POR vs. DAL,L,20,8,3,1,1,0,0
"Dec 14, 2023",POR vs. UTA,L,24,18,6,0,0,0,1
"Dec 11, 2023",POR @ LAC,L,37,7,4,4,1,1,1
"Dec 08, 2023",POR vs. DAL,L,32,14,9,0,1,0,0
"Dec 06, 2023",POR @ GSW,L,27,6,13,2,0,0,3
"Dec 02, 2023",POR @ UTA,L,30,8,3,0,4,1,0
"Nov 30, 2023",POR @ CLE,W,24,9,2,1,2,1,1
"Nov 27, 2023",POR @ IND,W,17,5,2,0,0,0,0
"Nov 26, 2023",POR @ MIL,L,17,6,3,0,0,0,2
"Nov 22, 2023",POR vs. UTA,W,28,12,7,3,0,1,2
"Nov 21, 2023",POR @ PHX,L,39,7,4,0,1,0,1
"Nov 19, 2023",POR vs. OKC,L,15,6,2,0,0,0,1
"Nov 17, 2023",POR vs. LAL,L,36,10,6,0,2,1,1
"Nov 15, 2023",POR vs. CLE,L,22,0,1,3,2,0,1
"Nov 14, 2023",POR @ UTA,L,26,9,5,1,0,2,2
"Nov 12, 2023",POR @ LAL,L,24,2,6,2,0,1,2
"Nov 08, 2023",POR @ SAC,L,25,2,4,1,3,0,1
"Nov 05, 2023",POR vs. MEM,L,24,8,6,2,1,0,3
"Nov 03, 2023",POR vs. MEM,W,31,5,3,1,2,0,1
"Nov 01, 2023",POR @ DET,W,26,7,7,0,1,1,1
"Oct 30, 2023",POR @ TOR,W,23,3,7,0,0,1,1
"Oct 29, 2023",POR @ PHI,L,28,12,3,2,0,2,0
"Oct 27, 2023",POR vs. ORL,L,23,2,4,3,0,0,0
"Oct 25, 2023",POR @ LAC,L,16,7,2,1,0,1,0
