GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",ATL @ IND,L,32,12,3,12,0,0,8
"Apr 12, 2024",ATL @ MIN,L,27,19,2,7,1,0,2
"Apr 10, 2024",ATL vs. CHA,L,21,14,4,11,1,0,5
"Feb 23, 2024",ATL vs. TOR,L,35,11,3,7,0,0,4
"Feb 14, 2024",ATL @ CHA,L,34,12,2,12,0,0,4
"Feb 12, 2024",ATL vs. CHI,L,36,19,3,14,0,0,2
"Feb 10, 2024",ATL vs. HOU,W,33,18,4,8,2,1,4
"Feb 09, 2024",ATL @ PHI,W,40,37,1,12,1,0,7
"Feb 07, 2024",ATL @ BOS,L,38,20,2,10,1,0,4
"Feb 05, 2024",ATL vs. LAC,L,36,25,2,12,2,0,5
"Feb 03, 2024",ATL vs. GSW,W,42,35,0,6,1,0,3
"Feb 02, 2024",ATL vs. PHX,W,42,32,1,15,3,1,7
"Jan 30, 2024",ATL vs. LAL,W,34,26,2,13,1,0,5
"Jan 28, 2024",ATL vs. TOR,W,42,30,2,12,2,0,5
"Jan 26, 2024",ATL vs. DAL,L,33,30,1,11,3,0,2
"Jan 20, 2024",ATL vs. CLE,L,28,15,1,5,0,0,4
"Jan 17, 2024",ATL vs. ORL,W,39,18,3,12,1,0,8
"Jan 15, 2024",ATL vs. SAS,W,38,36,6,13,1,1,3
"Jan 13, 2024",ATL vs. WAS,L,36,21,2,10,1,1,1
"Jan 12, 2024",ATL vs. IND,L,30,13,3,6,2,0,5
"Jan 10, 2024",ATL vs. PHI,W,43,28,1,11,1,1,5
"Jan 07, 2024",ATL @ ORL,L,42,31,4,9,1,1,5
"Jan 05, 2024",ATL @ IND,L,28,13,2,6,2,0,3
"Jan 03, 2024",ATL vs. OKC,W,34,24,4,11,2,0,6
"Dec 31, 2023",ATL @ WAS,W,40,40,3,13,3,0,5
"Dec 29, 2023",ATL vs. SAC,L,38,24,3,9,4,0,4
"Dec 26, 2023",ATL @ CHI,L,40,21,2,13,1,0,6
"Dec 23, 2023",ATL vs. MEM,L,41,30,5,13,1,1,2
"Dec 22, 2023",ATL @ MIA,L,40,30,3,13,2,0,6
"Dec 20, 2023",ATL @ HOU,W,36,30,4,14,1,0,4
"Dec 18, 2023",ATL vs. DET,W,38,31,4,15,0,0,5
"Dec 16, 2023",ATL @ CLE,L,38,35,4,10,0,1,5
"Dec 15, 2023",ATL @ TOR,W,36,38,5,11,1,0,8
"Dec 13, 2023",ATL @ TOR,L,39,35,4,17,0,1,5
"Dec 11, 2023",ATL vs. DEN,L,26,19,1,9,1,0,5
"Dec 06, 2023",ATL vs. BKN,L,37,30,1,9,0,2,5
"Dec 02, 2023",ATL @ MIL,L,37,32,2,12,2,0,4
"Nov 30, 2023",ATL @ SAS,W,40,45,4,14,2,0,2
"Nov 28, 2023",ATL @ CLE,L,32,13,1,10,1,0,3
"Nov 26, 2023",ATL @ BOS,L,37,33,5,7,0,0,5
"Nov 25, 2023",ATL @ WAS,W,30,26,6,10,2,0,2
"Nov 22, 2023",ATL vs. BKN,W,40,43,4,9,2,0,4
"Nov 21, 2023",ATL vs. IND,L,39,38,1,8,3,0,3
"Nov 17, 2023",ATL vs. PHI,L,37,22,2,13,1,0,4
"Nov 15, 2023",ATL vs. NYK,L,34,15,1,17,2,0,3
"Nov 11, 2023",ATL vs. MIA,L,38,27,2,11,1,0,5
"Nov 09, 2023",ATL @ ORL,W,34,41,4,8,3,0,3
"Nov 06, 2023",ATL @ OKC,L,36,22,4,11,1,0,7
"Nov 04, 2023",ATL @ NOP,W,39,22,5,12,1,0,5
"Nov 01, 2023",ATL vs. WAS,W,35,23,3,10,2,0,3
"Oct 30, 2023",ATL vs. MIN,W,35,24,1,8,1,0,1
"Oct 29, 2023",ATL @ MIL,W,32,20,3,11,1,0,3
"Oct 27, 2023",ATL vs. NYK,L,35,18,3,12,3,0,6
"Oct 25, 2023",ATL @ CHA,L,36,23,1,9,1,0,5
