GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 12, 2024",SAS vs. DEN,W,37,34,12,5,1,2,7
"Apr 09, 2024",SAS @ MEM,W,31,18,7,6,0,7,1
"Apr 07, 2024",SAS vs. PHI,L,43,33,18,6,0,7,9
"Apr 05, 2024",SAS @ NOP,W,34,17,12,9,1,3,2
"Apr 02, 2024",SAS @ DEN,L,34,23,15,8,1,9,2
"Mar 31, 2024",SAS vs. GSW,L,31,32,9,5,4,3,5
"Mar 29, 2024",SAS vs. NYK,W,38,40,20,7,2,1,4
"Mar 27, 2024",SAS @ UTA,W,30,19,8,6,0,5,6
"Mar 23, 2024",SAS vs. PHX,L,21,13,5,4,0,1,5
"Mar 22, 2024",SAS vs. MEM,L,33,31,16,5,2,3,7
"Mar 19, 2024",SAS vs. DAL,L,32,12,11,3,1,6,5
"Mar 17, 2024",SAS vs. BKN,W,36,33,15,7,0,7,4
"Mar 15, 2024",SAS vs. DEN,L,33,17,9,2,2,3,4
"Mar 12, 2024",SAS vs. HOU,L,31,13,10,6,1,2,2
"Mar 11, 2024",SAS vs. GSW,L,31,27,14,3,1,2,3
"Mar 05, 2024",SAS @ HOU,L,31,10,11,3,0,7,6
"Mar 03, 2024",SAS vs. IND,W,31,31,12,6,1,6,3
"Feb 29, 2024",SAS vs. OKC,W,32,28,13,7,2,5,2
"Feb 27, 2024",SAS @ MIN,L,34,17,13,5,2,4,5
"Feb 25, 2024",SAS @ UTA,L,27,22,10,2,1,5,4
"Feb 23, 2024",SAS @ LAL,L,31,27,10,8,5,5,2
"Feb 22, 2024",SAS @ SAC,L,31,19,13,4,5,5,1
"Feb 14, 2024",SAS @ DAL,L,27,26,9,5,1,3,2
"Feb 12, 2024",SAS @ TOR,W,29,27,14,5,2,10,7
"Feb 10, 2024",SAS @ BKN,L,29,21,4,3,0,1,4
"Feb 08, 2024",SAS @ ORL,L,23,15,1,2,1,3,5
"Feb 07, 2024",SAS @ MIA,L,28,18,13,3,1,1,3
"Feb 03, 2024",SAS vs. CLE,L,27,19,14,3,2,2,3
"Feb 02, 2024",SAS vs. NOP,L,28,16,14,7,2,3,6
"Jan 31, 2024",SAS vs. ORL,L,30,21,8,3,2,5,3
"Jan 29, 2024",SAS vs. WAS,L,31,22,11,4,1,3,4
"Jan 27, 2024",SAS vs. MIN,W,30,23,10,6,2,2,6
"Jan 26, 2024",SAS vs. POR,W,29,23,12,4,2,2,7
"Jan 24, 2024",SAS vs. OKC,L,28,24,12,4,1,4,3
"Jan 22, 2024",SAS @ PHI,L,28,33,7,2,0,2,1
"Jan 20, 2024",SAS @ WAS,W,28,24,8,4,0,6,6
"Jan 17, 2024",SAS @ BOS,L,27,27,5,1,0,1,5
"Jan 15, 2024",SAS @ ATL,L,27,26,13,2,2,5,3
"Jan 12, 2024",SAS vs. CHA,W,20,26,11,1,0,2,3
"Jan 10, 2024",SAS @ DET,W,21,16,12,10,0,0,0
"Jan 07, 2024",SAS @ CLE,L,25,24,10,3,1,5,3
"Jan 04, 2024",SAS vs. MIL,L,26,27,9,1,1,5,5
"Jan 02, 2024",SAS @ MEM,L,26,20,7,1,0,4,1
"Dec 31, 2023",SAS vs. BOS,L,24,21,7,3,0,1,3
"Dec 28, 2023",SAS @ POR,W,24,30,6,6,0,7,1
"Dec 26, 2023",SAS vs. UTA,L,24,15,7,4,1,5,4
"Dec 21, 2023",SAS @ CHI,L,22,7,5,5,2,3,2
"Dec 17, 2023",SAS vs. NOP,L,31,17,13,4,1,4,3
"Dec 15, 2023",SAS vs. LAL,W,31,13,15,5,2,2,2
"Dec 13, 2023",SAS vs. LAL,L,32,30,13,2,3,6,5
"Dec 11, 2023",SAS @ HOU,L,33,15,18,3,0,5,5
"Dec 08, 2023",SAS vs. CHI,L,32,21,20,4,1,4,1
"Dec 06, 2023",SAS @ MIN,L,32,12,10,1,1,1,2
"Nov 30, 2023",SAS vs. ATL,L,29,21,12,2,2,4,2
"Nov 26, 2023",SAS @ DEN,L,25,22,11,2,6,4,3
"Nov 24, 2023",SAS @ GSW,L,35,22,9,4,1,2,6
"Nov 22, 2023",SAS vs. LAC,L,33,22,15,3,1,3,2
"Nov 20, 2023",SAS vs. LAC,L,27,9,3,4,0,2,1
"Nov 18, 2023",SAS vs. MEM,L,31,19,13,4,1,8,2
"Nov 17, 2023",SAS vs. SAC,L,30,27,9,0,2,0,4
"Nov 14, 2023",SAS @ OKC,L,28,8,14,2,0,2,5
"Nov 12, 2023",SAS vs. MIA,L,34,18,11,7,1,1,7
"Nov 10, 2023",SAS vs. MIN,L,35,29,9,4,1,4,3
"Nov 08, 2023",SAS @ NYK,L,30,14,9,2,0,1,3
"Nov 06, 2023",SAS @ IND,L,21,13,10,0,1,2,2
"Nov 05, 2023",SAS vs. TOR,L,38,20,9,4,1,5,2
"Nov 02, 2023",SAS @ PHX,W,34,38,10,2,1,2,2
"Oct 31, 2023",SAS @ PHX,W,28,18,8,1,0,4,5
"Oct 29, 2023",SAS @ LAC,L,26,11,5,2,1,1,5
"Oct 27, 2023",SAS vs. HOU,W,31,21,12,1,3,3,4
"Oct 25, 2023",SAS vs. DAL,L,23,15,5,2,2,1,5
