GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 02, 2024",UTA vs. CLE,L,9,6,0,1,0,1,0
"Mar 31, 2024",UTA @ SAC,L,32,6,8,3,1,3,0
"Mar 29, 2024",UTA vs. HOU,L,18,4,6,1,1,0,3
"Mar 27, 2024",UTA vs. SAS,L,22,4,6,1,0,2,2
"Mar 25, 2024",UTA vs. DAL,L,17,9,4,0,1,0,0
"Mar 23, 2024",UTA @ HOU,L,28,12,9,1,0,3,1
"Mar 21, 2024",UTA @ DAL,L,27,14,9,2,0,0,2
"Mar 20, 2024",UTA @ OKC,L,23,4,8,1,0,1,2
"Mar 18, 2024",UTA vs. MIN,L,28,6,14,2,0,1,1
"Mar 16, 2024",UTA vs. MIN,L,30,7,10,0,0,1,0
"Mar 15, 2024",UTA vs. ATL,W,26,6,9,1,1,2,2
"Mar 12, 2024",UTA vs. BOS,L,19,2,8,1,0,1,0
"Mar 09, 2024",UTA @ DEN,L,24,6,11,2,0,1,0
"Feb 27, 2024",UTA @ ATL,L,30,14,12,0,1,2,1
"Feb 25, 2024",UTA vs. SAS,W,19,10,6,2,0,3,2
"Feb 22, 2024",UTA vs. CHA,L,17,2,2,0,1,1,1
"Feb 15, 2024",UTA vs. GSW,L,25,4,6,2,1,1,1
"Feb 14, 2024",UTA vs. LAL,L,28,12,7,1,0,3,2
"Feb 12, 2024",UTA vs. GSW,L,26,11,9,1,2,4,2
"Feb 08, 2024",UTA @ PHX,L,27,10,9,2,2,4,0
"Feb 06, 2024",UTA vs. OKC,W,21,4,9,1,0,3,1
"Feb 04, 2024",UTA vs. MIL,W,27,13,8,3,0,3,1
"Feb 01, 2024",UTA vs. PHI,L,14,8,7,2,0,4,1
"Jan 30, 2024",UTA @ NYK,L,16,6,7,0,0,4,1
"Jan 29, 2024",UTA @ BKN,L,19,11,7,0,0,1,0
"Jan 27, 2024",UTA @ CHA,W,16,10,4,0,0,3,2
"Jan 25, 2024",UTA @ WAS,W,15,4,3,0,0,1,0
"Jan 23, 2024",UTA @ NOP,L,25,6,5,1,0,4,0
"Jan 20, 2024",UTA @ HOU,L,32,7,10,3,0,5,3
"Jan 18, 2024",UTA vs. OKC,L,24,7,11,1,1,3,1
"Jan 15, 2024",UTA vs. IND,W,25,4,5,1,0,5,1
"Jan 13, 2024",UTA vs. LAL,W,14,4,6,0,0,1,0
"Jan 12, 2024",UTA vs. TOR,W,20,12,6,1,1,3,0
"Jan 10, 2024",UTA vs. DEN,W,15,8,4,1,2,1,1
"Jan 08, 2024",UTA @ MIL,W,21,8,6,0,1,2,0
"Jan 06, 2024",UTA @ PHI,W,19,10,4,0,1,0,0
"Jan 05, 2024",UTA @ BOS,L,14,4,7,0,0,0,0
"Jan 03, 2024",UTA vs. DET,W,29,8,8,1,0,6,0
"Jan 01, 2024",UTA vs. DAL,W,27,11,10,0,1,4,1
"Dec 30, 2023",UTA vs. MIA,W,23,10,8,0,0,2,0
"Dec 28, 2023",UTA @ NOP,L,29,11,4,0,2,1,2
"Dec 26, 2023",UTA @ SAS,W,18,11,7,1,1,4,1
"Dec 23, 2023",UTA @ TOR,W,25,10,8,1,0,2,1
"Dec 21, 2023",UTA @ DET,W,20,4,10,1,0,4,1
"Dec 20, 2023",UTA @ CLE,L,30,10,5,0,2,1,2
"Dec 18, 2023",UTA vs. BKN,W,32,14,14,0,0,5,1
"Dec 16, 2023",UTA @ SAC,L,18,2,3,1,0,1,1
"Dec 14, 2023",UTA @ POR,W,26,10,10,4,1,7,1
"Dec 13, 2023",UTA vs. NYK,W,23,9,9,1,0,3,2
"Dec 08, 2023",UTA vs. LAC,L,31,8,12,3,2,5,2
"Dec 06, 2023",UTA @ DAL,L,27,6,8,0,1,0,2
"Dec 02, 2023",UTA vs. POR,W,25,12,8,0,0,2,2
"Nov 30, 2023",UTA @ MIN,L,27,7,5,2,1,3,1
"Nov 29, 2023",UTA @ MEM,L,28,9,8,2,1,6,1
"Nov 27, 2023",UTA vs. NOP,W,26,14,8,3,0,2,0
"Nov 25, 2023",UTA vs. NOP,W,21,11,11,0,1,2,3
"Nov 06, 2023",UTA @ CHI,L,31,15,15,0,0,4,1
"Nov 04, 2023",UTA @ MIN,L,22,4,4,0,0,3,0
"Nov 02, 2023",UTA vs. ORL,L,25,4,10,1,0,5,1
"Nov 01, 2023",UTA vs. MEM,W,18,4,4,0,0,2,0
"Oct 30, 2023",UTA @ DEN,L,29,22,13,0,0,1,2
"Oct 28, 2023",UTA @ PHX,L,23,2,5,1,0,1,3
"Oct 27, 2023",UTA vs. LAC,W,21,7,4,0,0,0,0
"Oct 25, 2023",UTA vs. SAC,L,22,8,8,0,0,1,1
