GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 02, 2024",MEM vs. POR,L,34,9,6,0,1,0,3
"Mar 01, 2024",MEM vs. POR,L,26,9,5,2,1,0,1
"Feb 28, 2024",MEM @ MIN,L,36,16,8,2,0,0,1
"Feb 26, 2024",MEM vs. BKN,L,25,6,2,0,1,0,2
"Feb 23, 2024",MEM vs. LAC,L,30,10,4,1,2,0,0
"Feb 15, 2024",MEM vs. MIL,W,36,27,4,4,3,0,2
"Feb 14, 2024",MEM vs. HOU,W,22,5,2,2,1,0,0
"Jan 28, 2024",MEM @ IND,L,14,4,3,3,0,0,2
"Jan 26, 2024",MEM vs. ORL,W,30,17,4,5,2,0,3
"Jan 24, 2024",MEM @ MIA,W,17,0,6,1,1,0,1
"Jan 22, 2024",MEM @ TOR,W,14,6,2,2,0,0,2
"Jan 20, 2024",MEM @ CHI,L,22,8,1,1,2,0,1
"Jan 18, 2024",MEM @ MIN,L,12,2,1,2,2,0,2
"Jan 15, 2024",MEM vs. GSW,W,20,4,3,0,1,0,1
"Jan 13, 2024",MEM vs. NYK,L,20,10,4,2,1,0,2
"Jan 12, 2024",MEM vs. LAC,L,19,13,3,2,0,0,1
"Jan 09, 2024",MEM @ DAL,W,27,14,4,0,1,0,1
"Jan 07, 2024",MEM @ PHX,W,27,9,4,3,2,0,1
"Jan 05, 2024",MEM @ LAL,W,20,15,1,1,1,0,2
"Jan 03, 2024",MEM vs. TOR,L,18,18,6,0,1,0,0
"Jan 02, 2024",MEM vs. SAS,W,0,0,0,0,0,0,0
"Dec 31, 2023",MEM vs. SAC,L,5,0,1,0,0,0,1
"Dec 29, 2023",MEM @ LAC,L,6,0,2,1,0,0,0
"Dec 28, 2023",MEM @ DEN,L,24,7,2,1,1,1,1
"Dec 26, 2023",MEM @ NOP,W,12,2,1,1,1,1,2
"Dec 23, 2023",MEM @ ATL,W,23,8,3,3,0,0,1
"Dec 21, 2023",MEM vs. IND,W,18,16,1,2,1,2,2
"Dec 19, 2023",MEM @ NOP,W,18,4,2,0,0,0,1
"Dec 18, 2023",MEM @ OKC,L,22,19,7,5,0,0,4
"Dec 15, 2023",MEM vs. HOU,L,15,0,4,2,0,0,2
"Dec 13, 2023",MEM @ HOU,L,26,5,4,3,0,0,1
"Dec 11, 2023",MEM vs. DAL,L,16,5,3,1,1,0,0
"Dec 08, 2023",MEM vs. MIN,L,4,4,0,0,0,0,0
"Dec 06, 2023",MEM @ DET,W,0,0,0,0,0,0,0
"Dec 01, 2023",MEM @ DAL,W,10,3,0,1,1,0,2
"Nov 29, 2023",MEM vs. UTA,W,25,15,8,0,2,0,2
"Nov 26, 2023",MEM vs. MIN,L,18,11,2,1,0,0,2
"Nov 24, 2023",MEM vs. PHX,L,2,0,0,1,0,0,0
"Nov 22, 2023",MEM @ HOU,L,20,13,2,0,0,0,0
"Nov 19, 2023",MEM vs. BOS,L,24,6,7,4,0,0,0
"Nov 18, 2023",MEM @ SAS,W,25,17,7,5,1,0,1
"Nov 14, 2023",MEM @ LAL,L,26,10,1,0,1,1,1
"Nov 12, 2023",MEM @ LAC,W,9,0,1,1,0,0,0
"Nov 08, 2023",MEM vs. MIA,L,21,2,2,0,2,0,1
"Nov 05, 2023",MEM @ POR,W,28,6,7,1,0,1,2
"Nov 03, 2023",MEM @ POR,L,27,13,6,3,1,1,2
"Nov 01, 2023",MEM @ UTA,L,19,8,4,0,0,2,1
"Oct 30, 2023",MEM vs. DAL,L,33,8,7,2,1,0,3
"Oct 28, 2023",MEM @ WAS,L,34,16,10,1,0,0,1
"Oct 27, 2023",MEM vs. DEN,L,31,11,9,3,0,0,4
"Oct 25, 2023",MEM vs. NOP,L,29,9,4,0,0,0,1
