GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",NOP vs. LAL,L,34,12,8,8,2,0,4
"Apr 12, 2024",NOP @ GSW,W,37,26,3,3,6,1,2
"Apr 11, 2024",NOP @ SAC,W,31,31,4,6,3,1,4
"Apr 09, 2024",NOP @ POR,W,33,22,7,3,1,1,2
"Apr 07, 2024",NOP @ PHX,W,40,29,10,7,1,5,4
"Apr 03, 2024",NOP vs. ORL,L,29,15,2,5,2,1,2
"Apr 01, 2024",NOP vs. PHX,L,37,30,2,5,1,0,3
"Mar 30, 2024",NOP vs. BOS,L,40,25,9,4,1,0,4
"Mar 28, 2024",NOP vs. MIL,W,33,28,5,2,0,1,3
"Mar 26, 2024",NOP vs. OKC,L,39,29,5,10,3,0,5
"Mar 24, 2024",NOP @ DET,W,36,36,7,6,2,0,4
"Mar 22, 2024",NOP @ MIA,W,25,4,5,4,0,1,5
"Mar 21, 2024",NOP @ ORL,L,29,20,7,2,2,1,8
"Mar 19, 2024",NOP @ BKN,W,33,28,7,4,1,0,2
"Mar 16, 2024",NOP vs. POR,W,34,26,10,3,1,1,3
"Mar 15, 2024",NOP vs. LAC,W,35,34,7,4,3,1,3
"Mar 13, 2024",NOP vs. CLE,L,35,33,9,1,1,0,2
"Mar 10, 2024",NOP @ ATL,W,36,27,6,7,0,2,1
"Mar 08, 2024",NOP @ PHI,W,35,23,12,4,2,3,1
"Mar 05, 2024",NOP @ TOR,W,26,16,8,9,1,2,1
"Mar 01, 2024",NOP vs. IND,W,21,8,3,7,0,0,5
"Feb 28, 2024",NOP @ IND,L,32,23,3,4,0,0,1
"Feb 27, 2024",NOP @ NYK,W,29,21,5,4,0,2,6
"Feb 25, 2024",NOP vs. CHI,L,33,19,8,11,0,2,3
"Feb 23, 2024",NOP vs. MIA,L,36,23,9,7,1,0,3
"Feb 22, 2024",NOP vs. HOU,W,35,27,3,9,2,1,3
"Feb 14, 2024",NOP vs. WAS,W,34,36,6,8,0,1,1
"Feb 12, 2024",NOP @ MEM,W,35,14,5,4,1,1,3
"Feb 09, 2024",NOP @ LAL,L,32,30,9,5,1,1,2
"Feb 07, 2024",NOP @ LAC,W,35,21,3,10,1,2,2
"Feb 05, 2024",NOP vs. TOR,W,22,16,3,5,0,1,1
"Feb 02, 2024",NOP @ SAS,W,36,33,8,4,1,1,1
"Jan 29, 2024",NOP @ BOS,L,31,26,4,3,2,0,3
"Jan 27, 2024",NOP @ MIL,L,29,23,2,2,1,0,5
"Jan 23, 2024",NOP vs. UTA,W,27,17,3,11,0,0,2
"Jan 19, 2024",NOP vs. PHX,L,33,24,3,1,0,1,2
"Jan 17, 2024",NOP vs. CHA,W,27,13,5,9,3,0,2
"Jan 15, 2024",NOP @ DAL,L,32,30,1,3,1,0,3
"Jan 12, 2024",NOP @ DEN,L,35,30,6,5,0,1,1
"Jan 10, 2024",NOP @ GSW,W,30,19,5,7,1,0,4
"Jan 05, 2024",NOP vs. LAC,L,19,12,6,1,1,1,1
"Jan 03, 2024",NOP @ MIN,W,29,27,4,6,1,1,2
"Jan 02, 2024",NOP vs. BKN,W,26,10,3,5,0,1,4
"Dec 31, 2023",NOP vs. LAL,W,32,26,4,6,0,0,4
"Dec 28, 2023",NOP vs. UTA,W,30,21,10,8,0,1,0
"Dec 26, 2023",NOP vs. MEM,L,36,23,11,1,1,0,6
"Dec 23, 2023",NOP vs. HOU,L,34,28,8,4,2,1,3
"Dec 19, 2023",NOP vs. MEM,L,25,13,3,4,0,0,2
"Dec 17, 2023",NOP @ SAS,W,26,15,8,3,2,1,1
"Dec 15, 2023",NOP @ CHA,W,30,21,11,4,0,0,1
"Dec 11, 2023",NOP vs. MIN,W,33,36,5,2,1,1,1
"Dec 07, 2023",NOP @ LAL,L,26,13,2,3,0,0,3
"Dec 04, 2023",NOP @ SAC,W,28,10,6,6,3,0,4
"Dec 02, 2023",NOP @ CHI,L,30,27,5,3,1,0,5
"Dec 01, 2023",NOP vs. SAS,W,26,12,4,7,0,1,1
"Nov 29, 2023",NOP vs. PHI,W,33,33,8,6,3,0,2
"Nov 27, 2023",NOP @ UTA,L,34,26,4,7,1,0,0
"Nov 24, 2023",NOP @ LAC,W,34,32,6,5,2,0,5
"Nov 22, 2023",NOP vs. SAC,W,35,25,5,6,0,0,2
"Nov 20, 2023",NOP vs. SAC,W,30,26,3,5,3,1,1
"Nov 17, 2023",NOP vs. DEN,W,33,26,4,6,0,2,4
"Nov 14, 2023",NOP vs. DAL,W,27,19,7,5,2,0,2
"Nov 12, 2023",NOP vs. DAL,L,27,18,2,4,1,0,6
"Nov 10, 2023",NOP @ HOU,L,34,24,8,1,0,1,5
"Nov 06, 2023",NOP @ DEN,L,37,20,10,9,2,0,0
"Nov 04, 2023",NOP vs. ATL,L,32,25,5,3,0,0,0
"Nov 01, 2023",NOP @ OKC,W,33,20,10,8,0,0,4
"Oct 30, 2023",NOP vs. GSW,L,30,19,5,3,2,0,5
"Oct 28, 2023",NOP vs. NYK,W,28,24,5,2,1,0,0
"Oct 25, 2023",NOP @ MEM,W,32,23,7,3,0,0,3
