GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",TOR @ SAS,L,21,14,0,0,0,0,1
"Apr 11, 2025",TOR @ DAL,L,32,12,10,2,1,0,0
"Apr 09, 2025",TOR vs. CHA,W,28,14,6,7,1,0,0
"Apr 06, 2025",TOR @ BKN,W,22,13,1,0,2,0,2
"Apr 04, 2025",TOR vs. DET,L,23,9,3,1,1,2,1
"Apr 03, 2025",TOR vs. POR,L,18,13,3,4,2,0,3
"Apr 01, 2025",TOR @ CHI,L,13,13,6,1,0,0,0
"Mar 30, 2025",TOR @ PHI,W,5,0,3,0,0,0,0
"Mar 28, 2025",TOR vs. CHA,W,9,2,1,0,0,2,0
"Mar 26, 2025",TOR @ BKN,W,16,2,3,0,0,0,0
"Mar 24, 2025",TOR @ WAS,W,23,8,2,2,2,0,0
"Mar 20, 2025",TOR @ GSW,L,10,0,2,0,0,0,0
"Mar 17, 2025",TOR @ PHX,L,25,12,3,0,1,0,1
"Mar 16, 2025",TOR @ POR,L,33,9,8,6,0,0,1
"Mar 14, 2025",TOR @ UTA,W,24,18,5,0,0,0,1
"Mar 12, 2025",TOR vs. PHI,W,36,28,6,4,0,0,3
"Mar 10, 2025",TOR vs. WAS,W,33,32,12,0,1,0,1
"Mar 08, 2025",TOR vs. WAS,L,32,7,3,2,1,0,0
"Mar 07, 2025",TOR vs. UTA,W,27,6,3,1,1,0,0
"Mar 04, 2025",TOR @ ORL,W,26,13,2,1,0,2,0
"Mar 02, 2025",TOR @ ORL,W,14,0,0,0,0,0,1
"Feb 23, 2025",TOR vs. PHX,W,1,0,1,0,0,0,0
"Jan 21, 2025",TOR vs. ORL,W,1,2,0,0,0,0,0
"Dec 31, 2024",TOR @ BOS,L,4,0,1,0,0,0,0
"Dec 26, 2024",TOR @ MEM,L,5,6,2,0,0,0,0
"Dec 23, 2024",TOR @ NYK,L,4,3,0,0,0,0,0
