GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",OKC @ NOP,W,37,28,7,7,2,0,1
"Apr 11, 2025",OKC @ UTA,W,34,35,7,2,2,0,3
"Apr 09, 2025",OKC @ PHX,W,33,17,5,3,1,0,3
"Apr 08, 2025",OKC vs. LAL,W,13,3,4,2,0,0,1
"Apr 06, 2025",OKC vs. LAL,L,21,4,5,1,0,0,1
"Apr 04, 2025",OKC @ HOU,L,19,8,3,0,0,0,1
"Mar 23, 2025",OKC @ LAC,W,26,19,3,1,0,0,1
"Mar 21, 2025",OKC vs. CHA,W,27,11,2,1,3,0,0
"Mar 19, 2025",OKC vs. PHI,W,29,26,4,6,0,0,1
"Mar 16, 2025",OKC @ MIL,W,19,9,4,3,0,1,0
"Mar 12, 2025",OKC @ BOS,W,20,0,3,1,1,0,0
"Mar 10, 2025",OKC vs. DEN,L,22,8,4,1,1,0,0
"Mar 09, 2025",OKC vs. DEN,W,18,4,7,1,1,0,1
"Mar 07, 2025",OKC vs. POR,W,32,30,5,3,1,1,2
"Mar 05, 2025",OKC @ MEM,W,30,16,1,3,1,0,0
"Mar 03, 2025",OKC vs. HOU,W,25,8,7,2,1,0,2
"Mar 02, 2025",OKC @ SAS,W,24,17,3,2,1,0,2
"Feb 28, 2025",OKC @ ATL,W,26,13,6,2,0,0,1
"Feb 26, 2025",OKC @ BKN,W,29,24,5,3,0,0,1
"Feb 24, 2025",OKC vs. MIN,L,29,19,7,0,2,1,0
"Feb 23, 2025",OKC @ MIN,W,19,15,0,0,0,1,1
"Feb 21, 2025",OKC @ UTA,W,22,12,3,5,1,1,1
"Feb 13, 2025",OKC @ MIN,L,19,10,3,1,0,1,0
"Feb 12, 2025",OKC vs. MIA,W,28,11,5,2,2,0,2
"Feb 10, 2025",OKC vs. NOP,W,25,24,2,0,3,0,2
"Feb 08, 2025",OKC @ MEM,W,38,26,11,2,0,0,0
"Feb 07, 2025",OKC vs. TOR,W,33,18,3,2,1,1,0
"Feb 05, 2025",OKC vs. PHX,W,25,17,6,1,1,0,0
"Feb 03, 2025",OKC vs. MIL,W,26,13,1,4,1,0,1
"Feb 01, 2025",OKC vs. SAC,W,40,41,14,3,0,0,2
"Jan 29, 2025",OKC @ GSW,L,14,2,2,1,0,0,0
"Jan 26, 2025",OKC @ POR,W,17,4,1,0,1,0,0
"Jan 23, 2025",OKC vs. DAL,L,28,9,3,1,0,0,1
"Jan 22, 2025",OKC vs. UTA,W,23,10,4,1,1,0,1
"Jan 19, 2025",OKC vs. BKN,W,26,12,3,5,0,0,2
"Jan 17, 2025",OKC @ DAL,L,23,12,6,2,1,0,3
"Jan 16, 2025",OKC vs. CLE,W,33,4,5,3,0,0,1
"Jan 14, 2025",OKC @ PHI,W,16,6,3,3,0,0,0
"Jan 12, 2025",OKC @ WAS,W,30,23,9,4,1,1,1
"Jan 10, 2025",OKC @ NYK,W,22,8,5,1,1,0,0
"Jan 08, 2025",OKC @ CLE,L,22,11,2,1,0,0,1
"Jan 05, 2025",OKC vs. BOS,W,20,15,1,2,0,0,1
"Jan 03, 2025",OKC vs. NYK,W,25,19,5,2,0,2,0
"Jan 02, 2025",OKC vs. LAC,W,28,9,4,2,0,0,1
"Dec 31, 2024",OKC vs. MIN,W,14,7,3,1,1,0,1
"Dec 29, 2024",OKC vs. MEM,W,24,16,3,0,2,0,0
"Dec 28, 2024",OKC @ CHA,W,33,17,5,1,2,0,2
"Dec 26, 2024",OKC @ IND,W,6,2,0,2,0,0,0
"Dec 23, 2024",OKC vs. WAS,W,14,7,1,0,0,0,3
"Dec 20, 2024",OKC @ MIA,W,13,3,3,0,0,0,0
"Dec 19, 2024",OKC @ ORL,W,31,11,2,1,2,1,0
"Dec 14, 2024",OKC vs. HOU,W,10,0,0,0,0,0,0
"Dec 10, 2024",OKC vs. DAL,W,9,3,0,0,1,0,1
"Dec 07, 2024",OKC @ NOP,W,15,2,3,2,1,1,0
"Dec 05, 2024",OKC @ TOR,W,20,12,3,2,2,0,1
"Dec 03, 2024",OKC vs. UTA,W,22,16,4,1,3,1,3
"Dec 01, 2024",OKC @ HOU,L,27,13,3,3,0,0,0
"Nov 29, 2024",OKC @ LAL,W,18,7,7,0,1,0,0
"Nov 27, 2024",OKC @ GSW,W,14,7,1,0,0,0,1
"Nov 25, 2024",OKC @ SAC,W,22,8,4,0,1,0,2
"Nov 20, 2024",OKC vs. POR,W,15,5,2,0,0,0,1
"Nov 19, 2024",OKC @ SAS,L,20,11,3,0,1,0,2
"Nov 17, 2024",OKC vs. DAL,L,25,7,5,0,2,1,1
"Nov 15, 2024",OKC vs. PHX,W,20,8,1,2,0,0,0
"Nov 13, 2024",OKC vs. NOP,W,24,10,5,3,0,0,1
"Nov 11, 2024",OKC vs. LAC,W,29,10,4,4,0,1,1
"Nov 10, 2024",OKC vs. GSW,L,18,9,2,3,0,0,1
"Nov 08, 2024",OKC vs. HOU,W,30,8,5,5,1,1,0
"Nov 06, 2024",OKC @ DEN,L,17,13,2,1,0,0,0
"Nov 04, 2024",OKC vs. ORL,W,17,11,5,1,3,0,0
"Nov 02, 2024",OKC @ LAC,W,30,12,5,2,3,0,0
"Nov 01, 2024",OKC @ POR,W,23,13,8,2,1,0,1
"Oct 30, 2024",OKC vs. SAS,W,18,4,3,3,0,0,1
"Oct 27, 2024",OKC vs. ATL,W,18,9,1,1,1,0,1
"Oct 26, 2024",OKC @ CHI,W,16,8,3,1,1,0,2
"Oct 24, 2024",OKC @ DEN,W,20,15,6,1,0,2,1
