GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",PHI vs. CHI,L,33,16,9,0,1,2,1
"Apr 11, 2025",PHI vs. ATL,L,30,18,6,1,1,3,3
"Apr 09, 2025",PHI @ WAS,W,32,17,9,0,0,2,4
"Apr 07, 2025",PHI @ MIA,L,35,16,11,1,1,2,4
"Apr 05, 2025",PHI vs. MIN,L,24,4,10,2,1,1,0
"Apr 03, 2025",PHI vs. MIL,L,35,28,6,0,2,3,3
"Apr 01, 2025",PHI @ NYK,L,32,9,8,2,2,3,4
"Mar 30, 2025",PHI vs. TOR,L,27,14,8,0,1,5,5
"Mar 29, 2025",PHI vs. MIA,L,30,16,10,1,1,3,3
"Mar 26, 2025",PHI vs. WAS,L,23,6,6,3,0,3,0
"Mar 24, 2025",PHI @ NOP,L,19,6,7,1,2,1,0
"Mar 14, 2025",PHI vs. IND,L,34,16,9,0,2,1,2
"Mar 12, 2025",PHI @ TOR,L,23,13,9,1,1,2,0
"Mar 10, 2025",PHI @ ATL,L,24,12,2,1,0,1,0
"Mar 09, 2025",PHI vs. UTA,W,32,14,15,1,2,5,3
"Mar 06, 2025",PHI @ BOS,L,13,6,2,1,0,1,1
"Mar 04, 2025",PHI @ MIN,L,8,1,1,1,1,0,0
"Mar 03, 2025",PHI vs. POR,L,7,6,2,0,0,1,1
"Feb 26, 2025",PHI @ NYK,L,17,5,5,0,1,1,1
"Feb 24, 2025",PHI vs. CHI,L,17,4,6,0,0,1,1
"Feb 20, 2025",PHI vs. BOS,L,1,0,0,0,0,0,0
"Feb 12, 2025",PHI @ BKN,L,17,2,2,0,0,1,1
"Feb 07, 2025",PHI @ DET,L,11,2,1,0,0,1,1
"Feb 05, 2025",PHI vs. MIA,L,18,11,5,0,1,0,0
"Feb 04, 2025",PHI vs. DAL,W,8,2,1,1,0,1,0
"Feb 02, 2025",PHI vs. BOS,L,12,2,5,0,1,1,2
"Jan 31, 2025",PHI vs. DEN,L,12,2,1,0,0,1,0
"Jan 29, 2025",PHI vs. SAC,W,19,5,7,1,0,0,2
"Jan 28, 2025",PHI vs. LAL,W,20,4,6,1,0,3,1
"Jan 25, 2025",PHI @ CHI,W,19,4,7,1,0,1,0
"Jan 24, 2025",PHI vs. CLE,W,10,4,2,0,1,0,1
"Jan 21, 2025",PHI @ DEN,L,16,3,3,1,1,2,0
"Jan 19, 2025",PHI @ MIL,L,24,10,6,0,1,1,1
"Jan 18, 2025",PHI @ IND,L,19,12,6,1,0,0,0
"Jan 15, 2025",PHI vs. NYK,L,15,2,6,0,0,0,1
"Jan 14, 2025",PHI vs. OKC,L,17,7,3,0,0,0,3
"Jan 12, 2025",PHI @ ORL,L,15,0,0,0,1,1,1
"Jan 10, 2025",PHI vs. NOP,L,14,0,2,0,0,2,1
"Jan 08, 2025",PHI vs. WAS,W,14,2,3,2,0,3,0
"Jan 06, 2025",PHI vs. PHX,L,11,4,5,0,0,1,1
"Jan 04, 2025",PHI @ BKN,W,7,6,3,1,0,1,2
"Jan 02, 2025",PHI @ GSW,L,9,0,3,0,1,2,1
"Dec 30, 2024",PHI @ POR,W,4,2,0,1,0,0,0
"Dec 21, 2024",PHI @ CLE,L,12,3,3,1,0,0,0
"Dec 04, 2024",PHI vs. ORL,L,14,0,3,0,0,0,0
"Dec 03, 2024",PHI @ CHA,W,14,6,1,0,0,0,2
"Nov 30, 2024",PHI @ DET,W,20,4,5,0,0,3,2
"Nov 24, 2024",PHI vs. LAC,L,9,0,2,0,0,0,0
"Nov 18, 2024",PHI @ MIA,L,1,0,0,0,0,0,0
"Nov 15, 2024",PHI @ ORL,L,1,0,1,0,0,0,0
"Nov 13, 2024",PHI vs. CLE,L,17,4,9,0,0,1,1
"Nov 12, 2024",PHI vs. NYK,L,1,0,0,0,0,0,0
"Nov 08, 2024",PHI @ LAL,L,2,3,1,0,0,1,0
"Nov 06, 2024",PHI @ LAC,L,4,0,0,0,0,0,0
"Nov 02, 2024",PHI vs. MEM,L,1,2,1,0,0,0,1
"Oct 30, 2024",PHI vs. DET,L,3,0,0,0,0,1,0
"Oct 25, 2024",PHI @ TOR,L,1,0,0,0,0,0,0
"Oct 23, 2024",PHI vs. MIL,L,3,2,1,0,0,0,0
