GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",OKC @ NOP,W,15,5,5,1,0,0,0
"Apr 11, 2025",OKC @ UTA,W,14,2,2,1,0,0,0
"Mar 21, 2025",OKC vs. CHA,W,6,3,0,0,2,0,1
"Mar 19, 2025",OKC vs. PHI,W,14,3,4,1,1,0,0
"Mar 02, 2025",OKC @ SAS,W,2,0,0,0,0,0,1
"Feb 21, 2025",OKC @ UTA,W,3,0,0,0,0,0,0
"Feb 13, 2025",OKC @ MIN,L,4,0,0,0,0,0,0
"Feb 10, 2025",OKC vs. NOP,W,6,3,2,1,1,0,0
"Feb 07, 2025",OKC vs. TOR,W,4,0,1,0,0,0,1
"Feb 05, 2025",OKC vs. PHX,W,6,0,2,0,0,0,0
"Feb 03, 2025",OKC vs. MIL,W,14,2,7,0,0,0,0
"Feb 01, 2025",OKC vs. SAC,W,6,6,0,0,0,0,0
"Jan 19, 2025",OKC vs. BKN,W,5,9,1,0,0,0,1
"Jan 16, 2025",OKC vs. CLE,W,7,0,1,0,0,0,0
"Jan 14, 2025",OKC @ PHI,W,2,0,1,0,0,0,0
"Jan 12, 2025",OKC @ WAS,W,8,3,0,1,1,0,0
"Jan 10, 2025",OKC @ NYK,W,2,0,0,0,0,0,0
"Oct 30, 2024",OKC vs. SAS,W,1,0,0,0,0,0,0
"Oct 27, 2024",OKC vs. ATL,W,2,0,0,0,0,0,0
"Oct 26, 2024",OKC @ CHI,W,3,0,0,0,0,0,0
"Oct 24, 2024",OKC @ DEN,W,1,0,0,0,0,0,0
