GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 12, 2025",PHI @ TOR,L,25,4,6,1,0,2,0
"Mar 09, 2025",PHI vs. UTA,W,10,6,2,0,0,1,0
"Mar 06, 2025",PHI @ BOS,L,25,9,10,2,1,0,2
"Mar 04, 2025",PHI @ MIN,L,19,4,7,3,0,1,0
"Mar 03, 2025",PHI vs. POR,L,29,25,18,1,2,0,0
"Mar 01, 2025",PHI vs. GSW,W,21,10,14,2,0,0,2
"Feb 26, 2025",PHI @ NYK,L,29,7,9,5,2,1,1
"Feb 24, 2025",PHI vs. CHI,L,14,10,8,0,1,0,2
"Feb 22, 2025",PHI vs. BKN,L,5,6,3,0,0,0,0
"Feb 20, 2025",PHI vs. BOS,L,13,8,7,1,0,0,1
"Feb 12, 2025",PHI @ BKN,L,15,4,8,1,1,2,0
"Feb 07, 2025",PHI @ DET,L,8,2,4,2,0,1,0
"Jan 21, 2025",PHI @ DEN,L,20,8,5,2,0,0,1
"Jan 18, 2025",PHI @ IND,L,27,8,3,0,1,0,3
"Jan 04, 2025",PHI @ BKN,W,8,6,4,0,1,0,1
"Jan 01, 2025",PHI @ SAC,L,20,10,9,2,0,0,2
"Dec 23, 2024",PHI vs. SAS,W,7,2,3,1,0,0,0
"Dec 21, 2024",PHI @ CLE,L,14,0,8,0,0,1,1
"Dec 20, 2024",PHI vs. CHA,W,10,0,2,0,1,0,2
"Dec 16, 2024",PHI @ CHA,W,28,9,15,1,2,1,4
"Dec 13, 2024",PHI vs. IND,L,23,7,8,0,1,0,0
"Dec 08, 2024",PHI @ CHI,W,7,4,7,0,0,0,0
"Dec 06, 2024",PHI vs. ORL,W,27,7,11,0,4,0,4
"Nov 30, 2024",PHI @ DET,W,4,4,3,0,1,0,0
"Nov 27, 2024",PHI vs. HOU,L,29,6,9,2,2,0,2
"Nov 24, 2024",PHI vs. LAC,L,14,6,5,1,0,1,3
"Nov 22, 2024",PHI vs. BKN,W,17,10,6,1,1,1,0
"Nov 20, 2024",PHI @ MEM,L,13,11,6,0,3,0,2
"Nov 18, 2024",PHI @ MIA,L,12,6,5,1,1,1,1
"Nov 15, 2024",PHI @ ORL,L,4,2,5,0,0,0,1
"Nov 12, 2024",PHI vs. NYK,L,18,5,4,1,0,1,0
"Nov 10, 2024",PHI vs. CHA,W,24,13,10,0,0,0,2
"Nov 08, 2024",PHI @ LAL,L,22,14,12,0,3,0,0
"Nov 06, 2024",PHI @ LAC,L,32,9,10,1,0,1,1
"Nov 04, 2024",PHI @ PHX,L,15,8,5,0,3,0,5
"Nov 02, 2024",PHI vs. MEM,L,29,4,9,2,1,0,4
"Oct 30, 2024",PHI vs. DET,L,28,9,11,0,1,0,1
"Oct 27, 2024",PHI @ IND,W,37,9,17,1,2,1,4
"Oct 25, 2024",PHI @ TOR,L,22,11,9,0,4,2,2
"Oct 23, 2024",PHI vs. MIL,L,25,10,13,0,0,0,1
