GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 11, 2025",MIA @ NOP,W,22,23,12,4,2,0,0
"Apr 09, 2025",MIA @ CHI,L,35,18,6,3,1,0,1
"Apr 05, 2025",MIA vs. MIL,L,43,31,12,5,2,1,2
"Apr 03, 2025",MIA vs. MEM,L,34,26,7,5,1,2,2
"Apr 02, 2025",MIA @ BOS,W,31,21,5,6,0,0,0
"Mar 31, 2025",MIA @ WAS,W,31,28,12,5,1,1,1
"Mar 29, 2025",MIA @ PHI,W,28,16,7,5,0,0,1
"Mar 27, 2025",MIA vs. ATL,W,38,12,10,4,3,0,3
"Mar 25, 2025",MIA vs. GSW,W,34,27,8,1,1,1,3
"Mar 23, 2025",MIA vs. CHA,W,32,11,4,2,2,0,2
"Mar 21, 2025",MIA vs. HOU,L,38,16,6,6,0,0,2
"Mar 19, 2025",MIA vs. DET,L,37,30,9,8,1,1,2
"Mar 17, 2025",MIA @ NYK,L,34,12,7,4,1,2,4
"Mar 15, 2025",MIA @ MEM,L,30,18,6,0,1,2,3
"Mar 14, 2025",MIA vs. BOS,L,33,9,9,2,0,1,2
"Mar 12, 2025",MIA vs. LAC,L,35,6,7,7,5,0,1
"Mar 10, 2025",MIA vs. CHA,L,38,23,14,8,1,0,1
"Mar 08, 2025",MIA vs. CHI,L,38,22,6,2,2,0,2
"Mar 07, 2025",MIA vs. MIN,L,43,29,13,4,1,0,2
"Mar 05, 2025",MIA @ CLE,L,38,34,12,5,2,0,2
"Mar 03, 2025",MIA vs. WAS,W,31,19,15,5,2,1,2
"Mar 02, 2025",MIA vs. NYK,L,42,30,7,4,1,0,3
"Feb 28, 2025",MIA vs. IND,W,31,18,7,7,2,0,0
"Feb 26, 2025",MIA vs. ATL,W,35,20,9,3,0,1,2
"Feb 24, 2025",MIA @ ATL,L,37,14,5,1,2,0,4
"Feb 23, 2025",MIA @ MIL,L,35,24,7,1,1,0,0
"Feb 21, 2025",MIA @ TOR,W,37,19,12,1,0,0,0
