GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",LAC @ GSW,W,11,0,2,1,0,0,1
"Apr 11, 2025",LAC @ SAC,W,12,0,1,2,0,1,0
"Apr 08, 2025",LAC vs. SAS,W,15,0,7,2,0,0,1
"Apr 05, 2025",LAC vs. DAL,W,12,2,0,3,0,0,1
"Apr 02, 2025",LAC vs. NOP,W,12,0,1,2,0,0,2
"Mar 30, 2025",LAC @ CLE,L,20,4,6,5,1,0,1
"Mar 28, 2025",LAC @ BKN,W,17,0,3,3,1,0,1
"Mar 26, 2025",LAC @ NYK,W,16,2,8,2,0,0,0
"Mar 23, 2025",LAC vs. OKC,L,15,8,7,0,0,0,3
"Mar 21, 2025",LAC vs. MEM,W,13,0,2,2,0,2,1
"Mar 18, 2025",LAC vs. CLE,W,13,0,2,2,1,0,1
"Mar 16, 2025",LAC vs. CHA,W,15,0,2,3,0,1,0
"Mar 14, 2025",LAC @ ATL,W,17,2,2,4,2,0,0
"Feb 28, 2025",LAC @ LAL,L,16,2,3,3,0,0,0
"Feb 26, 2025",LAC @ CHI,W,18,6,8,8,1,1,1
"Feb 23, 2025",LAC @ IND,L,24,8,3,4,2,0,1
"Feb 20, 2025",LAC @ MIL,L,20,6,5,4,1,1,0
"Feb 13, 2025",LAC @ UTA,W,27,12,7,6,3,1,0
"Feb 05, 2025",BKN vs. WAS,L,18,4,5,6,1,0,0
"Feb 01, 2025",BKN @ HOU,W,24,2,5,4,0,1,1
"Jan 29, 2025",BKN @ CHA,W,23,10,2,6,1,0,3
"Jan 17, 2025",BKN @ LAL,L,27,6,5,7,1,1,3
"Jan 14, 2025",BKN @ POR,W,26,5,9,11,0,0,2
"Jan 12, 2025",BKN @ UTA,L,32,14,6,9,0,2,2
"Jan 10, 2025",BKN @ DEN,L,22,10,4,7,1,0,4
"Jan 01, 2025",BKN @ TOR,L,25,2,2,6,1,0,1
"Dec 29, 2024",BKN @ ORL,L,31,6,7,7,0,0,2
"Dec 26, 2024",BKN @ MIL,W,29,8,4,9,1,0,6
"Dec 23, 2024",BKN @ MIA,L,30,4,2,9,1,0,1
"Dec 21, 2024",BKN vs. UTA,L,29,15,6,10,2,0,6
"Dec 19, 2024",BKN @ TOR,W,32,12,5,7,0,0,5
"Dec 16, 2024",BKN vs. CLE,L,31,10,4,8,2,0,6
"Dec 13, 2024",BKN @ MEM,L,21,2,4,8,0,1,2
"Dec 08, 2024",BKN vs. MIL,L,18,0,3,1,0,0,2
"Dec 04, 2024",BKN vs. IND,W,21,7,7,9,2,3,0
"Dec 01, 2024",BKN vs. ORL,L,12,0,2,5,1,0,1
"Nov 29, 2024",BKN vs. ORL,L,26,4,7,8,0,0,3
"Nov 27, 2024",BKN @ PHX,W,27,14,9,8,1,0,2
"Nov 24, 2024",BKN @ SAC,W,27,4,3,5,1,1,2
"Nov 22, 2024",BKN @ PHI,L,26,2,4,4,0,1,2
"Nov 19, 2024",BKN vs. CHA,W,26,10,9,5,2,1,3
"Nov 17, 2024",BKN @ NYK,L,22,0,4,8,0,1,3
"Nov 15, 2024",BKN @ NYK,L,25,4,7,5,1,0,0
"Nov 11, 2024",BKN @ NOP,W,22,6,5,12,2,0,3
"Nov 08, 2024",BKN @ BOS,L,27,8,6,8,1,0,3
"Nov 03, 2024",BKN vs. DET,L,24,4,6,6,1,0,3
"Nov 01, 2024",BKN vs. CHI,W,26,8,8,11,0,2,3
"Oct 30, 2024",BKN @ MEM,W,25,8,5,3,1,0,2
"Oct 27, 2024",BKN vs. MIL,W,24,2,6,6,1,0,2
"Oct 25, 2024",BKN @ ORL,L,24,7,6,3,1,1,4
"Oct 23, 2024",BKN @ ATL,L,24,6,5,8,0,1,6
