GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",SAS vs. TOR,W,20,8,1,4,2,0,3
"Apr 11, 2025",SAS @ PHX,L,31,7,3,4,0,0,2
"Apr 09, 2025",SAS @ GSW,W,19,4,1,2,0,1,0
"Apr 08, 2025",SAS @ LAC,L,23,8,1,7,1,1,0
"Apr 06, 2025",SAS @ POR,L,10,0,3,1,2,0,1
"Apr 04, 2025",SAS vs. CLE,L,16,2,2,0,2,0,1
"Apr 02, 2025",SAS @ DEN,W,21,15,2,1,0,0,3
"Apr 01, 2025",SAS vs. ORL,L,18,4,4,3,1,0,1
"Mar 30, 2025",SAS vs. GSW,L,27,5,2,2,2,0,2
"Mar 29, 2025",SAS vs. BOS,L,16,3,3,0,0,0,0
"Mar 27, 2025",SAS @ CLE,L,14,3,0,1,0,0,1
"Mar 25, 2025",SAS @ DET,L,23,5,3,0,1,0,1
"Mar 23, 2025",SAS @ TOR,W,26,8,1,4,3,0,2
"Mar 21, 2025",SAS vs. PHI,W,19,10,0,3,1,0,1
"Mar 19, 2025",SAS vs. NYK,W,16,6,2,3,3,0,1
"Mar 17, 2025",SAS @ LAL,L,22,7,3,5,2,1,2
"Mar 15, 2025",SAS vs. NOP,W,10,0,1,1,0,0,1
"Mar 14, 2025",SAS vs. CHA,L,24,10,4,3,2,0,2
"Mar 10, 2025",SAS vs. DAL,L,11,3,0,0,0,0,0
"Mar 09, 2025",SAS @ MIN,L,9,2,1,3,1,0,2
"Mar 07, 2025",SAS @ SAC,L,2,2,0,1,0,0,0
"Mar 04, 2025",SAS vs. BKN,W,2,0,0,0,0,0,0
"Mar 02, 2025",SAS vs. OKC,L,2,0,0,0,0,0,0
"Feb 26, 2025",SAS @ HOU,L,11,5,1,5,0,0,0
"Feb 23, 2025",SAS @ NOP,L,2,0,0,1,0,0,0
"Feb 21, 2025",SAS vs. DET,L,3,3,0,0,0,0,0
"Feb 12, 2025",SAS @ BOS,L,0,0,0,0,0,0,0
"Feb 03, 2025",SAS @ MEM,L,6,4,0,3,0,0,1
"Jan 31, 2025",SAS vs. MIL,W,4,2,0,3,4,0,1
"Jan 25, 2025",SAS vs. IND,L,3,0,0,0,0,0,1
"Jan 23, 2025",SAS @ IND,W,5,0,0,3,1,0,0
"Jan 19, 2025",SAS @ MIA,L,2,2,1,2,0,0,2
"Jan 17, 2025",SAS vs. MEM,L,4,0,0,2,0,0,0
"Jan 13, 2025",SAS @ LAL,W,2,0,1,1,0,0,0
"Jan 08, 2025",SAS @ MIL,L,3,0,2,0,0,0,1
"Dec 31, 2024",SAS vs. LAC,W,9,2,0,4,0,1,0
"Dec 21, 2024",SAS vs. POR,W,3,0,0,1,0,0,0
"Dec 15, 2024",SAS vs. MIN,L,9,4,2,5,0,0,1
"Dec 13, 2024",SAS @ POR,W,25,8,2,8,1,1,1
"Dec 06, 2024",SAS vs. SAC,L,4,0,0,1,0,0,1
"Dec 05, 2024",SAS vs. CHI,L,8,1,0,0,0,0,1
"Nov 27, 2024",SAS vs. LAL,L,6,0,0,0,0,0,1
"Nov 26, 2024",SAS @ UTA,W,22,11,3,4,2,0,2
"Nov 23, 2024",SAS vs. GSW,W,14,7,2,1,1,0,1
"Nov 21, 2024",SAS vs. UTA,W,4,1,2,0,0,0,0
"Nov 16, 2024",SAS @ DAL,L,18,6,1,1,0,0,1
"Nov 15, 2024",SAS vs. LAL,L,8,0,0,1,0,1,0
"Nov 13, 2024",SAS vs. WAS,W,13,10,1,2,1,0,1
"Nov 11, 2024",SAS vs. SAC,W,11,0,1,0,0,0,2
"Nov 09, 2024",SAS vs. UTA,L,19,5,0,2,1,0,2
"Nov 07, 2024",SAS vs. POR,W,21,10,1,8,2,0,2
"Nov 06, 2024",SAS @ HOU,L,16,5,0,2,1,0,1
"Nov 02, 2024",SAS vs. MIN,W,1,0,0,0,0,0,0
"Oct 31, 2024",SAS @ UTA,W,5,0,0,0,0,0,2
"Oct 30, 2024",SAS @ OKC,L,13,5,1,0,0,0,2
"Oct 28, 2024",SAS vs. HOU,L,12,6,2,2,0,0,1
"Oct 26, 2024",SAS vs. HOU,W,6,2,1,2,0,0,0
"Oct 24, 2024",SAS @ DAL,L,9,6,0,2,0,0,0
