GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 11, 2025",PHX vs. SAS,W,28,21,4,6,0,0,0
"Apr 09, 2025",PHX vs. OKC,L,39,25,1,4,1,0,2
"Apr 08, 2025",PHX vs. GSW,L,26,7,2,4,1,0,3
"Apr 06, 2025",PHX @ NYK,L,34,16,2,2,4,2,2
"Apr 04, 2025",PHX @ BOS,L,30,1,4,5,3,1,0
"Mar 16, 2025",PHX @ LAL,L,15,4,2,0,0,0,1
"Mar 14, 2025",PHX vs. SAC,W,26,15,3,2,1,0,1
"Mar 12, 2025",PHX @ HOU,L,33,25,0,3,1,0,2
"Mar 09, 2025",PHX @ DAL,W,29,19,3,6,1,0,0
"Mar 07, 2025",PHX @ DEN,L,41,11,1,9,0,0,0
"Mar 04, 2025",PHX vs. LAC,W,15,0,2,2,1,1,2
"Mar 02, 2025",PHX vs. MIN,L,33,18,4,3,0,0,4
"Feb 25, 2025",PHX @ MEM,L,43,24,5,11,2,1,2
"Feb 23, 2025",PHX @ TOR,L,41,30,4,1,0,0,0
"Feb 22, 2025",PHX @ CHI,W,38,25,6,4,2,0,4
"Feb 20, 2025",PHX @ SAS,L,33,19,9,6,0,0,3
"Feb 05, 2025",PHX @ OKC,L,29,25,3,6,0,0,1
"Feb 03, 2025",PHX @ POR,L,38,25,5,3,3,1,3
"Feb 01, 2025",PHX @ POR,L,24,13,0,3,0,0,2
"Jan 31, 2025",PHX @ GSW,W,28,21,2,2,2,0,5
"Jan 29, 2025",PHX vs. MIN,L,25,17,3,6,1,0,0
"Jan 27, 2025",PHX vs. LAC,W,33,9,2,4,2,0,4
"Jan 25, 2025",PHX vs. WAS,W,39,20,3,4,1,1,0
"Jan 20, 2025",PHX @ CLE,L,25,5,3,4,0,0,2
"Jan 14, 2025",PHX @ ATL,L,28,11,4,3,1,0,1
"Jan 12, 2025",PHX vs. CHA,W,35,15,3,6,0,2,1
"Jan 11, 2025",PHX vs. UTA,W,31,12,2,3,0,0,0
"Jan 09, 2025",PHX vs. ATL,W,33,25,7,2,3,1,3
"Jan 07, 2025",PHX @ CHA,L,31,10,0,5,0,0,1
"Jan 06, 2025",PHX @ PHI,W,30,25,3,5,1,1,0
"Jan 04, 2025",PHX @ IND,L,33,8,3,3,1,1,1
"Dec 31, 2024",PHX vs. MEM,L,12,3,1,2,1,0,1
"Dec 28, 2024",PHX @ GSW,L,40,28,5,2,1,2,0
"Dec 27, 2024",PHX vs. DAL,L,38,11,3,4,2,1,4
"Dec 25, 2024",PHX vs. DEN,W,38,27,2,4,4,1,3
"Dec 23, 2024",PHX @ DEN,L,35,23,0,2,1,0,2
"Dec 21, 2024",PHX vs. DET,L,39,26,6,5,0,0,2
"Dec 19, 2024",PHX vs. IND,L,31,16,2,0,0,1,3
"Dec 08, 2024",PHX @ ORL,L,35,18,4,2,1,2,5
"Dec 07, 2024",PHX @ MIA,L,34,15,5,4,0,0,2
"Dec 05, 2024",PHX @ NOP,L,34,24,4,4,2,0,7
"Dec 03, 2024",PHX vs. SAS,W,31,10,9,4,1,0,3
"Nov 27, 2024",PHX vs. BKN,L,27,17,3,0,0,0,2
"Nov 26, 2024",PHX vs. LAL,W,27,23,2,2,0,1,3
"Nov 12, 2024",PHX @ UTA,W,29,24,3,4,2,1,2
"Nov 10, 2024",PHX vs. SAC,L,38,28,8,2,1,1,1
"Nov 08, 2024",PHX @ DAL,W,36,15,4,3,0,0,1
"Nov 06, 2024",PHX vs. MIA,W,32,7,2,3,2,2,1
"Nov 04, 2024",PHX vs. PHI,W,34,17,5,3,2,0,2
"Nov 02, 2024",PHX vs. POR,W,34,15,7,4,1,1,0
"Oct 28, 2024",PHX vs. LAL,W,35,15,3,4,2,1,1
"Oct 25, 2024",PHX @ LAL,L,35,15,1,9,2,1,2
"Oct 23, 2024",PHX @ LAC,W,38,24,3,1,1,1,2
