GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 19, 2025",MEM @ POR,L,5,0,1,0,0,0,0
"Mar 17, 2025",MEM @ SAC,L,25,15,8,3,1,1,3
"Mar 15, 2025",MEM vs. MIA,W,14,12,2,0,1,0,0
"Mar 14, 2025",MEM vs. CLE,L,19,13,5,1,1,0,1
"Mar 12, 2025",MEM vs. UTA,W,19,8,4,1,3,0,0
"Mar 09, 2025",MEM @ NOP,W,17,2,5,0,1,1,1
"Mar 07, 2025",MEM @ DAL,W,26,17,8,2,0,4,0
"Mar 05, 2025",MEM vs. OKC,L,27,13,11,2,1,0,1
"Mar 03, 2025",MEM vs. ATL,L,21,11,7,1,0,1,0
"Feb 28, 2025",MEM vs. NYK,L,17,11,7,2,0,0,1
"Feb 25, 2025",MEM vs. PHX,W,21,14,5,2,0,1,0
"Feb 23, 2025",MEM @ CLE,L,16,6,2,1,0,1,0
"Feb 21, 2025",MEM @ ORL,W,27,13,11,2,1,0,1
"Feb 20, 2025",MEM @ IND,L,10,4,0,1,1,0,2
"Feb 12, 2025",MEM @ LAC,L,19,4,2,0,0,0,2
"Feb 11, 2025",MEM @ PHX,W,19,14,7,2,1,0,0
"Feb 08, 2025",MEM vs. OKC,L,22,5,7,1,0,1,1
"Feb 05, 2025",MEM @ TOR,W,19,13,5,0,1,1,0
"Feb 02, 2025",MEM @ MIL,W,19,6,4,1,0,0,1
"Jan 30, 2025",MEM vs. HOU,W,31,13,5,0,3,2,0
"Jan 27, 2025",MEM @ NYK,L,17,10,4,1,0,1,1
"Jan 25, 2025",MEM vs. UTA,W,18,6,5,2,1,1,2
"Jan 24, 2025",MEM vs. NOP,W,21,14,9,0,2,0,1
"Jan 22, 2025",MEM vs. CHA,W,22,9,3,3,1,1,1
"Jan 20, 2025",MEM vs. MIN,W,16,7,5,0,2,0,2
"Jan 17, 2025",MEM @ SAS,W,19,12,3,2,1,0,0
"Jan 15, 2025",MEM @ SAS,W,11,5,5,2,1,1,1
"Jan 13, 2025",MEM @ HOU,L,24,6,4,0,1,0,1
"Jan 11, 2025",MEM @ MIN,W,19,10,4,1,0,1,0
"Jan 09, 2025",MEM vs. HOU,L,17,8,4,1,2,0,0
"Jan 06, 2025",MEM vs. DAL,W,15,6,2,1,1,1,1
"Jan 04, 2025",MEM @ GSW,L,26,10,6,0,1,1,0
"Jan 03, 2025",MEM @ SAC,L,23,11,8,0,0,1,1
"Dec 27, 2024",MEM @ NOP,W,19,3,4,0,2,2,1
"Dec 26, 2024",MEM vs. TOR,W,20,11,9,0,0,1,0
"Dec 23, 2024",MEM vs. LAC,L,7,0,2,2,1,0,0
"Dec 21, 2024",MEM @ ATL,W,18,8,3,1,0,0,1
"Dec 19, 2024",MEM vs. GSW,W,24,8,10,2,1,2,1
"Dec 15, 2024",MEM @ LAL,L,13,5,5,1,0,0,1
"Dec 13, 2024",MEM vs. BKN,W,23,14,8,1,0,0,2
"Dec 08, 2024",MEM @ WAS,W,23,12,7,2,2,0,1
"Dec 07, 2024",MEM @ BOS,W,26,18,8,4,2,1,0
"Dec 05, 2024",MEM vs. SAC,W,18,4,3,0,0,2,1
"Dec 03, 2024",MEM @ DAL,L,22,8,6,2,0,0,1
"Dec 01, 2024",MEM vs. IND,W,24,8,4,1,1,1,0
"Nov 29, 2024",MEM vs. NOP,W,22,4,11,2,0,1,1
"Nov 27, 2024",MEM vs. DET,W,19,13,5,2,1,1,0
"Nov 25, 2024",MEM vs. POR,W,25,11,9,0,1,3,1
"Nov 23, 2024",MEM @ CHI,W,24,12,8,2,0,0,0
"Nov 20, 2024",MEM vs. PHI,W,19,6,6,0,0,0,0
"Nov 19, 2024",MEM vs. DEN,L,21,10,4,2,1,0,1
"Nov 17, 2024",MEM vs. DEN,W,22,8,7,0,1,0,0
"Nov 15, 2024",MEM @ GSW,L,13,2,5,0,1,0,1
"Nov 10, 2024",MEM @ POR,W,16,9,6,1,1,0,0
"Nov 08, 2024",MEM vs. WAS,W,18,6,4,0,2,0,0
"Nov 06, 2024",MEM vs. LAL,W,19,6,3,0,0,0,0
"Nov 04, 2024",MEM @ BKN,L,11,2,0,1,2,0,0
"Nov 02, 2024",MEM @ PHI,W,13,4,1,0,1,1,0
"Oct 31, 2024",MEM vs. MIL,W,12,7,2,2,0,0,0
"Oct 30, 2024",MEM vs. BKN,L,20,13,3,1,2,0,0
"Oct 28, 2024",MEM vs. CHI,L,13,4,4,0,0,0,1
"Oct 26, 2024",MEM vs. ORL,W,18,5,5,1,2,0,0
"Oct 25, 2024",MEM @ HOU,L,12,3,3,0,0,0,1
"Oct 23, 2024",MEM @ UTA,W,14,2,3,1,0,0,1
