GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2025",LAC vs. HOU,W,1,0,0,0,0,0,0
"Apr 08, 2025",LAC vs. SAS,W,1,0,0,0,0,0,0
"Apr 05, 2025",LAC vs. DAL,W,7,2,3,1,0,1,0
"Apr 04, 2025",LAC vs. DAL,W,6,3,2,0,2,0,0
"Apr 02, 2025",LAC vs. NOP,W,3,0,0,0,0,0,0
"Mar 16, 2025",LAC vs. CHA,W,7,0,0,2,1,0,0
"Mar 14, 2025",LAC @ ATL,W,2,2,1,1,0,0,0
"Feb 12, 2025",LAC vs. MEM,W,3,5,0,0,0,0,0
"Jan 23, 2025",LAC vs. WAS,W,3,0,1,1,0,0,0
"Jan 22, 2025",LAC vs. BOS,L,6,0,1,1,0,0,1
"Jan 20, 2025",LAC vs. CHI,L,1,0,1,0,0,0,0
"Jan 19, 2025",LAC vs. LAL,W,0,1,0,0,0,0,0
"Dec 04, 2024",LAC vs. MIN,L,18,5,3,0,2,0,1
