GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",HOU vs. DEN,L,17,10,2,1,1,0,2
"Apr 11, 2025",HOU @ LAL,L,37,34,8,1,1,1,4
"Apr 09, 2025",HOU @ LAC,L,32,14,5,2,0,0,1
"Apr 06, 2025",HOU @ GSW,W,1,0,0,0,0,0,1
"Apr 04, 2025",HOU vs. OKC,W,1,0,0,0,0,0,0
"Apr 02, 2025",HOU vs. UTA,W,12,11,3,3,0,0,0
"Mar 30, 2025",HOU @ PHX,W,13,13,2,2,1,0,1
"Mar 14, 2025",HOU vs. DAL,W,7,10,0,1,0,0,0
"Mar 12, 2025",HOU vs. PHX,W,6,0,1,0,1,0,0
"Mar 10, 2025",HOU vs. ORL,W,2,0,1,0,0,0,0
"Mar 08, 2025",HOU vs. NOP,W,8,8,0,2,0,0,0
"Mar 04, 2025",HOU @ IND,L,7,3,1,0,0,0,0
"Mar 03, 2025",HOU @ OKC,L,40,27,11,3,2,3,0
"Feb 26, 2025",HOU vs. SAS,W,5,0,0,0,0,0,1
"Feb 22, 2025",HOU @ UTA,L,10,1,1,2,0,0,1
"Feb 13, 2025",HOU vs. GSW,L,10,6,1,1,1,0,0
"Feb 12, 2025",HOU vs. PHX,W,22,4,2,3,0,0,0
"Feb 09, 2025",HOU vs. TOR,W,25,11,6,1,3,0,1
"Feb 08, 2025",HOU @ DAL,L,20,7,4,1,0,0,0
"Feb 06, 2025",HOU @ MIN,L,28,16,3,0,0,0,0
"Feb 04, 2025",HOU @ BKN,L,24,12,3,1,0,1,1
"Feb 03, 2025",HOU @ NYK,L,23,18,5,1,2,1,1
"Feb 01, 2025",HOU vs. BKN,L,14,4,2,0,2,0,5
"Jan 30, 2025",HOU @ MEM,L,17,5,2,2,1,0,1
"Jan 28, 2025",HOU @ ATL,W,20,2,6,1,1,0,3
"Jan 25, 2025",HOU @ CLE,W,10,2,1,1,0,0,1
"Jan 22, 2025",HOU vs. CLE,W,21,16,2,1,0,2,2
"Jan 20, 2025",HOU vs. DET,L,20,10,6,2,1,0,3
"Jan 18, 2025",HOU @ POR,W,27,12,10,3,1,0,1
"Jan 16, 2025",HOU @ SAC,L,23,9,3,3,0,1,2
"Jan 15, 2025",HOU @ DEN,W,24,16,9,1,1,1,1
"Jan 13, 2025",HOU vs. MEM,W,21,16,1,1,1,0,1
"Jan 09, 2025",HOU @ MEM,W,15,9,2,0,3,0,1
"Jan 07, 2025",HOU @ WAS,W,18,17,1,0,1,0,0
"Jan 05, 2025",HOU vs. LAL,W,16,8,4,0,0,1,0
"Jan 03, 2025",HOU vs. BOS,L,34,11,6,1,1,0,1
"Jan 01, 2025",HOU vs. DAL,W,24,18,3,1,1,0,2
"Dec 29, 2024",HOU vs. MIA,L,12,7,3,0,0,0,0
"Dec 27, 2024",HOU vs. MIN,L,12,4,3,1,0,0,0
"Dec 26, 2024",HOU @ NOP,W,27,27,4,1,1,0,0
"Dec 23, 2024",HOU @ CHA,W,27,17,8,0,2,1,4
"Dec 22, 2024",HOU @ TOR,W,14,11,4,1,1,0,1
"Dec 19, 2024",HOU vs. NOP,W,3,4,1,0,0,0,0
"Nov 20, 2024",HOU vs. IND,W,5,4,0,1,0,0,0
"Nov 06, 2024",HOU vs. SAS,W,7,4,1,1,1,0,0
"Nov 02, 2024",HOU vs. GSW,L,5,4,2,1,0,0,1
"Oct 31, 2024",HOU @ DAL,W,8,6,1,1,0,0,1
"Oct 28, 2024",HOU @ SAS,W,12,4,1,0,0,0,0
"Oct 26, 2024",HOU @ SAS,L,21,10,3,0,0,1,0
"Oct 25, 2024",HOU vs. MEM,W,14,11,3,0,0,0,1
"Oct 23, 2024",HOU vs. CHA,L,8,4,0,0,0,0,0
