GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 11, 2025",ATL @ PHI,W,30,31,4,4,1,1,0
"Apr 10, 2025",ATL @ BKN,W,20,4,3,5,1,0,1
"Apr 08, 2025",ATL @ ORL,L,30,13,6,0,0,0,2
"Apr 06, 2025",ATL vs. UTA,W,28,21,5,6,1,0,2
"Apr 05, 2025",ATL vs. NYK,L,20,14,4,3,3,1,0
"Apr 02, 2025",ATL @ DAL,L,24,14,4,5,0,0,2
"Apr 01, 2025",ATL vs. POR,L,26,10,2,0,1,1,3
"Mar 30, 2025",ATL @ MIL,W,23,9,3,1,0,2,0
"Mar 27, 2025",ATL @ MIA,L,28,17,5,3,1,0,1
"Mar 25, 2025",ATL @ HOU,L,20,5,1,0,1,0,0
"Mar 23, 2025",ATL vs. PHI,W,28,7,3,7,1,1,1
"Mar 22, 2025",ATL vs. GSW,W,24,14,2,6,0,0,1
"Mar 14, 2025",ATL vs. LAC,L,21,12,4,2,2,1,0
"Mar 12, 2025",ATL vs. CHA,W,26,15,4,2,1,0,2
"Mar 08, 2025",ATL vs. IND,W,33,26,3,1,0,2,1
"Mar 06, 2025",ATL vs. IND,W,27,8,2,4,0,1,0
"Mar 04, 2025",ATL vs. MIL,L,29,21,3,4,1,0,0
"Mar 03, 2025",ATL @ MEM,W,32,25,3,5,3,1,2
"Feb 28, 2025",ATL vs. OKC,L,27,23,3,3,2,0,3
"Feb 26, 2025",ATL @ MIA,L,32,17,2,2,2,0,1
"Feb 24, 2025",ATL vs. MIA,W,28,15,4,2,1,0,1
"Feb 23, 2025",ATL vs. DET,L,23,7,1,1,0,0,0
"Feb 20, 2025",ATL vs. ORL,L,28,13,4,0,2,0,0
"Feb 12, 2025",ATL @ NYK,L,35,20,10,7,0,3,1
"Feb 10, 2025",ATL @ ORL,W,32,18,8,2,0,0,0
"Feb 08, 2025",ATL @ WAS,W,15,9,3,0,0,0,1
"Feb 05, 2025",CLE @ DET,W,21,0,2,0,1,0,2
"Feb 04, 2025",CLE vs. BOS,L,17,0,3,3,0,0,2
"Feb 02, 2025",CLE vs. DAL,W,23,10,0,5,1,0,0
"Jan 18, 2025",CLE @ MIN,W,25,2,4,3,0,0,1
"Jan 16, 2025",CLE @ OKC,L,20,9,3,3,0,1,3
"Jan 14, 2025",CLE @ IND,W,27,7,5,7,2,2,3
"Jan 12, 2025",CLE vs. IND,L,22,2,4,2,0,1,1
"Jan 09, 2025",CLE vs. TOR,W,36,18,3,5,0,1,1
"Jan 08, 2025",CLE vs. OKC,W,20,8,2,2,0,0,0
"Jan 05, 2025",CLE vs. CHA,W,25,2,5,6,1,0,2
"Jan 03, 2025",CLE @ DAL,W,25,17,4,2,2,1,0
"Dec 31, 2024",CLE @ LAL,W,23,3,1,2,1,1,1
"Dec 30, 2024",CLE @ GSW,W,21,9,1,1,2,0,2
"Dec 27, 2024",CLE @ DEN,W,23,13,3,3,0,1,0
"Dec 23, 2024",CLE vs. UTA,W,24,11,3,1,0,0,0
"Dec 21, 2024",CLE vs. PHI,W,22,12,1,3,2,0,3
"Dec 20, 2024",CLE vs. MIL,W,18,7,2,4,1,0,2
"Dec 16, 2024",CLE @ BKN,W,19,19,1,4,2,2,1
"Dec 13, 2024",CLE vs. WAS,W,28,14,5,6,1,1,2
"Dec 08, 2024",CLE @ MIA,L,29,13,2,4,0,0,0
"Dec 07, 2024",CLE @ CHA,W,24,7,3,4,1,1,2
"Dec 05, 2024",CLE vs. DEN,W,27,21,3,6,1,0,1
"Dec 03, 2024",CLE vs. WAS,W,24,10,2,3,1,0,2
"Dec 01, 2024",CLE vs. BOS,W,23,13,6,1,1,0,5
"Nov 29, 2024",CLE @ ATL,L,20,8,1,2,0,0,1
"Nov 17, 2024",CLE vs. CHA,W,32,4,4,2,0,0,2
"Nov 15, 2024",CLE vs. CHI,W,26,22,3,8,0,0,2
"Nov 13, 2024",CLE @ PHI,W,25,7,3,3,1,1,1
"Nov 11, 2024",CLE @ CHI,W,24,12,2,3,1,0,1
"Nov 09, 2024",CLE vs. BKN,W,31,12,2,6,1,2,1
"Nov 08, 2024",CLE vs. GSW,W,21,8,7,4,3,1,1
"Nov 06, 2024",CLE @ NOP,W,28,16,6,6,1,0,1
"Nov 01, 2024",CLE vs. ORL,W,22,13,3,7,0,0,2
"Oct 30, 2024",CLE vs. LAL,W,22,16,0,6,1,0,1
"Oct 28, 2024",CLE @ NYK,W,26,5,4,3,2,0,2
"Oct 26, 2024",CLE @ WAS,W,19,10,0,4,0,2,0
"Oct 25, 2024",CLE vs. DET,W,20,9,3,2,3,1,0
"Oct 23, 2024",CLE @ TOR,W,21,19,1,4,0,0,0
