GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2025",OKC vs. LAL,W,27,11,2,1,2,0,0
"Apr 06, 2025",OKC vs. LAL,L,28,8,1,0,1,0,2
"Apr 04, 2025",OKC @ HOU,L,27,2,2,2,1,0,1
"Apr 02, 2025",OKC vs. DET,W,32,13,5,4,3,0,1
"Mar 31, 2025",OKC vs. CHI,W,27,10,3,8,3,1,0
"Mar 29, 2025",OKC vs. IND,W,30,14,2,3,2,1,1
"Mar 27, 2025",OKC vs. MEM,W,28,10,3,2,1,0,2
"Mar 23, 2025",OKC @ LAC,W,30,8,4,2,2,1,1
"Mar 21, 2025",OKC vs. CHA,W,26,11,3,5,2,1,1
"Mar 16, 2025",OKC @ MIL,W,27,9,4,1,1,0,1
"Mar 15, 2025",OKC @ DET,W,36,20,5,0,3,0,3
"Mar 12, 2025",OKC @ BOS,W,30,14,4,3,2,1,3
"Mar 10, 2025",OKC vs. DEN,L,29,12,3,8,3,1,1
"Mar 09, 2025",OKC vs. DEN,W,17,5,0,1,0,3,0
"Mar 05, 2025",OKC @ MEM,W,19,4,4,1,1,0,1
"Mar 03, 2025",OKC vs. HOU,W,32,14,5,4,3,0,1
"Mar 02, 2025",OKC @ SAS,W,35,19,3,4,1,0,1
"Feb 28, 2025",OKC @ ATL,W,28,8,3,4,2,0,1
"Feb 26, 2025",OKC @ BKN,W,30,13,3,2,3,0,3
"Feb 24, 2025",OKC vs. MIN,L,34,12,6,1,1,0,0
"Feb 23, 2025",OKC @ MIN,W,22,6,2,2,0,0,1
"Feb 21, 2025",OKC @ UTA,W,22,10,3,5,2,0,0
"Feb 01, 2025",OKC vs. SAC,W,9,2,0,0,2,0,0
"Jan 29, 2025",OKC @ GSW,L,26,2,3,2,3,1,2
"Jan 26, 2025",OKC @ POR,W,30,5,2,3,1,0,2
"Jan 23, 2025",OKC vs. DAL,L,26,7,7,1,2,0,2
"Jan 22, 2025",OKC vs. UTA,W,36,13,4,1,3,0,1
"Jan 19, 2025",OKC vs. BKN,W,26,9,6,3,1,1,0
"Jan 17, 2025",OKC @ DAL,L,37,10,6,5,4,0,3
"Jan 16, 2025",OKC vs. CLE,W,27,6,6,2,0,0,1
"Jan 14, 2025",OKC @ PHI,W,34,18,5,4,1,0,1
"Jan 12, 2025",OKC @ WAS,W,30,14,2,5,2,0,0
"Jan 10, 2025",OKC @ NYK,W,30,6,2,1,2,1,0
"Jan 08, 2025",OKC @ CLE,L,31,15,2,3,0,0,0
"Jan 05, 2025",OKC vs. BOS,W,35,13,3,2,2,0,0
"Jan 03, 2025",OKC vs. NYK,W,33,5,4,3,2,0,4
"Jan 02, 2025",OKC vs. LAC,W,17,9,2,1,2,0,0
"Dec 31, 2024",OKC vs. MIN,W,32,5,2,7,4,0,0
"Dec 29, 2024",OKC vs. MEM,W,31,5,1,3,2,0,1
"Dec 26, 2024",OKC @ IND,W,30,2,2,1,2,1,0
"Dec 23, 2024",OKC vs. WAS,W,28,9,4,4,2,1,0
"Dec 20, 2024",OKC @ MIA,W,23,2,2,4,0,2,1
"Dec 19, 2024",OKC @ ORL,W,21,5,1,0,0,1,0
"Dec 14, 2024",OKC vs. HOU,W,32,5,6,2,1,1,2
"Dec 10, 2024",OKC vs. DAL,W,31,11,8,4,2,1,1
"Dec 07, 2024",OKC @ NOP,W,27,5,7,2,3,0,4
"Dec 05, 2024",OKC @ TOR,W,23,9,1,2,3,3,2
"Dec 03, 2024",OKC vs. UTA,W,29,12,0,4,3,0,0
"Dec 01, 2024",OKC @ HOU,L,36,14,9,2,0,0,0
"Nov 29, 2024",OKC @ LAL,W,31,2,5,2,2,1,0
"Nov 27, 2024",OKC @ GSW,W,33,9,4,6,2,3,0
"Nov 25, 2024",OKC @ SAC,W,15,4,1,0,1,1,0
"Nov 20, 2024",OKC vs. POR,W,26,0,4,2,3,0,0
"Nov 19, 2024",OKC @ SAS,L,34,13,3,7,0,1,0
"Nov 17, 2024",OKC vs. DAL,L,25,4,2,1,2,0,0
"Nov 15, 2024",OKC vs. PHX,W,27,5,4,3,1,2,0
"Nov 13, 2024",OKC vs. NOP,W,28,5,4,1,5,0,0
"Nov 11, 2024",OKC vs. LAC,W,20,0,2,4,2,0,1
"Nov 10, 2024",OKC vs. GSW,L,30,16,2,0,0,0,0
"Nov 08, 2024",OKC vs. HOU,W,23,4,5,1,1,1,0
"Nov 06, 2024",OKC @ DEN,L,20,4,2,2,2,0,1
"Nov 04, 2024",OKC vs. ORL,W,27,4,4,1,0,1,1
"Nov 02, 2024",OKC @ LAC,W,25,7,4,1,0,1,0
"Nov 01, 2024",OKC @ POR,W,23,13,1,3,1,1,1
"Oct 30, 2024",OKC vs. SAS,W,29,9,1,2,2,1,1
"Oct 27, 2024",OKC vs. ATL,W,23,5,4,1,3,0,2
"Oct 26, 2024",OKC @ CHI,W,29,9,6,2,3,0,0
"Oct 24, 2024",OKC @ DEN,W,23,4,4,0,2,0,0
