GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 04, 2025",SAS vs. CLE,L,3,0,0,0,0,0,0
"Mar 30, 2025",SAS vs. GSW,L,10,0,1,0,0,1,0
"Feb 23, 2025",SAS @ NOP,L,6,4,3,1,2,0,0
"Feb 21, 2025",SAS vs. DET,L,11,6,2,2,0,0,1
"Feb 03, 2025",SAS @ MEM,L,7,4,2,1,0,0,0
"Feb 01, 2025",SAS vs. MIA,L,27,9,15,1,0,1,1
"Jan 25, 2025",SAS vs. IND,L,3,0,1,0,0,0,0
"Jan 19, 2025",SAS @ MIA,L,9,2,4,0,2,0,1
"Jan 17, 2025",SAS vs. MEM,L,17,12,9,0,0,2,1
"Jan 15, 2025",SAS vs. MEM,L,11,5,5,0,1,2,0
"Jan 13, 2025",SAS @ LAL,W,12,4,9,1,1,1,2
"Jan 08, 2025",SAS @ MIL,L,13,4,2,0,1,1,0
"Jan 06, 2025",SAS @ CHI,L,13,2,5,0,0,0,1
"Jan 04, 2025",SAS vs. DEN,L,4,0,1,0,0,0,0
"Dec 31, 2024",SAS vs. LAC,W,6,2,3,2,0,0,1
"Dec 29, 2024",SAS @ MIN,L,5,4,2,0,0,0,0
"Dec 23, 2024",SAS @ PHI,L,7,0,3,0,0,1,1
"Dec 21, 2024",SAS vs. POR,W,18,16,12,0,1,0,1
"Dec 19, 2024",SAS vs. ATL,W,8,4,4,0,0,1,1
"Dec 15, 2024",SAS vs. MIN,L,15,8,7,1,0,0,2
"Dec 13, 2024",SAS @ POR,W,14,8,4,0,0,1,0
"Dec 08, 2024",SAS vs. NOP,W,18,16,12,0,0,4,1
"Dec 06, 2024",SAS vs. SAC,L,26,7,7,0,0,3,2
"Dec 05, 2024",SAS vs. CHI,L,13,5,3,3,1,0,1
"Dec 01, 2024",SAS @ SAC,W,6,0,2,1,0,0,1
"Nov 27, 2024",SAS vs. LAL,L,4,2,2,0,0,0,0
"Nov 26, 2024",SAS @ UTA,W,5,2,2,0,0,0,0
"Nov 21, 2024",SAS vs. UTA,W,27,11,9,1,1,6,1
"Nov 19, 2024",SAS vs. OKC,W,21,12,8,0,1,2,1
"Nov 16, 2024",SAS @ DAL,L,22,0,6,2,1,3,1
"Nov 11, 2024",SAS vs. SAC,W,1,2,0,0,1,0,0
"Nov 07, 2024",SAS vs. POR,W,0,0,0,0,0,0,0
"Nov 06, 2024",SAS @ HOU,L,8,6,6,0,0,0,2
"Nov 02, 2024",SAS vs. MIN,W,1,0,0,0,0,0,0
"Oct 31, 2024",SAS @ UTA,W,0,0,0,0,0,0,0
"Oct 24, 2024",SAS @ DAL,L,6,0,1,1,1,1,0
