GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",DEN @ HOU,W,31,11,7,6,0,0,1
"Apr 11, 2025",DEN vs. MEM,W,34,12,2,5,1,0,0
"Apr 09, 2025",DEN @ SAC,W,37,25,4,2,0,1,0
"Apr 06, 2025",DEN vs. IND,L,39,30,8,4,0,0,0
"Apr 04, 2025",DEN @ GSW,L,38,16,7,4,2,0,4
"Apr 01, 2025",DEN vs. MIN,L,53,18,12,4,3,0,2
"Mar 28, 2025",DEN vs. UTA,W,28,16,4,2,1,0,1
"Mar 26, 2025",DEN vs. MIL,W,38,19,10,6,2,0,0
"Mar 24, 2025",DEN vs. CHI,L,39,18,5,3,1,1,2
"Mar 23, 2025",DEN @ HOU,W,34,11,4,2,0,0,1
"Mar 21, 2025",DEN @ POR,L,33,15,5,2,0,0,3
"Mar 19, 2025",DEN @ LAL,L,28,10,4,3,0,0,2
"Mar 15, 2025",DEN vs. WAS,L,35,9,3,4,3,0,3
"Mar 14, 2025",DEN vs. LAL,W,35,22,5,6,1,0,1
"Mar 12, 2025",DEN vs. MIN,L,33,6,4,0,0,0,0
"Mar 10, 2025",DEN @ OKC,W,36,14,5,5,0,1,1
"Mar 09, 2025",DEN @ OKC,L,32,19,3,2,1,0,1
"Mar 07, 2025",DEN vs. PHX,W,38,25,5,5,0,1,1
"Mar 05, 2025",DEN vs. SAC,W,38,15,2,7,1,1,2
"Mar 02, 2025",DEN @ BOS,L,47,24,6,3,4,1,1
"Feb 28, 2025",DEN @ DET,W,35,23,6,2,0,1,0
"Feb 27, 2025",DEN @ MIL,L,31,13,10,3,2,0,0
"Feb 24, 2025",DEN @ IND,W,37,17,8,1,1,0,2
"Feb 22, 2025",DEN vs. LAL,L,29,10,3,3,1,0,0
"Feb 20, 2025",DEN vs. CHA,W,33,10,2,2,1,0,1
"Feb 12, 2025",DEN vs. POR,W,45,21,10,6,2,1,0
"Feb 10, 2025",DEN vs. POR,W,37,26,6,2,0,1,1
"Feb 08, 2025",DEN @ PHX,W,38,18,7,6,0,1,0
"Feb 06, 2025",DEN vs. ORL,W,36,16,8,4,3,0,1
"Feb 05, 2025",DEN vs. NOP,W,29,23,9,3,3,1,1
"Feb 03, 2025",DEN vs. NOP,W,41,11,6,4,1,0,0
"Feb 01, 2025",DEN @ CHA,W,38,24,11,2,2,0,0
"Jan 31, 2025",DEN @ PHI,W,31,15,5,2,1,0,3
"Jan 29, 2025",DEN @ NYK,L,29,13,5,1,0,0,1
"Jan 27, 2025",DEN @ CHI,L,33,28,5,4,2,1,2
