GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",ORL @ ATL,L,13,2,0,3,1,0,0
"Apr 11, 2025",ORL @ IND,W,20,7,2,4,0,3,3
"Apr 09, 2025",ORL vs. BOS,W,22,18,8,3,0,0,1
"Apr 08, 2025",ORL vs. ATL,W,10,1,2,2,0,0,0
"Apr 03, 2025",ORL @ WAS,W,14,8,1,0,0,1,0
"Apr 01, 2025",ORL @ SAS,W,19,9,5,4,2,1,0
"Mar 16, 2025",ORL @ CLE,W,6,2,1,0,0,0,1
"Mar 10, 2025",ORL @ HOU,L,31,9,4,3,0,0,2
"Mar 08, 2025",ORL @ MIL,W,31,22,4,9,1,3,2
"Mar 06, 2025",ORL vs. CHI,L,24,20,4,3,1,1,2
"Mar 02, 2025",ORL vs. TOR,L,23,7,1,1,1,1,3
"Feb 27, 2025",ORL vs. GSW,L,26,11,7,4,0,3,2
"Feb 25, 2025",ORL vs. CLE,L,21,6,5,4,0,0,0
"Feb 23, 2025",ORL vs. WAS,W,21,5,1,1,0,0,0
"Feb 21, 2025",ORL vs. MEM,L,34,17,9,7,2,1,3
"Feb 20, 2025",ORL @ ATL,W,32,17,5,3,3,1,2
"Feb 12, 2025",ORL vs. CHA,W,22,13,6,1,0,0,1
"Feb 10, 2025",ORL vs. ATL,L,18,7,1,4,2,1,4
"Feb 08, 2025",ORL vs. SAS,W,21,13,0,2,2,0,1
"Feb 06, 2025",ORL @ DEN,L,22,5,2,3,1,0,3
"Feb 05, 2025",ORL @ SAC,W,23,14,2,3,0,1,0
"Feb 03, 2025",ORL @ GSW,L,28,26,5,3,2,1,2
"Feb 01, 2025",ORL @ UTA,L,27,23,7,4,1,1,1
"Jan 30, 2025",ORL @ POR,L,24,16,1,2,1,1,2
"Jan 27, 2025",ORL @ MIA,L,18,0,2,7,1,1,0
"Jan 25, 2025",ORL vs. DET,W,19,7,3,0,0,0,4
"Jan 19, 2025",ORL vs. DEN,L,29,9,6,5,2,0,0
"Jan 17, 2025",ORL @ BOS,L,31,23,7,0,1,0,2
"Jan 15, 2025",ORL @ MIL,L,27,11,4,9,0,0,2
"Jan 12, 2025",ORL vs. PHI,W,38,27,3,4,2,0,2
"Jan 10, 2025",ORL vs. MIL,L,35,18,7,2,2,1,2
"Jan 09, 2025",ORL vs. MIN,L,27,12,3,5,2,2,4
"Jan 06, 2025",ORL @ NYK,W,37,24,7,4,1,0,2
"Jan 05, 2025",ORL vs. UTA,L,28,12,4,0,0,3,1
"Jan 03, 2025",ORL @ TOR,W,34,9,4,11,1,0,3
"Jan 01, 2025",ORL @ DET,L,13,8,2,1,2,0,1
"Dec 29, 2024",ORL vs. BKN,W,17,10,3,3,0,0,0
"Dec 27, 2024",ORL vs. NYK,L,6,5,1,0,0,0,2
"Dec 26, 2024",ORL vs. MIA,L,12,0,3,2,0,0,4
"Dec 23, 2024",ORL vs. BOS,W,17,10,2,5,0,0,5
"Dec 21, 2024",ORL vs. MIA,W,28,35,8,9,1,1,2
"Dec 19, 2024",ORL vs. OKC,L,13,3,3,2,0,0,4
"Dec 15, 2024",ORL vs. NYK,L,9,4,2,5,0,1,0
"Dec 10, 2024",ORL @ MIL,L,15,4,0,2,0,0,0
"Dec 08, 2024",ORL vs. PHX,W,29,14,2,3,1,2,3
"Dec 06, 2024",ORL @ PHI,L,14,6,1,4,0,0,2
"Dec 03, 2024",ORL @ NYK,L,13,10,3,3,0,0,2
"Dec 01, 2024",ORL @ BKN,W,5,3,2,1,0,0,1
"Nov 29, 2024",ORL @ BKN,W,3,3,0,1,1,0,0
"Nov 27, 2024",ORL vs. CHI,W,11,9,1,1,0,0,1
"Nov 25, 2024",ORL @ CHA,W,27,16,8,4,0,0,1
"Nov 23, 2024",ORL vs. DET,W,10,4,2,1,0,0,1
"Nov 21, 2024",ORL @ LAL,W,4,2,0,0,0,0,1
"Nov 20, 2024",ORL @ LAC,L,3,3,0,1,0,0,1
"Nov 18, 2024",ORL @ PHX,W,3,0,0,1,0,0,0
"Nov 15, 2024",ORL vs. PHI,W,4,0,0,0,0,0,1
"Nov 13, 2024",ORL vs. IND,W,5,2,2,1,0,0,0
"Nov 12, 2024",ORL vs. CHA,W,10,6,3,2,1,0,1
"Nov 10, 2024",ORL vs. WAS,W,15,16,2,0,0,0,2
"Nov 08, 2024",ORL vs. NOP,W,12,8,6,2,1,0,1
"Nov 04, 2024",ORL @ OKC,L,3,0,2,1,1,0,0
"Nov 03, 2024",ORL @ DAL,L,14,9,3,3,1,0,1
"Nov 01, 2024",ORL @ CLE,L,8,2,1,2,0,0,1
"Oct 28, 2024",ORL vs. IND,W,11,0,5,1,0,1,3
"Oct 26, 2024",ORL @ MEM,L,8,4,0,2,1,0,2
"Oct 25, 2024",ORL vs. BKN,W,20,4,1,2,3,0,1
"Oct 23, 2024",ORL @ MIA,W,17,0,3,6,0,0,2
