GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",LAL @ POR,L,37,27,8,0,0,2,2
"Apr 11, 2025",LAL vs. HOU,W,4,5,1,0,0,0,0
"Apr 09, 2025",LAL @ DAL,W,2,2,0,0,0,0,0
"Apr 08, 2025",LAL @ OKC,L,14,3,3,0,0,0,0
"Apr 06, 2025",LAL @ OKC,W,5,3,0,0,0,0,0
"Apr 04, 2025",LAL vs. NOP,W,20,12,1,0,0,0,1
"Mar 31, 2025",LAL vs. HOU,W,4,0,0,0,0,0,0
"Mar 29, 2025",LAL @ MEM,W,5,2,1,2,0,0,0
"Mar 27, 2025",LAL @ CHI,L,12,0,3,1,0,0,0
"Mar 26, 2025",LAL @ IND,W,5,3,1,0,0,0,0
"Mar 24, 2025",LAL @ ORL,L,5,3,0,0,0,0,0
"Mar 22, 2025",LAL vs. CHI,L,7,6,1,1,1,0,0
"Mar 20, 2025",LAL vs. MIL,L,31,17,4,3,1,0,3
"Mar 19, 2025",LAL vs. DEN,W,25,12,3,1,0,0,0
"Mar 17, 2025",LAL vs. SAS,W,20,13,3,3,0,1,0
"Mar 16, 2025",LAL vs. PHX,W,16,3,2,0,0,0,1
"Mar 14, 2025",LAL @ DEN,L,37,32,2,1,0,0,0
"Mar 13, 2025",LAL @ MIL,L,22,10,5,3,0,0,1
"Mar 10, 2025",LAL @ BKN,L,41,19,4,1,0,0,1
"Mar 08, 2025",LAL @ BOS,L,24,9,5,1,0,1,0
"Mar 06, 2025",LAL vs. NYK,W,21,11,4,1,0,0,1
"Mar 04, 2025",LAL vs. NOP,W,26,13,4,3,0,0,0
"Mar 02, 2025",LAL vs. LAC,W,25,19,4,0,2,0,0
"Feb 28, 2025",LAL vs. LAC,W,18,8,1,1,1,0,1
"Feb 27, 2025",LAL vs. MIN,W,11,0,1,0,0,0,0
"Feb 25, 2025",LAL vs. DAL,W,10,5,0,0,0,0,0
"Feb 22, 2025",LAL @ DEN,W,9,4,1,0,1,1,1
"Feb 20, 2025",LAL @ POR,W,13,0,2,2,0,0,0
"Feb 19, 2025",LAL vs. CHA,L,13,3,5,0,1,0,1
"Feb 12, 2025",LAL @ UTA,L,17,10,0,0,1,0,0
"Feb 04, 2025",LAL @ LAC,W,21,14,4,1,0,0,0
"Feb 01, 2025",LAL @ NYK,W,10,2,0,0,0,0,1
"Jan 30, 2025",LAL @ WAS,W,22,10,1,0,0,0,1
"Jan 28, 2025",LAL @ PHI,L,23,24,5,0,0,0,1
"Jan 27, 2025",LAL @ CHA,W,21,2,2,0,1,0,0
"Jan 25, 2025",LAL @ GSW,W,23,13,1,1,0,0,1
"Jan 23, 2025",LAL vs. BOS,W,14,13,4,0,0,0,0
"Jan 21, 2025",LAL vs. WAS,W,8,3,2,0,0,0,0
"Jan 19, 2025",LAL @ LAC,L,16,10,4,1,0,0,0
"Jan 17, 2025",LAL vs. BKN,W,18,2,1,1,0,0,0
"Jan 15, 2025",LAL vs. MIA,W,14,2,2,1,0,0,0
"Jan 13, 2025",LAL vs. SAS,L,14,5,3,1,1,0,0
"Jan 07, 2025",LAL @ DAL,L,16,13,0,0,0,1,1
"Jan 05, 2025",LAL @ HOU,L,17,0,1,0,0,0,0
