GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",CHA @ BOS,L,26,6,7,6,1,1,4
"Apr 11, 2025",CHA @ BOS,L,19,5,4,3,0,0,0
"Apr 09, 2025",CHA @ TOR,L,21,5,3,1,0,0,4
"Apr 02, 2025",CHA @ IND,L,17,2,2,3,0,0,2
"Mar 18, 2025",CHA vs. ATL,L,33,11,9,5,1,0,3
"Mar 08, 2025",CHA vs. BKN,W,29,14,2,4,0,0,2
"Mar 07, 2025",CHA vs. CLE,L,26,6,1,4,0,0,2
"Mar 05, 2025",CHA vs. MIN,L,15,4,1,2,1,0,0
"Mar 03, 2025",CHA vs. GSW,L,28,6,2,6,0,0,1
"Mar 01, 2025",CHA vs. WAS,L,20,5,5,2,3,1,0
"Feb 27, 2025",CHA @ DAL,L,22,2,2,2,0,0,3
"Feb 25, 2025",CHA @ GSW,L,29,9,5,5,2,0,5
"Feb 24, 2025",CHA @ SAC,L,26,4,2,4,4,0,1
"Feb 20, 2025",CHA @ DEN,L,32,14,0,6,2,0,2
"Feb 12, 2025",CHA @ ORL,L,27,16,5,3,1,0,2
