GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",BKN vs. NYK,L,10,3,1,0,0,0,0
"Apr 11, 2025",BKN @ MIN,L,21,6,2,1,0,0,0
"Apr 10, 2025",BKN vs. ATL,L,10,0,2,0,0,0,1
"Apr 08, 2025",BKN vs. NOP,W,25,14,2,2,2,0,1
"Apr 06, 2025",BKN vs. TOR,L,28,13,4,3,0,0,5
"Apr 03, 2025",BKN vs. MIN,L,26,17,3,1,0,0,0
"Mar 31, 2025",BKN @ DAL,W,16,8,2,2,0,0,1
"Mar 29, 2025",BKN @ WAS,W,17,0,4,1,0,0,0
"Mar 28, 2025",BKN vs. LAC,L,10,5,1,0,0,0,0
"Mar 26, 2025",BKN vs. TOR,L,25,9,2,1,1,0,1
"Mar 04, 2025",BKN @ SAS,L,2,3,0,0,0,0,0
"Feb 12, 2025",BKN vs. PHI,W,0,0,1,0,0,0,3
"Jan 22, 2025",BKN vs. PHX,L,15,12,2,0,0,0,0
"Jan 15, 2025",BKN @ LAC,L,9,3,0,0,0,0,0
"Jan 14, 2025",BKN @ POR,W,1,0,0,0,0,0,0
"Jan 06, 2025",BKN vs. IND,L,3,3,0,0,0,0,0
"Dec 23, 2024",BKN @ MIA,L,2,0,0,0,1,0,0
"Dec 02, 2024",BKN @ CHI,L,24,18,2,1,2,1,1
"Dec 01, 2024",BKN vs. ORL,L,0,0,0,0,0,0,0
"Oct 27, 2024",BKN vs. MIL,W,2,0,1,0,0,0,2
