GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 10, 2025",POR @ DEN,L,19,10,0,0,0,1,2
"Feb 08, 2025",POR @ MIN,L,32,6,14,2,0,1,4
"Feb 06, 2025",POR vs. SAC,W,31,18,8,4,0,2,1
"Feb 04, 2025",POR vs. IND,W,22,8,9,2,2,1,2
"Feb 03, 2025",POR vs. PHX,W,42,25,20,2,1,1,0
"Feb 01, 2025",POR vs. PHX,W,33,24,7,2,0,1,2
"Jan 30, 2025",POR vs. ORL,W,35,22,8,3,3,0,2
"Jan 28, 2025",POR vs. MIL,W,34,21,14,2,1,1,2
"Jan 21, 2025",POR @ MIA,W,34,22,15,2,1,0,1
"Jan 19, 2025",POR vs. CHI,W,37,15,13,2,0,2,0
"Jan 16, 2025",POR vs. LAC,L,24,14,7,1,0,0,1
"Jan 14, 2025",POR vs. BKN,L,24,2,8,0,0,0,1
"Jan 09, 2025",POR @ DAL,L,21,6,6,1,1,2,3
"Jan 08, 2025",POR @ NOP,W,27,11,13,3,0,1,1
"Jan 06, 2025",POR @ DET,L,35,18,11,4,0,1,1
"Jan 04, 2025",POR @ MIL,W,34,10,13,0,1,1,2
"Jan 02, 2025",POR @ LAL,L,21,6,6,1,0,0,3
"Dec 30, 2024",POR vs. PHI,L,30,12,6,3,0,2,3
"Dec 28, 2024",POR vs. DAL,W,36,21,16,1,2,3,4
"Dec 26, 2024",POR vs. UTA,W,34,18,12,2,1,2,1
"Dec 23, 2024",POR @ DAL,L,26,16,9,0,2,0,1
"Dec 21, 2024",POR @ SAS,L,29,14,8,2,0,0,0
"Dec 19, 2024",POR vs. DEN,W,35,15,13,4,1,4,1
"Dec 08, 2024",POR @ LAL,L,35,14,19,1,1,1,2
"Dec 06, 2024",POR vs. UTA,L,17,6,4,0,1,2,2
"Dec 03, 2024",POR @ LAC,L,33,16,3,2,0,1,1
"Dec 01, 2024",POR vs. DAL,L,32,18,7,3,1,0,5
"Nov 29, 2024",POR vs. SAC,W,41,26,9,2,1,1,1
"Nov 27, 2024",POR @ IND,L,34,16,12,2,1,3,4
"Nov 10, 2024",POR vs. MEM,L,21,6,8,1,1,0,4
"Nov 08, 2024",POR @ MIN,L,18,4,6,0,1,0,1
"Nov 07, 2024",POR @ SAS,L,31,21,10,0,2,1,2
"Nov 04, 2024",POR @ NOP,W,32,19,13,0,1,0,1
"Nov 02, 2024",POR @ PHX,L,30,10,13,2,0,0,0
"Nov 01, 2024",POR vs. OKC,L,28,14,5,2,2,0,2
"Oct 30, 2024",POR @ LAC,W,34,15,12,1,1,1,1
"Oct 28, 2024",POR @ SAC,L,34,20,11,1,0,0,1
"Oct 27, 2024",POR vs. NOP,W,31,17,12,0,0,1,2
"Oct 25, 2024",POR vs. NOP,L,33,10,15,2,0,2,1
"Oct 23, 2024",POR vs. GSW,L,31,10,11,2,2,0,1
