GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",NYK @ BKN,W,21,5,2,3,1,0,0
"Apr 10, 2025",NYK @ DET,L,13,0,0,2,1,0,0
"Apr 05, 2025",NYK @ ATL,W,29,10,1,2,2,0,1
"Apr 02, 2025",NYK @ CLE,L,33,7,3,6,1,0,1
"Apr 01, 2025",NYK vs. PHI,W,33,12,4,4,3,0,1
"Mar 30, 2025",NYK vs. POR,W,35,7,4,2,2,2,1
"Mar 28, 2025",NYK @ MIL,W,30,12,3,4,1,0,2
"Mar 26, 2025",NYK vs. LAC,L,12,0,0,3,0,0,0
"Mar 25, 2025",NYK vs. DAL,W,4,0,0,0,0,0,1
"Mar 19, 2025",NYK @ SAS,L,2,0,0,1,0,0,0
"Mar 10, 2025",NYK @ SAC,W,6,3,2,0,0,0,1
"Feb 21, 2025",NYK @ CLE,L,9,4,1,2,1,1,0
"Feb 20, 2025",NYK vs. CHI,W,1,0,0,0,0,0,0
"Feb 08, 2025",NYK vs. BOS,L,3,0,0,0,0,0,0
"Feb 03, 2025",MIL @ OKC,L,21,1,3,3,2,1,0
"Jan 15, 2025",MIL vs. ORL,W,7,0,0,2,1,1,1
"Jan 12, 2025",MIL @ NYK,L,7,0,1,1,1,0,0
"Jan 06, 2025",MIL @ TOR,W,4,3,0,0,0,1,0
"Dec 26, 2024",MIL vs. BKN,L,18,0,0,5,1,0,1
"Dec 23, 2024",MIL @ CHI,W,26,9,4,5,2,0,2
"Dec 21, 2024",MIL vs. WAS,W,17,2,3,1,1,0,1
"Dec 20, 2024",MIL @ CLE,L,17,2,2,2,2,0,1
"Dec 04, 2024",MIL vs. ATL,L,12,6,2,0,1,0,2
"Dec 03, 2024",MIL @ DET,W,16,0,4,1,1,0,0
"Nov 30, 2024",MIL vs. WAS,W,8,2,0,0,0,0,0
"Nov 26, 2024",MIL @ MIA,W,17,5,5,3,0,0,0
"Nov 23, 2024",MIL vs. CHA,W,13,0,1,0,0,1,1
"Nov 22, 2024",MIL vs. IND,W,11,2,2,1,0,0,0
"Nov 20, 2024",MIL vs. CHI,W,12,3,1,0,0,0,0
"Nov 18, 2024",MIL vs. HOU,W,23,6,4,2,1,0,1
"Nov 16, 2024",MIL @ CHA,L,33,7,3,6,1,3,0
"Nov 13, 2024",MIL vs. DET,W,27,0,4,8,2,0,1
"Nov 12, 2024",MIL vs. TOR,W,24,2,3,2,5,0,0
"Nov 04, 2024",MIL @ CLE,L,4,0,0,0,0,0,0
"Nov 02, 2024",MIL vs. CLE,L,17,0,1,0,0,0,1
"Oct 31, 2024",MIL @ MEM,L,21,8,1,2,0,1,0
"Oct 28, 2024",MIL @ BOS,L,10,0,0,1,0,0,1
"Oct 27, 2024",MIL @ BKN,L,13,0,2,0,0,1,1
"Oct 25, 2024",MIL vs. CHI,L,13,5,0,3,1,0,0
"Oct 23, 2024",MIL @ PHI,W,13,2,0,0,1,0,0
