GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Dec 23, 2024",MIA vs. BKN,W,7,0,1,1,0,0,2
"Dec 21, 2024",MIA @ ORL,L,26,13,4,0,4,0,1
"Dec 20, 2024",MIA vs. OKC,L,30,13,0,4,2,1,3
"Dec 16, 2024",MIA @ DET,L,31,7,0,2,6,0,1
"Dec 12, 2024",MIA vs. TOR,W,34,11,3,3,1,0,1
"Dec 08, 2024",MIA vs. CLE,W,26,11,4,2,0,0,2
"Dec 07, 2024",MIA vs. PHX,W,29,7,4,1,2,1,1
"Dec 04, 2024",MIA vs. LAL,W,12,3,3,3,1,0,2
"Dec 02, 2024",MIA @ BOS,L,21,8,4,2,2,0,1
"Nov 18, 2024",MIA vs. PHI,W,25,10,6,3,3,0,1
"Nov 02, 2024",MIA @ WAS,W,2,2,1,0,0,0,1
"Oct 30, 2024",MIA vs. NYK,L,16,2,4,0,0,3,0
"Oct 26, 2024",MIA @ CHA,W,3,0,1,1,0,0,1
"Oct 23, 2024",MIA vs. ORL,L,6,0,1,1,0,1,0
